MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;MINTZONA,C,20;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
17685;M1302-Mayores - CALLE DEL PUERTO DE LA BONAIGUA 20;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;;06/06/13;CALLE;PUERTO DE LA BONAIGUA;20;11094901;MAYORES;8;ACTIVO
17006;M0704-Mayores - C/ RAIMUNDO FERNÁNDEZ VILLAVERDE 30;07;CHAMBERI;075;RIOS ROSAS;;01/01/04;;;;31047945;MAYORES;3;ACTIVO
4737814;M1404 -Mayores - CALLE DE JOSE DEL PRADO Y PALACIO 1B;14;MORATALAZ;144;MEDIA LEGUA;;04/06/17;CALLE;JOSE DEL PRADO Y PALACIO;1B;31003436;MAYORES;9;ACTIVO
451348;M0404-Mayores JARDINES DE LAS MUJERES DE VENTAS;04;SALAMANCA;043;FUENTE DEL BERRO;;01/11/15;CALLE;MARQUES DE MONDEJAR;20;11016744;MAYORES;6;ACTIVO
17835;M1402-Mayores - CALLE DEL CAMINO DE LOS VINATEROS 107C;14;MORATALAZ;143;MARROQUINA;;06/06/13;CALLE;CAMINO DE LOS VINATEROS;107C;31046138;MAYORES;8;ACTIVO
16697;M0107-Mayores-PLAZA PLAZA SANTA BARBARA;01;CENTRO;014;JUSTICIA;;15/04/11;;;;11005153;MAYORES;2;ACTIVO
4737835;M1405 - Mayores - CALLE DEL ARROYO DE LAS PILILLAS 14;14;MORATALAZ;143;MARROQUINA;;04/12/17;CALLE;ARROYO DE LAS PILILLAS;14;11101584;MAYORES;9;ACTIVO
17450;M1105-Mayores - CALLE DE CARONTE 14;11;CARABANCHEL;113;SAN ISIDRO;;06/06/13;CALLE;CARONTE;14;20057382;MAYORES;11;ACTIVO
52216;M1804-Mayores - CALLE DEL PICO MAMPODRE 8;18;VILLA DE VALLECAS;181;CASCO H.VALLECAS;;15/12/17;CALLE;PICO MAMPODRE;8;20151614;MAYORES;8;ACTIVO
7591499;M1121 - Mayores - CALLE DE LA LONJA DE LA SEDA 10;11;CARABANCHEL;116;BUENAVISTA;;29/12/20;CALLE;LONJA DE LA SEDA;10;31003105;MAYORES;11;ACTIVO
7591554;M1122 - Mayores - CALLE DE MASCARAQUE 42;11;CARABANCHEL;116;BUENAVISTA;;29/12/20;CALLE;MASCARAQUE;42;11077854;MAYORES;11;ACTIVO
17676;M1301-Mayores - CALLE DEL ARROYO DEL OLIVAR , 51A;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;;06/06/13;CALLE;ESCRITOR;9;20003191;MAYORES;6;ACTIVO
17693;M1303-Mayores - AVENIDA ENTREVIAS 46;13;PUENTE DE VALLECAS;131;ENTREVIAS;;06/06/13;AVENIDA;ENTREVIAS;46;11089597;MAYORES;16;ACTIVO
3531283;M0309-Mayores JARDINES PAJARITOS;03;RETIRO;032;ADELFAS;;01/05/17;CALLE;CATALINA SUAREZ;22;31002967;MAYORES;8;ACTIVO
18377;M1902-Mayores - CALLE DEL TREN DE ARGANDA 9;19;VICALVARO;192;VALDEBERNARDO;;20/02/11;CALLE;TREN DE ARGANDA;9;20107794;MAYORES;7;ACTIVO
7591607;M1123 - Mayores - CALLE DE RICARDO BELLVER 18;11;CARABANCHEL;116;BUENAVISTA;;29/12/20;CALLE;RICARDO BELLVER;18;11077863;MAYORES;11;ACTIVO
7897950;M1613-Mayores-C AÑASTRO 44;16;HORTALEZA;165;APOSTOL SANTIAGO;;01/04/21;CALLE;AÑASTRO;44;11117862;MAYORES;5;ACTIVO
4749888;M1505-Mayores-C EZEQUIEL SOLANA 41;15;CIUDAD LINEAL;152;PUEBLO NUEVO;;18/12/17;CALLE;EZEQUIEL SOLANA;41;11105576;MAYORES;8;ACTIVO
7591686;M0820-MAYORES-HONTANILLA (VILLACASTIN 14);08;FUENCARRAL-EL PARDO;086;VALVERDE;;22/01/21;CALLE;VILLACASTIN;14;20075643;MAYORES;6;ACTIVO
4749889;M1506-Mayores-C MISTERIOS 13;15;CIUDAD LINEAL;153;QUINTANA;;18/12/17;CALLE;MISTERIOS;13;11108210;MAYORES;9;ACTIVO
4749890;M1507-Mayores-C JAZMIN 3;15;CIUDAD LINEAL;159;COSTILLARES;;01/01/18;CALLE;JAZMIN;3;20134674;MAYORES;10;ACTIVO
4749893;M1610-Mayores-C OÑA 10;16;HORTALEZA;166;VALDEFUENTES;;18/12/17;CALLE;OÑA;10;20135901;MAYORES;9;ACTIVO
16662;M0101-Mayores-PLAZA COMENDADORAS;01;CENTRO;015;UNIVERSIDAD;;01/01/04;;;;11006381;MAYORES;9;ACTIVO
4749894;M1611-Mayores-CARRETERA ESTACION DE HORTALEZA 7;16;HORTALEZA;165;APOSTOL SANTIAGO;;18/12/17;CARRETERA;ESTACION DE HORTALEZA;7;20094422;MAYORES;9;ACTIVO
4749895;M2012-Mayores-C MARSELLA 4;20;SAN BLAS-CANILLEJAS;205;ROSAS;;18/12/17;CALLE;MARSELLA;4;20144545;MAYORES;7;ACTIVO
4749896;M2013-Mayores-C LIVERPOOL 1;20;SAN BLAS-CANILLEJAS;205;ROSAS;;18/12/17;CALLE;LIVERPOOL;1;20104263;MAYORES;10;ACTIVO
18388;M1903-Mayores - CTRA. EJE  O´DONNELL;19;VICALVARO;191;CASCO H.VICALVARO;;20/02/12;CALLE;EZCARAY;68;11133405;MAYORES;8;ACTIVO
7943797;M1125 - Mayores - CALLE DE LA VERDAD 2;11;CARABANCHEL;112;OPAÑEL;;;CALLE;VERDAD;2;11071290;MAYORES;9;ACTIVO
16696;M0106-Mayores-PARQUE CASINO DE LA REINA;01;CENTRO;012;EMBAJADORES;;24/04/07;;;;31047998;MAYORES;10;ACTIVO
16695;M0105-Mayores-PLAZA PUERTA DE TOLEDO;01;CENTRO;012;EMBAJADORES;;01/01/04;;;;20105763;MAYORES;2;ACTIVO
16969;M0605-Mayores - AVDA. ASTURIAS con C/ ANTONIO GLEZ. ECHARTE;06;TETUAN;064;ALMENARA;;01/01/04;AVENIDA;ASTURIAS;9;31043669;MAYORES;6;ACTIVO
16929;M0601-Mayores -  PARQUE RODRIGUEZ SAHAGUN CON C/SINESIO DELGADO;06;TETUAN;065;VALDEACEDERAS;;06/09/07;;;;31028439;MAYORES;13;ACTIVO
16683;M0103-Mayores-PLAZA PLAZA DOS DE MAYO;01;CENTRO;015;UNIVERSIDAD;;01/01/04;;;;11005467;MAYORES;17;ACTIVO
16977;M0606-Mayores - C/ VEZA con C/PLÁTANO;06;TETUAN;065;VALDEACEDERAS;;01/01/04;;;;11033709;MAYORES;5;ACTIVO
52068;M0608-Mayores - C/TENERIFE con C/SAN RAIMUNDO;06;TETUAN;061;BELLAS VISTAS;;01/04/15;CALLE;SAN RAIMUNDO;43;11027981;MAYORES;5;ACTIVO
16990;M0701-Mayores - PLAZA OLAVIDE;07;CHAMBERI;073;TRAFALGAR;;01/01/04;;;;11040551;MAYORES;12;ACTIVO
16960;M0604 - Mayores - AVDA. BRASIL 13;06;TETUAN;062;CUATRO CAMINOS;;01/01/04;;;;11030057;MAYORES;3;ACTIVO
4737844;M1312 - Mayores - CALLE DE BENJAMIN PALENCIA 24;13;PUENTE DE VALLECAS;135;PORTAZGO;;10/05/17;CALLE;BENJAMIN PALENCIA;24;20002314;MAYORES;9;ACTIVO
3531285;M1009-Mayores PAR MIRABEL;10;LATINA;107;LAS AGUILAS;;01/06/17;PLAZA;CUACOS DE YUSTE;1;20052437;MAYORES;4;ACTIVO
4737855;M1313 - Mayores - AVENIDA DE MIGUEL HERNANDEZ 11;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;;12/12/17;AVENIDA;MIGUEL HERNANDEZ;11;31045393;MAYORES;9;ACTIVO
8800259;M1323-MAYORES CALLE VIZCONDE DE ARLESSON;13;PUENTE DE VALLECAS;132;SAN DIEGO;;;CALLE;VIZCONDE DE ARLESSON;37;11093791;MAYORES;8;ACTIVO
4737941;M1311-Mayores - CALLE DEL PUERTO DE BALBARAN 127;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;;10/03/17;CALLE;PUERTO DE BALBARAN;127;20081324;MAYORES;10;ACTIVO
4737942;M1904-Mayores - CALLE DE AMBROZ 3;19;VICALVARO;191;CASCO H.VICALVARO;;10/05/17;CALLE;AMBROZ;3;20075765;MAYORES;8;ACTIVO
4737943;M1905-Mayores - CALLE DE LA LADERA DE LOS ALMENDROS 14G;19;VICALVARO;192;VALDEBERNARDO;;01/06/17;CALLE;LADERA DE LOS ALMENDROS;14G;20151606;MAYORES;8;ACTIVO
3990963;M0207-Mayores CALLE PUERTO DE BEJAR, 5;02;ARGANZUELA;024;LEGAZPI;;18/12/17;CALLE;PUERTO DE BEJAR;5;20000292;MAYORES;9;ACTIVO
16886;M0502-Mayores Pº DE LA CASTELLANA II;05;CHAMARTIN;056;CASTILLA;;;PASEO;CASTELLANA;300;20151190;MAYORES;4;ACTIVO
16894;M0503-Mayores PARQUE DE BERLIN;05;CHAMARTIN;053;CIUDAD JARDIN;;;CALLE;DOCTOR MARCO CORERA;4;31052957;MAYORES;7;ACTIVO
52054;M0505-Mayores PARQUE DE LA INFANCIA DE CHAMARTÍN;05;CHAMARTIN;053;CIUDAD JARDIN;;11/12/17;CALLE;VINAROZ;29;11024027;MAYORES;2;ACTIVO
17032;M0803-Mayores CALLE ISLAS JARVI 2;08;FUENCARRAL-EL PARDO;086;VALVERDE;;;CALLE;ISLAS JARVI;2;11048680;MAYORES;5;ACTIVO
16838;M0401-Mayores PLAZA DE PEÑASCALES;04;SALAMANCA;043;FUENTE DEL BERRO;;;CALLE;LOS PEÑASCALES;13;11016409;MAYORES;6;ACTIVO
52077;M0807-Mayores AVENIDA VENTISQUERO DE LA CONDESA, 35;08;FUENCARRAL-EL PARDO;087;MIRASIERRA;;;AVENIDA;VENTISQUERO DE LA CONDESA;35;20126237;MAYORES;4;ACTIVO
17042;M0804-Mayores PLAZA FONSAGRADA CON PLAZA REDONDELA;08;FUENCARRAL-EL PARDO;084;EL PILAR;;;CALLE;MELCHOR FERNANDEZ ALMAGRO;66;11046728;MAYORES;5;ACTIVO
52076;M0806-Mayores PARQUE GABRIELA MISTRAL;08;FUENCARRAL-EL PARDO;082;FUENTELARREINA;;;CALLE;GABRIELA MISTRAL;12;11051271;MAYORES;5;ACTIVO
52075;M0805-Mayores PARQUE POBL. S. FRANCISCO;08;FUENCARRAL-EL PARDO;082;FUENTELARREINA;;;CALLE;FRESNEDILLAS;8;11043879;MAYORES;1;ACTIVO
17177;M0903-Mayores PLAZA AURORA BOREAL;09;MONCLOA-ARAVACA;097;ARAVACA;;;AVENIDA;GALAXIA;1;11056938;MAYORES;7;ACTIVO
16799;M0303-Mayores PARQUE DE ROMA;03;RETIRO;033;ESTRELLA;;;CALLE;JUAN ESPLANDIU;8;11013637;MAYORES;2;ACTIVO
17214;M0908-Mayores PARQUE ARROYO POZUELO-AMPLIACION;09;MONCLOA-ARAVACA;097;ARAVACA;;;CALLE;ESCULTOR PERESEJO;70;20063785;MAYORES;5;ACTIVO
17225;M0909-Mayores AMPLIACION PARQUE ARROYO  POZUELO;09;MONCLOA-ARAVACA;097;ARAVACA;;;CALLE;VIRGEN DE LOS ROSALES;102;20102242;MAYORES;5;ACTIVO
52085;M0912-Mayores CALLE VALDERROMAN 24;09;MONCLOA-ARAVACA;094;VALDEZARZA;;03/03/14;CALLE;VALDERROMAN;24;31050681;MAYORES;2;ACTIVO
3531284;M0308-Mayores PARQUE MARTIN LUTHER KING;03;RETIRO;032;ADELFAS;;01/03/17;CALLE;CERRO NEGRO;5;31020470;MAYORES;13;ACTIVO
17196;M0906-Mayores PARQUE LUISA CARNES;09;MONCLOA-ARAVACA;094;VALDEZARZA;;;CALLE;VALDERREY;52;31045356;MAYORES;2;ACTIVO
17207;M0907-Mayores CALLE LONG;09;MONCLOA-ARAVACA;094;VALDEZARZA;;;CALLE;ISLA DE LONG;4;31022909;MAYORES;6;ACTIVO
3558513;M0310-Mayores CALLE SECO, 14;03;RETIRO;032;ADELFAS;;01/08/17;CALLE;SECO;14;11011362;MAYORES;6;ACTIVO
16714;M0202-Mayores PZA. MERCADO;02;ARGANZUELA;021;IMPERIAL;;;TRAVESIA;GIL IMON;11;31041969;MAYORES;4;ACTIVO
16725;M0203-Mayores ACACIAS - PASILLO VERDE;02;ARGANZUELA;022;ACACIAS;;;PASEO;JUAN ANTONIO VALLEJO-NAJERA BOTAS;25;20178816;MAYORES;2;ACTIVO
17283;M1001-Mayores PARQUE ALUCHE;10;LATINA;104;ALUCHE;;;CALLE;QUERO;59;11065361;MAYORES;7;ACTIVO
17304;M1003-Mayores PARQUE CARAMUEL;10;LATINA;102;PUERTA DEL ANGEL;;;CALLE;CARAMUEL;62;11061208;MAYORES;8;ACTIVO
17157;M0901-Mayores Pº ANICETO MARINAS;09;MONCLOA-ARAVACA;091;CASA DE CAMPO;;;CALLE;ANICETO MARINAS;100;11052014;MAYORES;5;ACTIVO
17315;M1004 - Mayores CALLE CASTROSERNA JUNTO CENTRO CULTURAL LUCERO;10;LATINA;103;LUCERO;;;CALLE;CASTROSERNA;4;20086999;MAYORES;14;ACTIVO
3568695;M0910-Mayores CALLE GENERAL CADENAS CAMPOS, 21;09;MONCLOA-ARAVACA;094;VALDEZARZA;;;CALLE;GENERAL CADENAS CAMPOS;21;11055578;MAYORES;5;ACTIVO
17324;M1005-Mayores GRAL. FANJUL - STA. MARGARITA;10;LATINA;107;LAS AGUILAS;;;AVENIDA;LAS AGUILAS;143;11067788;MAYORES;4;ACTIVO
17353;M1008-Mayores PARQUE ALUCHE;10;LATINA;104;ALUCHE;;;CALLE;VALMOJADO;255;11064841;MAYORES;6;ACTIVO
3573058;M1701-Mayores - PLAZA DE LOS PINAZO 23D;17;VILLAVERDE;172;SAN CRISTOBAL;;06/02/13;PLAZA;PINAZO;23D;31060136;MAYORES;9;ACTIVO
4704499;M0506-Mayores DETRAS DEL MERCADO;05;CHAMARTIN;056;CASTILLA;;11/12/17;CALLE;CONDE DE TORRALBA;11;20103405;MAYORES;8;ACTIVO
4738111;M0109-Mayores-PARQUE ATENAS;01;CENTRO;011;PALACIO;;26/12/17;CALLE;SEGOVIA;71;11008010;MAYORES;9;ACTIVO
18626;M2104-Mayores-C NORAY 3;21;BARAJAS;211;ALAMEDA DE OSUNA;;01/08/13;CALLE;NORAY;3;20047389;MAYORES;9;ACTIVO
3568166;M2105-Mayores-C PRADOLUENGO 123;21;BARAJAS;212;AEROPUERTO;;01/08/13;CALLE;PRADOLUENGO;123;11140190;MAYORES;6;ACTIVO
18617;M2103-Mayores-PLAZA NAVIO 4;21;BARAJAS;211;ALAMEDA DE OSUNA;;01/08/13;PLAZA;NAVIO;4;20133613;MAYORES;8;ACTIVO
18596;M2101-Mayores-C AYERBE 10;21;BARAJAS;213;CASCO H.BARAJAS;;01/08/13;CALLE;AYERBE;10;11140552;MAYORES;9;ACTIVO
18606;M2102-Mayores-C BAHIA DE SANTOÑA 6;21;BARAJAS;215;CORRALEJOS;;01/08/13;CALLE;BAHIA DE SANTOÑA;6;31008417;MAYORES;4;ACTIVO
3568173;M2106-Mayores-C ALAS 2;21;BARAJAS;214;TIMON;;02/09/13;CALLE;ALAS;2;11141161;MAYORES;5;ACTIVO
3568177;M2107-Mayores-C ACUARIO 27;21;BARAJAS;213;CASCO H.BARAJAS;;01/08/13;CALLE;ACUARIO;27;11140825;MAYORES;4;ACTIVO
17015;M0801-Mayores PARQUE DEL PUEBLO DE EL PARDO;08;FUENCARRAL-EL PARDO;081;EL PARDO;;;AVENIDA;GUARDIA;25;20014902;MAYORES;2;ACTIVO
17578;M1201-Mayores - AVENIDA DE RAFAELA YBARRA 22;12;USERA;127;PRADOLONGO;;06/06/13;AVENIDA;RAFAELA YBARRA;22;11085495;MAYORES;13;ACTIVO
52142;M1501-Mayores-AV MARQUES DE CORBERA 4;15;CIUDAD LINEAL;151;VENTAS;;18/07/12;AVENIDA;MARQUES DE CORBERA;4;20167853;MAYORES;7;ACTIVO
17929;M1503-Mayores-C JOSE DEL HIERRO;15;CIUDAD LINEAL;154;CONCEPCION;;01/10/08;CALLE;JOSE DEL HIERRO;3;20094445;MAYORES;7;ACTIVO
52143;M1504-Mayores-C SAN BALDOMERO;15;CIUDAD LINEAL;152;PUEBLO NUEVO;;12/04/11;CALLE;SAN BALDOMERO;12;11107037;MAYORES;8;ACTIVO
17918;M1502-Mayores-C DOCTOR CIRAJAS;15;CIUDAD LINEAL;152;PUEBLO NUEVO;;12/12/08;CALLE;DOCTOR CIRAJAS;1;31032470;MAYORES;10;ACTIVO
16875;M0501-Mayores JARDINES MARIO BENEDETTI;05;CHAMARTIN;052;PROSPERIDAD;;;CALLE;BAEZA;9;11022257;MAYORES;8;ACTIVO
52084;M0911-Mayores CALLE VALDERREY, 40;09;MONCLOA-ARAVACA;094;VALDEZARZA;;03/03/14;CALLE;VALDERREY;40;11054879;MAYORES;7;ACTIVO
17293;M1002-Mayores PARQUE DE CERRO ALMODOVAR - 1ª - 2ª FASE;10;LATINA;104;ALUCHE;;;CALLE;JOSE MAURELO;21;11064541;MAYORES;8;ACTIVO
17343;M1007-Mayores PARQUE FÉLIX CORTÉS-;10;LATINA;104;ALUCHE;;;AVENIDA;PADRE PIQUER;27;11065626;MAYORES;4;ACTIVO
3573018;M1801-Mayores - CALLE DE LA VIRGEN DE LAS VIÑAS 22;18;VILLA DE VALLECAS;182;SANTA EUGENIA;;06/02/11;CALLE;VIRGEN DE LAS VIÑAS;22;31045492;MAYORES;3;ACTIVO
18297;M1802-Mayores - CALLE DE BABILAFUENTE 2;18;VILLA DE VALLECAS;181;CASCO H.VALLECAS;;06/06/13;CALLE;BABILAFUENTE;2;20170570;MAYORES;7;ACTIVO
3573773;M0809-Mayores ESCUADRON - ALMENAS;08;FUENCARRAL-EL PARDO;081;EL PARDO;;05/11/17;CALLE;GARITA;2;11043235;MAYORES;7;ACTIVO
3573054;M1702-Mayores - CALLE DE LA ALEGRIA DE LA HUERTA 16;17;VILLAVERDE;175;LOS ANGELES;;06/02/13;CALLE;LA ALEGRIA DE LA HUERTA;12;11128506;MAYORES;11;ACTIVO
18180;M1601-Mayores-C MAR ADRIATICO 7;16;HORTALEZA;164;PINAR DEL REY;;01/01/04;CALLE;MAR ADRIATICO;7;20076191;MAYORES;7;ACTIVO
18190;M1602-Mayores-C JULIO DANVILA 15;16;HORTALEZA;165;APOSTOL SANTIAGO;;01/01/04;CALLE;JULIO DANVILA;15;31011578;MAYORES;9;ACTIVO
18047;M1603-Mayores-C MAR DE LAS ANTILLAS;16;HORTALEZA;164;PINAR DEL REY;;01/01/04;CALLE;MAR DE LAS ANTILLAS;13;11120748;MAYORES;5;ACTIVO
18057;M1604-Mayores-C MIGUEL RIESCO;16;HORTALEZA;163;CANILLAS;;01/01/04;CALLE;MIGUEL RIESCO;16;20087335;MAYORES;8;ACTIVO
18066;M1605-Mayores-C ANDORRA 28;16;HORTALEZA;163;CANILLAS;;01/01/04;CALLE;ANDORRA;28;20000190;MAYORES;4;ACTIVO
18076;M1606-Mayores-C ACONCAGUA 4;16;HORTALEZA;163;CANILLAS;;01/01/10;CALLE;ACONCAGUA;4;31017762;MAYORES;7;ACTIVO
18086;M1607-Mayores-C VELEZ RUBIO 31;16;HORTALEZA;165;APOSTOL SANTIAGO;;01/01/10;CALLE;VELEZ RUBIO;31;11121810;MAYORES;13;ACTIVO
18096;M1608-Mayores-C JUAN DANIEL FULLAONDO 2;16;HORTALEZA;166;VALDEFUENTES;;01/01/04;CALLE;JUAN DANIEL FULLAONDO;2;31039881;MAYORES;8;ACTIVO
18103;M1609-Mayores-C JOSE LUIS COLL 3;16;HORTALEZA;166;VALDEFUENTES;;01/01/04;CALLE;JOSE LUIS COLL;3;31040121;MAYORES;6;ACTIVO
3531286;M1010-Mayores CALLE VALLE INCLAN 33-35;10;LATINA;107;LAS AGUILAS;;01/06/17;CALLE;VALLE INCLAN;35;11068185;MAYORES;3;ACTIVO
17588;M1202-Mayores - CALLE DEL DOCTOR TOLOSA LATOUR 25;12;USERA;127;PRADOLONGO;;06/06/13;CALLE;DOCTOR TOLOSA LATOUR;25;31018219;MAYORES;9;ACTIVO
17607;M1204-Mayores - CALLE DE MARCELO USERA 149;12;USERA;126;ZOFIO;;06/06/13;CALLE;MARCELO USERA;149;11085152;MAYORES;8;ACTIVO
17626;M1206-Mayores - CALLE DE CESTONA 84;12;USERA;121;ORCASITAS;;06/06/13;CALLE;CESTONA;90;11080508;MAYORES;9;ACTIVO
52114;M1209-Mayores - CALLE  GRAN AVENIDA 17A;12;USERA;121;ORCASITAS;;01/08/13;CALLE;GRAN AVENIDA;17A;31055821;MAYORES;9;ACTIVO
52120;M1212-Mayores - CALLE DEL CAMINO VIEJO DE VILLAVERDE 34;12;USERA;121;ORCASITAS;;01/09/14;CALLE;CAMINO VIEJO DE VILLAVERDE;34;31030369;MAYORES;8;ACTIVO
52116;M1211-Mayores - CALLE DE RICARDO BELTRAN Y ROZPIDE 10;12;USERA;126;ZOFIO;;01/09/14;CALLE;RICARDO BELTRAN Y ROZPIDE;10;20001059;MAYORES;9;ACTIVO
17597;M1203-Mayores - CALLE DE LA ASUNCION 1;12;USERA;124;ALMENDRALES;;06/06/13;CALLE;ASUNCION;1;31004715;MAYORES;5;ACTIVO
17615;M1205-Mayores - CALLE DE SOCUELLAMOS 12;12;USERA;124;ALMENDRALES;;06/06/13;CALLE;SOCUELLAMOS;12;20026130;MAYORES;12;ACTIVO
18433;M2002-Mayores-PLAZA CEFIRO 2;20;SAN BLAS-CANILLEJAS;207;CANILLEJAS;;01/01/04;PLAZA;CEFIRO;2;11137168;MAYORES;8;ACTIVO
18454;M2005-Mayores- AV SEXTA 4;20;SAN BLAS-CANILLEJAS;206;REJAS;;01/01/04;AVENIDA;SEXTA;4;31010275;MAYORES;6;ACTIVO
18463;M2006-Mayores-C LA ILIADA 35;20;SAN BLAS-CANILLEJAS;205;ROSAS;;01/01/04;CALLE;LA ILIADA;35;11137299;MAYORES;3;ACTIVO
18480;M2008-Mayores-C CANAL DEL BOSFORO 40;20;SAN BLAS-CANILLEJAS;207;CANILLEJAS;;01/01/04;CALLE;CANAL DEL BOSFORO;40;11137679;MAYORES;5;ACTIVO
18496;M2010-Mayores-AV CANILLEJAS A VICALVARO 135;20;SAN BLAS-CANILLEJAS;205;ROSAS;;01/01/04;AVENIDA;CANILLEJAS A VICALVARO;135;20145332;MAYORES;8;ACTIVO
18505;M2011-Mayores-PASEO GINEBRA 20;20;SAN BLAS-CANILLEJAS;205;ROSAS;;01/01/04;PASEO;GINEBRA;20;31049541;MAYORES;8;ACTIVO
17636;M1207-Mayores - CALLE DE ALZOLA 2;12;USERA;121;ORCASITAS;;06/06/13;CALLE;ALZOLA;2;31009657;MAYORES;9;ACTIVO
17643;M1208-Mayores - CALLE DE LA EXPROPIACION 1;12;USERA;121;ORCASITAS;;06/06/13;CALLE;EXPROPIACION;3;31055824;MAYORES;8;ACTIVO
52115;M1210-Mayores - CALLE DE HERNANDEZ REQUENA 1;12;USERA;124;ALMENDRALES;;01/09/14;CALLE;HERNANDEZ REQUENA;1;11082456;MAYORES;9;ACTIVO
17423;M1102-Mayores - CALLE CARRANQUE, 22;11;CARABANCHEL;117;ABRANTES;;06/06/13;CALLE;VIA LUSITANA;19;20024802;MAYORES;12;ACTIVO
17433;M1103-Mayores - CALLE DEL PARQUE EUGENIA DE MONTIJO 1;11;CARABANCHEL;114;VISTA ALEGRE;;06/06/13;CALLE;PARQUE EUGENIA DE MONTIJO;1;31044609;MAYORES;9;ACTIVO
17440;M1104-Mayores - CALLE DE ANTONIA LANCHA 37;11;CARABANCHEL;112;OPAÑEL;;06/06/13;CALLE;PORTALEGRE;73;11070164;MAYORES;8;ACTIVO
17459;M1106-Mayores - CALLE DE NUESTRA SEÑORA DE LA LUZ 9;11;CARABANCHEL;114;VISTA ALEGRE;;06/06/13;CALLE;NUESTRA SEÑORA DE LA LUZ;9;20168099;MAYORES;5;ACTIVO
17464;M1107-Mayores - CALLE DE MERCEDES ARTEAGA 24;11;CARABANCHEL;112;OPAÑEL;;06/06/13;PLAZA;CANTORIA;8;31060417;MAYORES;6;ACTIVO
17469;M1108-Mayores - CALLE DEL PARQUE EUGENIA DE MONTIJO 78;11;CARABANCHEL;114;VISTA ALEGRE;;06/06/13;CALLE;PARQUE EUGENIA DE MONTIJO;78;11074953;MAYORES;16;ACTIVO
17478;M1109-Mayores - GLORIETA DE VALLE DE ORO 13;11;CARABANCHEL;112;OPAÑEL;;06/06/13;AVENIDA;OPORTO;91;11075752;MAYORES;11;ACTIVO
17488;M1110-Mayores - AVENIDA DE NUESTRA SEÑORA DE VALVANERA 111;11;CARABANCHEL;114;VISTA ALEGRE;;06/06/13;AVENIDA;NUESTRA SEÑORA DE VALVANERA;114;11073891;MAYORES;5;ACTIVO
52101;M1111-Mayores - CALLE  VIA LUSITANA  1;11;CARABANCHEL;117;ABRANTES;;;CALLE;VIA LUSITANA;1;11078650;MAYORES;10;ACTIVO
52102;M1112-Mayores - CALLE DEL MONSEÑOR OSCAR ROMERO 73;11;CARABANCHEL;114;VISTA ALEGRE;;;CALLE;MONSEÑOR OSCAR ROMERO;73;11074921;MAYORES;10;ACTIVO
3573049;M1113-Mayores - CALLE DEL GENERAL RICARDOS 126;11;CARABANCHEL;113;SAN ISIDRO;;05/09/17;CALLE;GENERAL RICARDOS;126;31028689;MAYORES;4;ACTIVO
451584;M0204-Mayores CAMINO DE PARQUE;02;ARGANZUELA;027;ATOCHA;;01/10/14;CALLE;TEJO;5;20139391;MAYORES;6;ACTIVO
18199;M1703-Mayores - CALLE DE BENIMAMET 137;17;VILLAVERDE;172;SAN CRISTOBAL;;06/06/13;CALLE;BENIMAMET;137;31009948;MAYORES;14;ACTIVO
18209;M1704-Mayores - CALLE DE SAN LUCIANO 15;17;VILLAVERDE;175;LOS ANGELES;;06/06/13;CALLE;SAN LUCIANO;15;11129170;MAYORES;12;ACTIVO
18249;M1708-Mayores - CALLE DE LA UNANIMIDAD 44;17;VILLAVERDE;174;LOS ROSALES;;;CALLE;UNANIMIDAD;44;20062260;MAYORES;5;ACTIVO
18241;M1707-Mayores - PASEO DE ALBERTO PALACIOS 1;17;VILLAVERDE;171;VILLAVERDE ALTO C.H.;;;PASEO;ALBERTO PALACIOS;1;11124172;MAYORES;3;ACTIVO
18231;M1706-Mayores - CALLE DE GODELLA 102;17;VILLAVERDE;172;SAN CRISTOBAL;;;CALLE;GODELLA;102;31010268;MAYORES;14;ACTIVO
18220;M1705-Mayores - CALLE DE SANTIAGO AMON 2;17;VILLAVERDE;175;LOS ANGELES;;06/06/13;CALLE;VIOLETAS;1;20154778;MAYORES;8;ACTIVO
18258;M1709-Mayores - CALLE DE LA DEL SOTO DEL PARRAL 61;17;VILLAVERDE;175;LOS ANGELES;;06/06/13;CALLE;LA DEL SOTO DEL PARRAL;61;11128737;MAYORES;17;ACTIVO
18279;M1711-Mayores - CALLE DE CIFUENTES 1;17;VILLAVERDE;175;LOS ANGELES;;;CALLE;ALCARRIA;8;11128195;MAYORES;3;ACTIVO
3573056;M1713-Mayores - CALLE DE LA DEL MANOJO DE ROSAS 96;17;VILLAVERDE;175;LOS ANGELES;;05/02/13;CALLE;LA DEL MANOJO DE ROSAS;96;11128593;MAYORES;8;ACTIVO
