MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;MINTZONA,C,20;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
4731641;M0609-Mayores - PZA. CANAL DE ISABEL II;06;TETUAN;066;BERRUGUETE;;26/12/17;CALLE;BRAVO MURILLO;239;11037887;MAYORES;6;ACTIVO
4731656;M0706-Mayores - PZA. CONDE DEL VALLE DE SUCHIL;07;CHAMBERI;072;ARAPILES;;26/12/17;PLAZA;CONDE DEL VALLE DE SUCHIL;16;11039787;MAYORES;9;ACTIVO
4731667;M0108-Mayores-PLAZA SALESAS;01;CENTRO;014;JUSTICIA;;26/12/17;PLAZA;SALESAS;1 B;31041455;MAYORES;9;ACTIVO
4796512;M1805- Mayores - CALLE DE LA SIERRA GORDA 25B;18;VILLA DE VALLECAS;181;CASCO H.VALLECAS;;06/02/18;CALLE;SIERRA GORDA;25B;31054352;MAYORES;9;ACTIVO
4940263;M0707-Mayores - JARDINES REVENGA;07;CHAMBERI;071;GAZTAMBIDE;;09/10/18;CALLE;MELENDEZ VALDES;32;20013208;MAYORES;6;ACTIVO
4985689;M1215 - Mayores - RONDA DE LAS COOPERATIVAS 4;12;USERA;121;ORCASITAS;;20/11/18;RONDA;COOPERATIVAS;4;11080737;MAYORES;6;ACTIVO
4986212;M0815-Mayores PARQUE ANA TUTOR;08;FUENCARRAL-EL PARDO;083;PEÑA GRANDE;;26/11/18;CALLE;VALLE DE PINARES LLANOS;1;20075089;MAYORES;5;ACTIVO
4987144;M1116-Mayores - CALLE DE AZCOITIA 31;11;CARABANCHEL;116;BUENAVISTA;;07/12/18;CALLE;AZCOITIA;31;31046075;MAYORES;5;ACTIVO
4987160;M1117-Mayores - PLAZA DE SETUBAL 6B;11;CARABANCHEL;117;ABRANTES;;07/12/18;PLAZA;SETUBAL;5;11079401;MAYORES;11;ACTIVO
4988166;M0110-Mayores-PLAZA ARTURO BAREA;01;CENTRO;012;EMBAJADORES;;17/12/18;CALLE;SOMBRERETE;26;11002132;MAYORES;5;ACTIVO
4988217;M1315-Mayores - CALLE DE VILLALOBOS 87;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;;20/12/18;CALLE;VILLALOBOS;87;11096163;MAYORES;5;ACTIVO
