,IPEDSID,Applicants total,Enrollment rate,Admission rate,Admissions total,Enrolled total,Average graduation rate
0,100654,6142,17,89,5521,1104,20
1,100663,5689,31,86,4934,1773,42
2,100706,2054,31,80,1656,651,33
3,100724,10245,14,51,5251,1479,17
4,100751,30975,20,56,17515,6454,57
5,100830,1958,29,83,1639,579,19
6,100858,15745,23,82,13027,3726,56
7,100937,1931,18,64,1240,356,58
8,101435,1470,17,62,923,261,37
9,101480,3083,37,83,2567,1158,22
10,101541,268,25,73,198,68,40
11,101587,462,82,99,460,380,25
12,101693,866,29,71,617,259,43
13,101709,1385,38,87,1209,531,36
14,101879,2542,38,80,2057,970,23
15,101912,2728,14,34,937,409,29
16,102049,3447,22,76,2653,765,60
17,102094,4814,39,86,4142,1878,24
18,102234,6596,6,46,3052,431,52
19,102270,4121,6,42,1772,257,22
20,102368,5946,35,68,4056,2087,26
21,102377,10022,6,35,3519,650,32
22,102669,494,6,37,185,33,32
23,104151,21770,32,80,17465,7171,50
24,104179,26329,28,76,20251,7401,53
25,104586,1689,26,78,1334,448,50
26,105330,33989,14,91,31057,4772,41
27,105589,399,12,72,291,49,32
28,105899,344,26,60,209,90,40
29,106245,1443,46,52,761,667,14
30,106342,1309,13,58,772,174,46
31,106397,18908,22,58,11076,4339,50
32,106412,4094,13,27,1134,568,17
33,106458,4838,33,75,3653,1619,28
34,106467,3847,45,85,3271,1755,32
35,106704,3659,58,89,3292,2157,33
36,106713,540,23,54,292,129,31
37,107044,2180,47,76,1663,1041,53
38,107071,3350,21,62,2084,704,22
39,107080,1928,22,80,1550,436,67
40,107141,1143,26,69,798,305,61
41,107512,1740,22,70,1220,394,55
42,107558,1061,14,61,651,159,43
43,107877,531,29,67,361,156,33
44,107983,2720,24,60,1654,663,22
45,108092,3905,34,57,2240,1343,17
46,109785,5329,23,79,4255,1250,58
47,110097,4816,18,72,3509,903,60
48,110361,3853,25,78,3036,993,51
49,110404,5535,4,10,584,249,88
50,110413,6920,7,48,3323,540,66
51,110422,36941,9,31,11537,3635,53
52,110486,6630,20,66,4393,1328,28
53,110495,5763,19,72,4158,1109,37
54,110510,12239,20,58,7137,2448,26
55,110529,28143,11,52,14686,3120,32
56,110538,17215,15,71,12327,2714,40
57,110547,14742,8,57,8472,1214,16
58,110556,16242,19,58,9444,3139,33
59,110565,38909,11,45,17817,4526,35
60,110574,12741,12,68,8756,1572,26
61,110583,55019,7,30,16956,4276,39
62,110592,27321,10,67,18448,2908,21
63,110608,29339,14,46,13566,4149,31
64,110617,19702,15,69,13728,3151,27
65,110635,61717,6,17,11108,4162,84
66,110644,49820,10,45,22526,5208,69
67,110653,56515,8,42,23956,5077,79
68,110662,72676,7,21,15981,5620,82
69,110671,30391,13,62,18843,4034,56
70,110680,60832,7,37,22812,4575,74
71,110705,55258,8,44,24556,4741,76
72,110714,33137,11,59,19851,3827,64
73,111188,893,22,74,668,198,53
74,111948,11750,10,44,5253,1289,69
75,112075,2055,18,91,1874,373,59
76,112084,561,17,49,276,99,37
77,112260,5518,6,11,647,337,89
78,112446,82,73,100,82,60,100
79,113698,2322,13,77,1800,305,46
80,114813,705,30,78,553,212,50
81,115409,3539,6,18,643,217,88
82,115728,561,15,56,318,87,30
83,115755,9978,12,80,8000,1237,26
84,116846,100,23,59,59,23,77
85,117140,6989,8,38,2722,623,51
86,117627,3479,13,46,1627,477,47
87,117751,849,24,61,521,209,51
88,117946,11472,11,54,6209,1341,72
89,118693,4100,3,37,1519,139,36
90,118888,1827,11,67,1242,217,58
91,119173,2316,24,74,1716,559,60
92,120184,1922,8,87,1676,172,43
93,120254,6072,9,42,2574,548,85
94,120537,408,19,46,191,78,36
95,120865,2103,15,50,1063,335,31
96,120883,14222,6,72,10332,958,53
97,121150,9721,8,37,3630,784,76
98,121257,4115,6,14,597,261,79
99,121309,3138,20,66,2088,647,68
100,121345,7153,5,13,996,397,94
101,121691,4668,14,67,3137,673,69
102,122409,51163,8,31,15970,4139,52
103,122436,14693,8,48,7178,1238,71
104,122597,31462,12,63,20070,3807,31
105,122612,14808,7,61,9076,1148,64
106,122755,25155,13,63,15967,3384,29
107,122931,14339,8,51,7344,1278,81
108,123165,2378,11,35,849,272,82
109,123457,573,26,55,318,150,43
110,123554,4864,12,69,3379,622,56
111,123572,13142,13,81,10758,1749,42
112,123651,1495,26,69,1043,392,50
113,123961,47358,6,19,9395,2922,86
114,124292,178,49,79,141,88,76
115,125727,2145,13,70,1505,298,74
116,125763,4381,10,63,2771,446,65
117,125897,879,13,55,490,118,33
118,126182,2658,19,52,1398,519,19
119,126562,3075,32,75,2333,991,29
120,126580,7034,22,91,6401,1616,38
121,126614,22473,26,87,19710,5846,60
122,126669,1186,37,97,1158,447,31
123,126678,5780,9,22,1288,522,84
124,126775,11682,8,37,4373,949,59
125,126818,17970,24,77,13914,4443,53
126,127060,13735,10,76,10539,1413,73
127,127185,2560,34,87,2240,876,29
128,127556,6459,34,82,5304,2214,25
129,127565,5867,33,71,4175,1991,16
130,127653,79,48,79,63,38,33
131,127741,7602,25,69,5289,1939,38
132,127918,3006,17,69,2100,531,52
133,128106,3147,29,94,2969,916,26
134,128391,1514,31,93,1411,473,35
135,128498,689,19,68,470,132,19
136,128744,5248,10,63,3351,542,23
137,128771,5551,23,64,3560,1293,39
138,128902,4837,10,35,1734,503,82
139,129020,27479,13,53,14745,3755,77
140,129215,5112,19,64,3299,985,43
141,129242,9254,10,71,6585,990,80
142,129525,15127,8,61,9338,1267,57
143,129774,1162,15,57,670,178,36
144,129941,10169,11,74,7567,1174,50
145,130226,20699,8,67,13914,1803,74
146,130253,7781,11,76,5932,865,67
147,130314,860,17,85,737,153,46
148,130493,4870,28,75,3673,1380,36
149,130590,7652,7,31,2432,604,84
150,130697,10046,7,20,2102,752,89
151,130776,3613,22,65,2366,797,35
152,130794,28977,4,7,2043,1356,94
153,130934,8884,11,41,3703,1036,29
154,130943,25458,16,64,16467,4224,76
155,131098,2933,18,62,1833,556,17
156,131159,17545,9,43,7566,1627,78
157,131283,6298,13,60,3783,837,66
158,131450,520,38,65,341,201,35
159,131469,21756,10,33,7197,2387,79
160,131496,20115,7,16,3413,1570,90
161,131520,11687,11,49,5762,1394,52
162,131876,1493,18,52,781,276,26
163,132471,7845,7,46,3670,576,31
164,132602,7429,13,66,4948,1022,38
165,132657,2697,16,77,2093,456,37
166,132842,58,27,36,21,16,15
167,132903,31820,19,48,15572,6068,54
168,133085,468,26,70,328,126,50
169,133492,3912,13,71,2779,534,63
170,133526,1907,10,27,521,208,13
171,133553,4074,23,74,3017,944,47
172,133650,5029,22,44,2263,1145,27
173,133669,24889,13,47,11880,3479,29
174,133711,5396,13,49,2691,708,57
175,133809,383,51,58,225,196,9
176,133881,7820,10,60,4727,783,48
177,133951,16549,18,43,7122,2990,37
178,133979,4960,8,41,2063,432,31
179,134079,4963,12,49,2476,635,54
180,134097,29579,20,56,16803,6048,69
181,134130,27107,23,46,12618,6373,78
182,134945,3498,15,47,1657,528,33
183,135081,4620,79,93,4311,3658,64
184,135726,28907,7,40,11691,2140,78
185,135939,67,61,80,54,41,44
186,136172,10635,15,53,5682,1615,38
187,136215,4328,15,57,2487,673,34
188,136330,1618,36,84,1361,587,44
189,136950,4729,10,58,2785,477,65
190,137032,3178,20,76,2435,645,40
191,137351,28512,13,45,12900,3904,52
192,137476,727,28,45,332,210,34
193,137546,10509,8,59,6227,852,61
194,137564,2124,40,59,1260,865,32
195,137847,15345,10,52,8011,1592,57
196,138275,1264,14,33,427,179,35
197,138293,944,21,63,602,207,22
198,138354,12347,10,48,5937,1333,32
199,138600,1340,18,66,896,254,69
200,138716,8250,6,19,1643,501,31
201,138789,3118,36,69,2182,1128,23
202,138868,934,25,53,500,238,42
203,138947,5873,13,56,3336,781,31
204,139144,3901,17,60,2353,672,56
205,139199,2160,9,78,1691,206,38
206,139205,475,31,51,244,150,12
207,139311,2046,26,47,976,545,20
208,139366,3170,32,55,1757,1045,22
209,139393,1129,23,57,644,268,54
210,139630,876,17,47,419,156,39
211,139658,17475,7,26,4602,1363,88
212,139719,4076,15,32,1334,624,20
213,139755,14645,20,54,8045,3044,66
214,139764,1245,30,68,847,376,27
215,139861,4051,34,67,2754,1392,52
216,139931,10525,34,52,5473,3604,40
217,139940,13890,24,54,7592,3460,39
218,139959,18458,26,56,10352,4936,73
219,140164,9471,33,56,5355,3194,31
220,140234,1648,16,58,962,271,35
221,140252,809,26,74,603,212,22
222,140447,3864,18,68,2666,728,53
223,140553,2690,18,66,1798,488,48
224,140696,4403,6,55,2455,282,59
225,140720,2771,9,43,1213,268,13
226,140818,850,30,61,520,255,44
227,140872,1111,35,51,571,396,25
228,140960,2922,44,82,2425,1301,20
229,140988,1597,19,68,1087,309,41
230,141060,6081,8,38,2312,523,64
231,141097,1689,47,77,1317,797,25
232,141167,153,43,68,105,66,20
233,141185,1253,14,49,619,178,41
234,141237,470,43,80,379,204,13
235,141264,5701,30,55,3148,1734,30
236,141325,779,15,43,338,117,62
237,141334,7266,30,53,3913,2214,32
238,141486,914,29,83,764,267,33
239,141565,1633,28,75,1228,461,24
240,141574,6901,28,80,5527,1981,40
241,141644,4207,14,64,2697,591,31
242,141981,908,33,76,694,301,18
243,142115,7832,28,77,6082,2205,26
244,142285,7455,22,65,4894,1643,42
245,142294,1116,26,90,1010,292,61
246,142328,861,55,99,859,475,18
247,142461,1227,21,61,757,261,41
248,142522,6690,51,99,6665,3448,39
249,143084,5831,10,58,3421,627,76
250,143118,2536,25,75,1926,646,52
251,143288,528,21,67,359,116,41
252,143358,8969,12,66,6004,1085,68
253,144005,5219,5,28,1495,276,13
