IPEDSID,Year,Ranking
186131,ID,1
166683,ID,2
166027,ID,3
130794,ID,3
243744,ID,3
144050,ID,6
215062,ID,7
162928,ID,7
110404,ID,9
198419,ID,10
147767,ID,10
182670,ID,12
217156,ID,13
221999,ID,13
179867,ID,15
227757,ID,15
190415,ID,17
190150,ID,18
152080,ID,18
110662,ID,20
110635,ID,20
139658,ID,22
131496,ID,22
211440,ID,22
170976,ID,25
234076,ID,25
123961,ID,25
193900,ID,25
134130,ID,29
199120,ID,29
199847,ID,29
168148,ID,32
110705,ID,32
110680,ID,34
110653,ID,34
195030,ID,36
164924,ID,36
110644,ID,38
228778,ID,38
240444,ID,38
231624,ID,41
164988,ID,41
145637,ID,41
139755,ID,44
165015,ID,44
201645,ID,44
160755,ID,44
167358,ID,44
139959,ID,49
204796,ID,49
213543,ID,51
243780,ID,51
216597,ID,51
194824,ID,51
121150,ID,55
134097,ID,55
122931,ID,55
135726,ID,55
163286,ID,55
236948,ID,55
186380,ID,55
196413,ID,62
215293,ID,62
131469,ID,62
174066,ID,62
233921,ID,62
129020,ID,67
168421,ID,67
228723,ID,67
166629,ID,67
197708,ID,67
191241,ID,72
151351,ID,72
228246,ID,72
131159,ID,72
199193,ID,72
214777,ID,77
223232,ID,77
217882,ID,77
117946,ID,77
171100,ID,77
196097,ID,77
235316,ID,83
196079,ID,83
239105,ID,83
186867,ID,83
153658,ID,83
110714,ID,83
230038,ID,89
126775,ID,89
198516,ID,89
131520,ID,89
228875,ID,89
110671,ID,89
196088,ID,89
130943,ID,89
445188,ID,97
122436,ID,97
100858,ID,97
126614,ID,97
165334,ID,97
185828,ID,97
145600,ID,97
137351,ID,97
127060,ID,105
209551,ID,105
230764,ID,105
212054,ID,105
204024,ID,105
179159,ID,105
104179,ID,105
122612,ID,105
195003,ID,105
196103,ID,105
181002,ID,115
146719,ID,115
221759,ID,115
218663,ID,115
186399,ID,115
129242,ID,115
216339,ID,121
104151,ID,121
111948,ID,121
231174,ID,121
155317,ID,121
178396,ID,121
145725,ID,127
153603,ID,127
190044,ID,127
131450,ID,127
202480,ID,127
207500,ID,127
193654,ID,127
102049,ID,127
186371,ID,127
216366,ID,127
144740,ID,137
236595,ID,137
186584,ID,137
157085,ID,137
153269,ID,137
183044,ID,137
174914,ID,137
207971,ID,137
232186,ID,137
100751,ID,137
100663,ID,137
132903,ID,137
110583,ID,137
163268,ID,137
131283,ID,>150
167783,ID,>150
117140,ID,>150
181464,ID,>150
228787,ID,>150
120883,ID,>150
126818,ID,>150
190567,ID,>150
212106,ID,>150
171128,ID,>150
130226,ID,>150
122409,ID,>150
201885,ID,>150
176017,ID,>150
204857,ID,>150
106397,ID,>150
236939,ID,>150
186131,2023,1
166683,2023,2
166027,2023,2
130794,2023,5
243744,2023,6
144050,2023,6
215062,2023,8
162928,2023,9
110404,2023,9
198419,2023,9
147767,2023,9
182670,2023,13
217156,2023,14
221999,2023,14
179867,2023,14
227757,2023,17
190415,2023,17
190150,2023,2
152080,2023,19
110662,2023,20
110635,2023,22
139658,2023,21
131496,2023,23
211440,2023,25
170976,2023,23
234076,2023,25
123961,2023,27
193900,2023,28
134130,2023,28
199120,2023,28
199847,2023,28
168148,2023,28
110705,2023,28
110680,2023,34
110653,2023,36
195030,2023,34
164924,2023,36
110644,2023,38
