IPEDSID,Applicants total,Enrollment rate,Admission rate,Admissions total,Enrolled total,Average graduation rate
171128,4520,25,76,3462,1153,49
171137,4908,19,62,3084,954,36
171146,3003,24,78,2345,724,25
171456,6743,24,73,4931,1680,36
171571,12019,21,66,7933,2569,30
171599,1995,15,51,1027,301,36
171881,152,24,68,104,37,37
172051,6057,26,78,4764,1593,26
172264,1422,21,67,962,300,35
172334,2698,13,65,1755,368,47
172440,872,12,58,513,109,34
172644,11524,18,76,8786,2167,22
172699,14621,21,82,12113,3190,42
173045,2072,18,60,1261,380,57
173124,3606,23,66,2408,838,38
173142,531,27,74,396,147,44
173160,2118,28,94,2009,612,68
173258,7045,7,20,1476,527,91
173300,2493,27,79,1994,684,68
173328,1359,21,52,712,287,39
173452,209,78,96,201,164,67
173647,4804,12,63,3037,610,81
173665,3427,15,65,2247,536,63
173902,6683,8,34,2283,555,86
173920,9938,24,65,6514,2456,37
174020,306,32,100,306,100,21
174066,43048,12,44,19121,5544,67
174075,762,27,69,527,213,39
174233,7074,29,78,5533,2054,47
174251,2649,17,57,1527,469,58
174358,3562,27,89,3174,989,36
174437,501,49,95,477,246,33
174491,1945,23,69,1345,466,61
174747,2077,25,75,1569,538,79
174783,5638,30,86,4900,1703,35
174792,1747,28,75,1313,497,76
174817,1551,20,74,1161,318,50
174844,4011,18,59,2374,752,85
174862,1049,20,55,577,210,45
174899,1810,23,72,1315,432,65
174914,5540,24,86,4774,1368,70
175005,3071,14,60,1870,443,52
175078,2076,21,65,1359,453,35
175272,7212,22,60,4381,1650,45
175342,2265,25,82,1878,575,26
175421,2280,12,48,1104,281,32
175430,585,14,55,326,83,46
175616,472,72,89,422,343,26
175856,5325,20,64,3442,1103,29
175980,1901,8,47,902,171,61
176017,14258,25,59,8464,3582,49
176035,1274,14,43,554,184,32
176044,6229,7,22,1415,493,19
176053,1936,30,67,1303,598,46
176080,11191,28,64,7254,3156,49
176318,3152,9,13,437,287,16
176372,6120,28,66,4058,1746,35
176406,2661,5,35,945,153,41
176479,771,23,48,376,182,56
176628,1629,11,61,995,182,40
176947,1285,22,65,836,291,36
176965,4611,38,80,3727,1769,44
177144,2040,10,59,1209,220,42
177214,1076,30,80,871,325,45
177339,1379,33,64,886,460,45
177418,676,23,65,441,160,21
177542,703,24,68,479,173,55
177968,3379,40,66,2240,1369,36
178059,1595,25,76,1214,409,61
178244,840,31,60,512,265,37
178341,1726,46,97,1679,808,27
178369,2164,19,22,480,415,20
178396,20956,29,78,16473,6194,61
178402,4367,24,32,1441,1078,38
178411,3322,37,82,2729,1262,48
178420,1755,27,74,1302,482,35
178615,4462,29,72,3221,1329,65
178624,5680,22,72,4113,1260,40
178697,3006,11,13,391,357,59
178721,663,30,96,639,205,34
179043,2576,17,75,1943,438,65
179159,13389,12,64,8626,1638,66
179326,2179,22,90,1966,482,43
179548,783,21,67,529,168,47
179557,4388,39,85,3750,1729,40
179566,7482,36,85,6367,2751,44
179867,30117,5,15,4684,1610,91
179894,1736,24,58,1008,418,54
179946,1420,18,71,1021,261,62
179955,1433,18,57,828,259,55
179964,897,23,75,674,208,52
180106,3279,9,53,1738,315,62
180258,1206,12,72,877,151,24
180416,586,44,88,521,262,36
180461,12581,23,84,10630,2914,36
180489,4820,40,94,4542,1967,38
180522,376,53,100,376,200,22
180595,1396,17,66,933,238,32
180984,1299,21,71,929,282,56
181002,5336,18,76,4090,966,73
181020,1822,15,71,1307,287,57
181093,260,36,58,152,96,33
181127,1529,22,73,1126,345,52
181215,2589,39,84,2197,1022,39
181330,1676,21,68,1145,367,46
181394,4955,38,70,3507,1889,30
181446,2315,16,76,1780,378,63
181464,10929,40,64,6999,4420,53
181604,335,26,57,191,89,35
181738,1287,13,52,673,178,32
181853,546,17,48,267,94,28
182281,7343,51,85,6250,3773,30
182290,7857,38,83,6597,2994,36
182634,3400,12,83,2826,421,51
182670,23110,4,9,2260,1098,91
182795,3546,15,84,3004,538,42
182980,5723,6,89,5149,388,37
183026,4432,18,78,3486,830,52
183044,17938,15,77,13963,2869,74
183062,6144,20,81,5029,1258,59
183071,193,48,73,141,94,51
183080,5120,18,77,3967,930,50
183211,914,24,89,816,223,52
183239,3829,13,73,2820,508,73
183822,3115,12,54,1702,382,27
183910,2984,11,64,1912,330,47
183974,1038,20,90,944,216,56
184348,3430,11,77,2656,400,67
184603,5193,14,73,3812,760,41
184612,1567,9,88,1382,153,37
184694,3647,16,77,2835,586,48
184773,1276,21,77,994,275,41
184782,8287,17,59,4908,1420,60
185129,4183,15,41,1727,649,18
185262,4952,30,80,3980,1525,34
185572,5537,16,77,4314,906,54
185590,13012,23,65,8500,3040,51
185828,4344,23,65,2844,1029,42
186131,26499,4,7,1963,1285,93
186201,6297,14,55,3480,901,67
186283,8078,11,71,5806,911,61
186371,7437,6,58,4357,497,43
186380,30631,20,59,18230,6337,70
186399,13282,7,54,7173,1057,53
186432,6145,9,54,3323,610,45
186584,10735,12,79,8498,1342,58
186618,2496,4,48,1207,124,50
186867,4977,12,38,1899,622,67
186876,6126,17,62,3805,1069,56
187134,11145,12,43,4805,1404,79
187444,8935,14,68,6086,1294,36
187648,2245,29,63,1419,659,22
187967,1088,29,41,450,318,33
187985,11467,29,64,7405,3424,34
188030,5365,35,85,4571,1918,32
188340,837,38,77,645,324,53
188429,8654,10,68,5897,918,59
188641,3417,15,69,2385,535,56
189088,5466,8,37,2056,489,68
189097,5606,10,20,1151,580,86
189705,4322,15,72,3134,682,64
189848,2440,14,77,1902,345,56
190044,6747,11,64,4320,757,68
190099,8374,9,26,2209,759,89
190114,667,16,54,366,113,18
190150,31851,4,7,2362,1415,90
190248,1358,11,67,910,153,35
190372,3193,5,7,247,186,77
190415,39999,8,15,6222,3223,90
190512,19863,5,24,4931,1185,55
190549,19843,5,31,6346,1148,39
190558,9785,26,99,9761,2556,41
190567,22171,6,34,7560,1397,27
190594,30758,6,29,9140,1971,38
190600,13753,13,34,4683,1908,35
190637,15518,3,23,3612,551,27
190646,7563,13,91,6913,1045,10
190655,16870,16,76,12957,2861,16
190664,19032,7,37,7045,1449,42
190691,13319,8,35,4675,1111,17
190716,1171,22,79,926,258,32
190725,3061,13,48,1489,411,40
190761,1594,17,71,1146,286,30
190770,2675,14,78,2094,388,27
190983,2324,13,79,1854,324,62
191241,36189,5,47,17055,1967,79
191515,5017,9,27,1364,491,91
191533,5392,9,84,4542,528,56
191621,865,22,81,703,191,35
191630,4385,14,49,2168,643,77
191649,22733,6,58,13346,1488,57
191676,807,27,91,735,223,70
191931,5911,15,92,5445,922,59
191968,15658,11,66,10429,1789,73
192192,1375,16,87,1207,228,43
192323,5924,10,61,3667,622,70
192439,5695,15,86,4949,879,16
192448,6001,10,80,4841,659,31
192703,7268,10,66,4809,757,68
192749,3930,12,76,3016,476,56
192819,10351,11,37,3876,1149,76
192864,4147,9,74,3095,399,41
192925,1505,29,54,817,443,45
193016,6546,12,57,3747,833,30
193292,3242,15,72,2356,501,55
193353,3551,12,86,3054,449,47
193399,2416,15,73,1766,386,46
193584,3838,11,68,2625,423,64
193645,1554,34,56,885,532,22
193654,4978,20,66,3315,1038,59
193900,57845,9,26,15066,5207,81
193973,3716,18,66,2465,700,63
194091,5433,15,74,4024,841,38
194161,700,37,96,677,264,35
194310,12885,14,76,9900,1848,44
194392,970,24,74,725,240,33
194541,3444,13,75,2591,451,47
194824,16150,8,41,6654,1411,77
194958,814,25,72,591,206,58
195003,16354,17,60,9839,2784,50
195030,17244,8,35,6153,1472,82
195128,2237,13,56,1267,297,55
195164,2754,15,79,2203,438,62
195173,2815,20,64,1811,568,42
195216,4424,14,46,2054,631,79
195234,4651,13,77,3605,621,61
195243,1841,18,82,1514,337,47
195304,2165,15,61,1335,344,66
195474,8082,9,68,5500,734,77
195526,8285,7,35,2904,660,84
195544,3148,17,75,2373,547,66
195720,4016,12,62,2521,521,69
195809,51634,5,53,27449,2792,46
196006,5761,19,54,3165,1101,45
196015,3391,23,78,2653,780,27
196024,4846,19,58,2843,935,38
196033,2765,28,73,2021,781,37
196042,5401,22,52,2843,1190,35
196051,4049,21,58,2388,858,23
196060,21178,12,55,11744,2568,62
196079,28232,9,42,12104,2664,76
196088,23093,15,56,13053,3669,64
196097,30300,8,39,11963,2709,58
196103,1538,18,50,777,288,63
196112,1954,14,47,929,274,41
196121,8570,12,47,4091,1085,59
196130,11256,11,48,5463,1324,39
196149,11518,10,46,5394,1207,61
196158,5883,17,51,3032,1007,57
196167,9164,10,45,4184,997,73
196176,12892,8,43,5620,1119,63
196185,10261,10,50,5205,1119,64
196194,10351,14,48,5034,1508,51
196200,4764,17,68,3257,821,43
196219,8405,9,33,2790,775,56
196237,3341,12,58,1939,410,29
196246,8193,11,45,3739,954,53
196264,1484,29,80,1195,433,12
196291,1279,25,63,818,331,39
196413,28269,12,49,13990,3487,76
196592,1732,49,58,1016,859,40
196866,5725,9,37,2134,559,85
197045,3689,13,85,3151,489,40
197133,7597,8,24,1832,666,92
197197,2942,14,69,2056,430,58
197230,2214,7,59,1321,161,57
197708,1575,54,82,1294,857,75
197869,12248,24,63,7744,3028,58
197911,2933,7,41,1225,217,45
197984,2197,12,67,1485,283,36
197993,1639,11,82,1354,194,36
