IPEDSID,Applicants total,Enrollment rate,Admission rate,Admissions total,Enrolled total,Average graduation rate
221999,31099,5,12,3963,1613,90
222178,10188,10,48,4986,1030,49
222831,2599,46,80,2092,1220,23
222983,3141,11,58,1841,364,70
223232,29249,10,57,16809,3190,68
224004,1680,11,46,787,192,27
224147,7091,28,92,6565,2051,33
224226,2631,18,42,1113,492,50
224323,1224,31,90,1103,380,62
224527,709,48,73,522,345,29
224554,4236,22,68,2888,943,36
225247,2091,19,37,786,415,45
225399,5872,19,73,4297,1135,36
225432,3096,36,95,2944,1130,8
225511,17407,19,58,10167,3434,34
225548,1585,21,53,853,347,38
225575,1778,11,45,816,211,19
225627,4072,25,93,3790,1045,31
226091,4788,30,76,3678,1451,24
226152,4784,17,47,2289,828,33
226231,1810,18,40,736,335,45
226383,783,32,94,743,255,36
226471,5540,12,84,4691,675,39
226587,1396,17,59,827,250,33
226833,3023,28,71,2170,847,32
227216,18299,25,59,10922,4617,39
227331,3789,8,65,2486,341,28
227368,9313,33,62,5790,3102,28
227429,632,11,98,623,70,3
227526,10747,13,42,4548,1464,25
227757,15415,6,16,2581,978,86
227845,3694,21,78,2901,791,62
227863,782,30,77,604,237,41
227881,9315,25,64,6054,2413,41
228042,894,33,92,828,299,38
228149,5147,11,58,2997,596,47
228246,12080,11,50,6125,1431,74
228325,2057,16,34,717,344,25
228343,3546,13,52,1850,491,68
228431,11383,19,56,6474,2253,35
228459,18939,27,75,14219,5181,46
228468,1326,12,53,715,172,32
228501,1638,18,52,855,310,21
228529,6223,25,56,3536,1617,34
228705,6488,19,88,5716,1255,27
228723,31387,32,69,21803,10241,67
228769,10679,25,59,6405,2713,30
228778,38161,18,40,15335,7249,68
228787,8750,25,58,5125,2233,56
228796,6240,48,99,6228,3033,27
228802,2104,33,82,1726,704,36
228875,18551,10,47,8791,1936,70
228981,1734,19,50,882,346,43
229018,1007,27,84,846,276,20
229027,15239,29,73,11165,4493,21
229063,9746,11,45,4389,1110,11
229115,19170,24,66,12709,4785,48
229160,3336,8,29,998,273,30
229179,4431,26,86,3812,1161,33
229267,4505,11,63,2880,534,78
229780,581,59,98,573,348,28
229814,4632,28,74,3429,1308,34
230038,11423,38,49,5645,4427,54
230047,2664,19,36,960,516,36
230603,8318,15,57,4749,1272,32
230728,9052,42,96,8757,3824,38
230764,11354,27,81,9281,3124,44
230807,2461,18,75,1850,449,51
230816,1130,12,64,733,140,64
230825,199,22,82,165,45,13
230834,2251,21,92,2072,480,44
230852,5047,11,70,3573,594,54
230889,4,50,100,4,2,29
230898,773,17,75,584,136,37
230913,864,26,96,837,225,29
230931,1354,26,99,1345,365,27
230940,232,20,75,176,47,54
230959,8847,6,17,1518,598,91
230995,3081,19,63,1956,599,54
231059,4431,11,75,3328,512,72
231077,183,18,68,125,33,17
231086,336,27,99,334,93,28
231095,49,40,93,46,20,30
231165,568,34,82,469,194,34
231174,22381,11,77,17357,2495,72
231420,2356,10,63,1491,241,26
231554,1042,11,57,597,118,42
231581,5401,9,54,2967,536,57
231624,14046,10,33,4665,1479,87
231651,1238,18,85,1054,231,38
231712,7016,18,59,4141,1276,60
232025,1663,16,65,1093,267,42
232043,1073,21,65,698,232,58
232089,3272,17,74,2425,569,28
232186,20805,14,62,12905,3011,57
232256,2623,11,54,1439,293,61
232265,15337,6,36,5529,1004,60
232308,824,17,69,571,148,58
232423,22648,19,63,14394,4325,75
232557,48054,9,21,10405,4690,40
232566,4055,27,81,3299,1111,55
232609,5695,8,63,3627,512,52
232672,3089,7,88,2729,218,39
232681,4496,21,80,3640,947,71
232706,2082,19,82,1718,400,52
232937,3373,24,64,2192,829,30
232982,10201,28,76,7833,2943,39
233277,7774,25,78,6088,1986,52
233295,2997,12,63,1909,382,60
233301,1056,20,83,881,216,49
233374,9825,8,31,3061,805,84
233426,4167,13,72,3034,542,61
233541,1833,25,84,1550,459,40
233611,763,29,99,762,226,31
233718,905,21,84,763,197,56
233897,972,34,74,724,335,34
233912,226,19,96,218,45,40
233921,19112,28,70,13432,5364,74
234030,14156,24,69,9786,3525,46
234076,28984,12,29,8691,3520,90
234085,2012,24,47,952,502,69
234155,5729,21,94,5419,1244,37
234164,4306,9,58,2518,404,30
234173,3788,11,93,3527,453,41
234207,6222,7,18,1147,480,88
234827,4507,33,82,3703,1502,48
235097,5204,30,79,4146,1579,34
235167,1583,32,97,1537,509,51
235316,6991,15,66,4650,1096,78
235769,282,20,95,270,57,83
236133,465,46,97,452,218,41
236230,3443,18,76,2643,648,64
236328,4588,14,85,3910,670,74
236452,653,24,87,572,159,43
236577,5165,14,72,3726,767,63
236595,7160,13,73,5243,976,70
236896,1051,37,92,976,393,32
236939,14887,27,82,12219,4163,55
236948,30199,20,55,16679,6253,72
237011,9526,29,83,7974,2795,57
237057,2586,15,56,1473,392,85
237066,4044,14,64,2609,593,70
237118,4892,8,43,2114,438,40
237181,1736,10,49,859,185,44
237215,1125,27,42,480,306,12
237312,1312,20,69,906,272,40
237330,2698,19,45,1233,529,29
237358,1022,26,57,586,269,31
237367,2799,27,66,1861,757,26
237385,1198,26,74,892,315,22
237525,2866,64,78,2255,1858,36
237640,904,10,36,329,91,34
237792,2023,37,81,1639,756,30
237899,2202,18,44,986,418,11
237932,2175,23,71,1549,501,33
237950,1033,19,51,530,199,13
237969,1762,26,76,1356,471,53
238032,16521,31,85,14060,5135,48
238078,1258,18,68,867,238,48
238193,582,35,78,459,208,26
238333,2253,13,67,1525,300,75
238430,577,35,84,486,202,37
238458,2868,24,81,2327,700,51
238476,7174,10,70,5035,726,61
238616,2510,23,69,1755,580,47
238661,1297,22,76,993,298,47
238980,885,24,66,586,218,45
239017,2710,14,72,1970,395,77
239071,417,50,71,298,210,37
239080,1021,24,75,772,251,41
239105,23432,8,57,13462,1990,70
239318,2167,25,68,1482,544,49
239390,478,24,53,258,115,32
239512,1058,13,59,625,140,56
239628,1320,18,75,992,238,69
239716,2088,25,81,1711,539,72
239743,170,23,60,102,40,32
240107,1711,17,70,1208,304,41
240189,5704,38,84,4830,2168,44
240268,6610,31,76,5054,2073,51
240277,2520,36,84,2136,921,35
240329,6982,27,71,5027,1897,54
240338,870,26,63,553,229,57
240365,5117,35,81,4162,1841,38
240374,1896,37,75,1431,712,21
240417,3150,47,89,2812,1498,41
240426,941,38,89,840,366,30
240444,23324,26,67,15841,6279,72
240453,8944,39,86,7699,3492,29
240462,3399,51,96,3279,1754,40
240471,2602,43,86,2254,1119,40
240480,4432,36,82,3672,1637,44
240727,4181,37,95,4001,1584,42
243744,38828,4,5,2208,1677,88
243780,31083,20,60,18779,6422,58
245652,205,40,82,169,84,51
262129,1376,16,60,834,222,62
366711,10208,17,62,6381,1783,32
367884,221,76,82,183,170,5
372958,63,68,76,48,43,64
377555,2459,23,75,1861,573,57
377564,1198,34,85,1021,410,42
384254,139,29,64,90,41,83
385619,67,79,91,61,53,60
399911,422,26,43,183,112,82
409698,12562,7,44,5577,902,27
414823,5029,9,64,3267,499,38
414878,33,21,30,10,7,0
433660,10804,25,65,7108,2761,34
434414,1683,50,98,1651,854,13
439288,1998,16,78,1568,333,50
441186,201,50,60,122,101,52
441900,1344,23,50,677,322,9
441937,6960,10,64,4484,756,39
445708,4543,13,59,2708,613,45
446048,1611,15,59,960,254,57
448840,3195,17,44,1406,562,34
454184,3033,4,71,2158,127,59
455770,122,16,53,65,20,51
