University;Acronym;Established;Location;Division;Specialization;Type;Ph.D. granting
University of Rajshahi;RU;1953;Rajshahi;Rajshahi division;General;Public;Yes
University of Dhaka;DU;1921;Dhaka;Dhaka division;General;Public;Yes
University of Chittagong;CU;1966;Chittagong;Chittagong division;General;Public;Yes
University of Barisal;BU;2011;Barisal;Barisal division;General;Public;Yes
Sheikh Hasina University;SHU;2018;Netrokona;Mymensingh division;General;Public;Yes
Rabindra University, Bangladesh;RUB;2017;Sirajganj;Rajshahi division;General;Public;Yes
Khulna University;KU;1991;Khulna;Khulna division;General;Public;Yes
Jatiya Kabi Kazi Nazrul Islam University;JKKNIU;2006;Mymensingh;Mymensingh division;General;Public;Yes
Jahangirnagar University;JU;1970;Savar, Dhaka;Dhaka division;General;Public;Yes
Jagannath University;JnU;2005;Dhaka;Dhaka division;General;Public;Yes
Islamic University, Bangladesh;IU;1979;Kushtia;Khulna division;General;Public;Yes
Comilla University;CoU;2006;Comilla;Chittagong division;General;Public;Yes
Begum Rokeya University;BRU;2008;Rangpur;Rangpur division;General;Public;Yes
Bangladesh University of Professionals;BUP;2008;Dhaka;Dhaka division;General;Public;Yes
Bangabandhu Sheikh Mujibur Rahman University;BSMRU;2020;Kishoreganj;Dhaka division;General;Public;Yes
Bangabandhu Sheikh Mujib Medical University;BSMMU;1998;Dhaka;Dhaka division;Medical;Public;No
Chittagong Medical University;CMU;2017;Chittagong;Chittagong division;Medical;Public;No
Rajshahi Medical University;RMU;2017;Rajshahi;Rajshahi division;Medical;Public;No
Sylhet Medical University;SMU;2018;Sylhet;Sylhet division;Medical;Public;No
Sheikh Hasina Medical University;SHMU;2020;Khulna;Khulna division;Medical;Public;No
Shahjalal University of Science and Technology;SUST;1986;Sylhet;Sylhet division;Science , Technology,Engineering and Mathematics ;Public;Yes
Hajee Mohammad Danesh Science & Technology University;HSTU;1999;Dinajpur;Rangpur division;Science , Technology,Engineering and Mathematics ;Public;Yes
Mawlana Bhashani Science and Technology University;MBSTU;1999;Tangail;Dhaka division;Science , Technology,Engineering and Mathematics ;Public;Yes
Patuakhali Science and Technology University;PSTU;2000;Patuakhali;Barisal division;Science , Technology,Engineering and Mathematics ;Public;Yes
Noakhali Science and Technology University;NSTU;2006;Noakhali;Chittagong division;Science , Technology,Engineering and Mathematics ;Public;Yes
Jashore University of Science and Technology;JUST;2007;Jessore;Khulna division;Science , Technology,Engineering and Mathematics ;Public;Yes
Pabna University of Science and Technology;PUST;2008;Pabna;Rajshahi division;Science , Technology,Engineering and Mathematics ;Public;Yes
Bangabandhu Sheikh Mujibur Rahman Science and Technology University;BSMRSTU;2011;Gopalganj;Dhaka division;Science , Technology,Engineering and Mathematics ;Public;Yes
Rangamati Science and Technology University;RMSTU;2014;Rangamati;Chittagong division;Science , Technology,Engineering and Mathematics ;Public;Yes
Bangamata Sheikh Fojilatunnesa Mujib Science & Technology University;BSFMSTU;2017;Jamalpur;Mymensingh division;Science , Technology,Engineering and Mathematics ;Public;Yes
Chandpur Science and Technology University;CSTU;2020;Chandpur;Chittagong division;Science , Technology,Engineering and Mathematics ;Public;Yes
Sunamganj Science and Technology University;SSTU;2020;Sunamganj;Sylhet division;Science , Technology,Engineering and Mathematics ;Public;Yes
Bogura Science and Technology University;BSTU;2020;Bogura;Rajshahi division;Science , Technology,Engineering and Mathematics ;Public;Yes
Lakshmipur Science and Technology University;LSTU;2020;Lakshmipur;Chittagong division;Science , Technology,Engineering and Mathematics ;Public;Yes
Bangladesh Agricultural University;BAU;1961;Mymensingh;Mymensingh division;Agricultural Science ;Public;Yes
