University;Acronym;Established;Location;Division;Specialization;Type;Ph.D. granting
Bangabandhu Sheikh Mujibur Rahman Agricultural University;BSMRAU;1998;Gazipur;Dhaka division;Agricultural Science ;Public;Yes
Sher-E-Bangla Agricultural University;SAU;2001;Dhaka;Dhaka division;Agricultural Science ;Public;Yes
Sylhet Agricultural University;SylAU;2006;Sylhet;Sylhet division;Agricultural Science ;Public;Yes
Khulna Agricultural University;KAU;2019;Khulna;Khulna division;Agricultural Science ;Public;Yes
Habiganj Agricultural University;HAU;2020;Habiganj;Sylhet division;Agricultural Science ;Public;Yes
Kurigram Agricultural University;KAU;2021;Kurigram;Rangpur division;Agricultural Science ;Public;
Bangladesh University of Engineering & Technology;BUET;1962;Dhaka;Dhaka division;Engineering;Public;Yes
Khulna University of Engineering & Technology;KUET;2003;Khulna;Khulna division;Engineering;Public;Yes
Chittagong University of Engineering & Technology;CUET;2003;Chittagong;Chittagong division;Engineering;Public;Yes
Rajshahi University of Engineering & Technology;RUET;2003;Rajshahi;Rajshahi division;Engineering;Public;Yes
Dhaka University of Engineering & Technology;DUET;2003;Gazipur;Dhaka division;Engineering;Public;Yes
Mymensingh Engineering College.;MEC;2009;Mymensingh;Mymensingh division;Engineering;Public;No
Sylhet Engineering College.;SEC;2008;Sylhet;Sylhet division;Engineering;Public;No
Faridpur Engineering College;FEC;2014;Faridpur;Faridpur division;Engineering;Public;No
Barisal Engineering College.;BEC;2018;Barisal;Barisal division;Engineering;Public;No
Chittagong Veterinary and Animal Sciences University;CVASU;2006;Chittagong;Chittagong division;Veterinary Science;Public;Yes
Bangladesh University of Textiles;BUTEX;2010;Dhaka;Dhaka division;Textile Engineering;Public;Yes
Bangabandhu Sheikh Mujibur Rahman Maritime University;BSMRMU;2013;Chittagong;Chittagong division;Maritime transport;Public;Yes
Bangabandhu Sheikh Mujibur Rahman Digital University;BDU;2018;Kaliakoir;Dhaka division;ICT in education;Public;No
Bangabandhu Sheikh Mujibur Rahman Aviation and Aerospace University;BSMRAAU;2019;Lalmonirhat;Rangpur division;Aeronautical Science;Public;Yes
Bangladesh Open University;BOU;1992;Gazipur;Gazipur Division;General;Public;Yes
National University Bangladesh;NU;1992;Gazipur;Gazipur Division;General;Public;Yes
Islamic Arabic University;IAU;2013;Dhaka;Dhaka division;Islamic;Private;No
International University of Business Agriculture and Technology;IUBAT;1991;Dhaka;Dhaka Division;General;Private;No
North South University;NSU;1992;Dhaka;Dhaka Division;General;Private;No
Independent University, Bangladesh;IUB;1993;Dhaka;Dhaka Division;General;Private;No
American International University-Bangladesh;AIUB;1994;Dhaka;Dhaka Division;General;Private;No
Dhaka International University;DIU;1995;Dhaka;Dhaka Division;General;Private;No
International Islamic University, Chittagong;IIUC;1995;Chittagong;Chittagong Division;General;Private;No
Asian University for Women;AUB;1996;Dhaka;Dhaka Division;General;Private;No
East West University;EWU;1996;Dhaka;Dhaka Division;General;Private;No
Gono Bishwabidyalay;GB;1996;Dhaka;Dhaka Division;General;Private;No
People's University of Bangladesh;PUB;1996;Dhaka;Dhaka Division;General;Private;No
Queens University;QU;1996;Dhaka;Dhaka Division;General;Private;No
University of Asia Pacific (Bangladesh);UAP;1996;Dhaka;Dhaka Division;General;Private;No
Chittagong Independent University (CIU);CIU;1999;Chittagong;Chittagong Division;General;Private;No
BGMEA University of Fashion & Technology;BUFT;1999;Dhaka;Dhaka Division;General;Private;No
Bangladesh University;BU;2001;Dhaka;Dhaka Division;General;Private;No
BGC Trust University Bangladesh;BGCTUB;2001;Chittagong;Chittagong Division;General;Private;No
BRAC University;BRAC;2001;Dhaka;Dhaka Division;General;Private;No
Manarat International University;MIU;2001;Dhaka;Dhaka Division;General;Private;No
Premier University, Chittagong;PU;2001;Chittagong;Chittagong Division;General;Private;No
Southern University, Bangladesh;SUB;2001;Chittagong;Chittagong Division;General;Private;No
Sylhet International University;SIU;2001;Sylhet;Sylhet Division;General;Private;No
University of Development Alternative;UODA;2002;Dhaka;Dhaka Division;General;Private;No
City University, Bangladesh;CUB;2002;Dhaka;Dhaka Division;General;Private;No
Daffodil International University;DIU;2002;Dhaka;Dhaka Division;General;Private;No
Green University of Bangladesh;GUB;2002;Dhaka;Dhaka Division;General;Private;No
IBAIS University;IU;2002;Dhaka;Dhaka Division;General;Private;No
Leading University;LU;2002;Sylhet;Sylhet Division;General;Private;No
Northern University of Bangladesh;NUB;2002;Dhaka;Dhaka Division;General;Private;No
Prime University;PU;2002;Dhaka;Dhaka Division;General;Private;No
Southeast University;SEU;2002;Dhaka;Dhaka Division;General;Private;No
Stamford University Bangladesh;SU;2002;Dhaka;Dhaka Division;General;Private;No
State University of Bangladesh;SUB;2002;Dhaka;Dhaka Division;General;Private;No
Eastern University, Bangladesh;EU;2003;Dhaka;Dhaka Division;General;Private;No
Metropolitan University;MU;2003;Sylhet;Sylhet Division;General;Private;No
Millennium University;MU;2003;Dhaka;Dhaka Division;General;Private;No
Primeasia University;PAU;2003;Dhaka;Dhaka Division;General;Private;No
Royal University of Dhaka;RUD;2003;Dhaka;Dhaka Division;General;Private;No
United International University;UIU;2003;Dhaka;Dhaka Division;General;Private;No
University of Information Technology and Sciences;UITS;2003;Dhaka;Dhaka Division;General;Private;No
University of South Asia, Bangladesh;USAB;2003;Dhaka;Dhaka Division;General;Private;No
Uttara University;UU;2003;Dhaka;Dhaka Division;General;Private;No
Victoria University of Bangladesh;VUB;2003;Dhaka;Dhaka Division;General;Private;No
World University of Bangladesh;WUB;2003;Dhaka;Dhaka Division;General;Private;No
Asa University Bangladesh;ASAUB;2006;Dhaka;Dhaka Division;General;Private;No
Bangladesh Islami University;BIU;2006;Dhaka;Dhaka Division;General;Private;No
East Delta University;EDU;2006;Chittagong;Chittagong Division;General;Private;No
Northern University of Business and Technology Khulna;NUB;2010;Khulna;Khulna Division;General;Private;No
Britannia University;BU;2010;Comilla;Chittagong Division;General;Private;No
Feni University;FU;2010;Feni;Chittagong Division;General;Private;No
Khwaja Yunus Ali University;KYAU;2010;Sirajgonj;Rajshahi Division;General;Private;No
European University of Bangladesh;EUB;2012;Dhaka;Dhaka Division;General;Private;No
First Capital University Of Bangladesh;FCUB;2012;Chuadanga;Khulna Division;General;Private;No
Hamdard University Bangladesh;HUB;2012;Dhaka;Dhaka Division;General;Private;No
Ishakha International University;IIUB;2012;Kishoreganj;Dhaka Division;General;Private;No
North East University Bangladesh;NEUB;2012;Sylhet;Sylhet Division;General;Private;No
North Western University, Bangladesh;NWU;2012;Khulna;Khulna Division;General;Private;No
Port City International University;PCIU;2012;Chittagong;Chittagong Division;General;Private;No
Varendra University;VU;2012;Rajshahi;Rajshahi Division;General;Private;No
Sonargaon University;SU;2012;Dhaka;Dhaka Division;General;Private;No
Cox's Bazar International University;CBIU;2013;Cox's Bazar;Chittagong Division;General;Private;No
Fareast International University;FIU;2013;Dhaka;Dhaka Division;General;Private;No
German University Bangladesh;GUB;2013;Gazipur;Dhaka Division;General;Private;No
North Bengal International University;NBIU;2013;Rajshahi;Rajshahi Division;General;Private;No
Notre Dame University Bangladesh;NDUB;2013;Dhaka;Dhaka Division;General;Private;No
Ranada Prasad Shaha University;RPSU;2013;Narayanganj;Dhaka Division;General;Private;No
Sheikh Fazilatunnesa Mujib University;SFMMU;2013;Jamalpur;Mymensingh Division;General;Private;No
Times University Bangladesh;TMUB;2013;Faridpur;Dhaka Division;General;Private;No
Canadian University of Bangladesh;CUST;2015;Dhaka;Dhaka Division;General;Private;No
Global University Bangladesh;GUB;2015;Barisal;Barisal Division;General;Private;No
NPI University of Bangladesh;NPIUB;2015;Manikganj;Dhaka Division;General;Private;No
Rabindra Maitree University;RMU;2015;Kushtia;Khulna Division;General;Private;No
The International University of Scholars;IUS;2015;Dhaka;Dhaka Division;General;Private;No
University of Creative Technology Chittagong;UCTC;2015;Chittagong;Chittagong Division;General;Private;No
Anwer Khan Modern University;AKMU;2016;Dhaka;Dhaka Division;General;Private;No
University of Global Village;UIGV;2016;Barisal;Barisal Division;General;Private;No
Trust University, Barishal;TU;2018;Barisal;Barisal Division;General;Private;No
University of Brahmanbaria;UOB;2018;Brahamanbaria;Comilla Division;General;Private;No
University of Skill Enrichment and Technology;USET;2018;Narayanganj;Dhaka Division;General;Private;No
International Standard University;ISU;2018;Dhaka;Dhaka Division;General;Private;No
ZNRF University of Management Sciences;ZUMS;2018;Dhaka;Dhaka Division;General;Private;No
Bandarban University;BU;2019;Bandarban;Chittagong Division;General;Private;No
RTM Al-Kabir Technical University;RTM-AKTU;2020;Sylhet;Sylhet Division;General;Private;No
University of Science & Technology Chittagong;USTC;1992;Chittagong;Chittagong Division;Science , Technology,Engineering and Mathematics ;Private;No
Ahsanullah University of Science and Technology;AUST;1995;Dhaka;Dhaka Division;Science , Technology,Engineering and Mathematics ;Private;No
Pundra University of Science and Technology;PUST;2001;Bogra;Rajshahi Division;Science , Technology,Engineering and Mathematics ;Private;No
Bangladesh University of Business and Technology;BUBT;2003;Dhaka;Dhaka Division;Science , Technology,Engineering and Mathematics ;Private;No
Presidency University;PU;2003;Dhaka;Dhaka Division;Science , Technology,Engineering and Mathematics ;Private;No
Atish Dipankar University of Science and Technology;ADUST;2004;Dhaka;Dhaka Division;Science , Technology,Engineering and Mathematics ;Private;No
ZH Sikder University of Science & Technology;ZHSUST;2012;Shariatpur;Dhaka Division;Science , Technology,Engineering and Mathematics ;Private;No
Rajshahi Science & Technology University;RSTU;2013;Natore;Rajshahi Division;Science , Technology,Engineering and Mathematics ;Private;No
Bangladesh Army International University of Science & Technology;BAIUST;2015;Comilla;Chittagong Division;Science , Technology,Engineering and Mathematics ;Private;No
Bangladesh Army University of Science and Technology;BAUST;2015;Saidpur;Rangpur Division;Science , Technology,Engineering and Mathematics ;Private;No
CCN University of Science & Technology;CCNUST;2015;Comilla;Chittagong Division;Science , Technology,Engineering and Mathematics ;Private;No
Central University of Science and Technology;CUST;2016;Dhaka;Dhaka Division;Science , Technology,Engineering and Mathematics ;Private;No
Central Women's University;CWU;1993;Dhaka;Dhaka Division;Women's studies;Private;No
Shanto-Mariam University of Creative Technology;SMUCT;2003;Dhaka;Dhaka Division;Creative technology;Private;No
University of Liberal Arts Bangladesh;ULAB;2004;Dhaka;Dhaka Division;Media studies and journalism;Private;No
Bangladesh University of Health Sciences;BUHS;2012;Dhaka;Dhaka Division;Health Sciences;Private;No
Exim Bank Agricultural University Bangladesh;EBAUB;2013;Chapainawabganj;Rajshahi Division;Agricultural Science;Private;No
Bangladesh Army University of Engineering & Technology;BAUET;2015;Natore;Rajshahi Division;Engineering and Technology;Private;No
Tagore University of Creative Arts;TUCA;2016;Dhaka;Dhaka Division;Creative;Private;No
Islamic University of Technology;IUT;1978;Gazipur;Gazipur Division;Engineering and Technology (Muslim students only);Private;Yes
Asian University for Women;AUW;2008;Chittagong;Chittagong division;(Female students only);Private;No
