IPEDSID,Year,Ranking
168342,2023,1
164465,2023,2
121345,2023,3
216287,2023,4
168218,2023,5
161004,2023,6
173258,2023,6
164155,2023,6
112260,2023,9
197036,2023,9
230959,2023,11
234207,2023,11
167835,2023,13
197133,2023,13
198385,2023,15
153384,2023,15
191515,2023,15
189097,2023,18
190099,2023,18
212911,2023,18
128328,2023,18
233374,2023,18
130697,2023,18
161086,2023,24
160977,2023,25
156295,2023,26
126678,2023,27
173902,2023,27
115409,2023,29
399911,2023,29
211273,2023,31
203535,2023,31
166124,2023,33
121257,2023,33
123165,2023,33
166939,2023,36
211291,2023,37
120254,2023,37
202523,2023,39
212577,2023,39
213385,2023,39
204501,2023,39
195526,2023,39
130590,2023,39
150400,2023,45
218070,2023,45
124292,2023,45
170286,2023,48
196866,2023,48
237057,2023,48
212009,2023,51
148016,2023,51
221519,2023,51
141060,2023,51
156408,2023,55
128902,2023,55
221351,2023,55
152673,2023,55
189088,2023,60
212674,2023,61
163976,2023,61
138600,2023,63
239017,2023,63
245652,2023,63
174844,2023,63
149781,2023,63
170532,2023,68
195216,2023,68
234085,2023,70
218973,2023,70
191630,2023,72
146427,2023,72
209922,2023,72
195304,2023,72
210669,2023,76
206589,2023,76
214175,2023,76
262129,2023,76
210401,2023,76
238333,2023,81
150455,2023,81
173647,2023,81
230816,2023,84
146481,2023,85
228343,2023,85
236328,2023,85
164216,2023,85
213251,2023,89
163912,2023,89
167996,2023,89
216524,2023,89
168281,2023,89
143084,2023,94
174747,2023,94
232256,2023,94
209056,2023,94
174792,2023,94
216667,2023,94
153162,2023,100
152390,2023,100
150756,2023,102
107080,2023,102
232308,2023,102
170301,2023,102
157818,2023,102
222983,2023,107
153834,2023,107
233295,2023,107
125763,2023,107
100937,2023,111
184348,2023,111
162654,2023,111
213668,2023,111
204909,2023,111
183239,2023,111
239716,2023,111
216278,2023,111
231059,2023,119
209065,2023,120
233426,2023,120
215798,2023,120
140553,2023,124
218539,2023,124
233301,2023,124
199607,2023,124
216807,2023,124
125727,2023,124
133492,2023,130
191676,2023,130
145691,2023,130
198950,2023,130
147341,2023,130
168546,2023,136
175980,2023,136
239628,2023,136
174251,2023,136
199111,2023,136
153144,2023,142
150604,2023,142
191533,2023,142
153108,2023,145
173300,2023,145
139393,2023,147
206525,2023,147
165936,2023,151
158477,2023,T2 (156-201)
156745,2023,T2 (156-201)
198613,2023,T2 (156-201)
154350,2023,T2 (156-201)
233718,2023,T2 (156-201)
199865,2023,T2 (156-201)
154527,2023,T2 (156-201)
197230,2023,T2 (156-201)
179946,2023,T2 (156-201)
168342,2022,1
164465,2022,2
121345,2022,4
216287,2022,3
168218,2022,5
161004,2022,6
173258,2022,9
164155,2022,6
112260,2022,8
197036,2022,11
230959,2022,9
234207,2022,11
167835,2022,17
197133,2022,22
198385,2022,13
153384,2022,13
191515,2022,13
189097,2022,17
190099,2022,17
212911,2022,16
128328,2022,22
233374,2022,22
130697,2022,17
161086,2022,17
160977,2022,25
156295,2022,30
126678,2022,26
173902,2022,27
115409,2022,28
399911,2022,29
211273,2022,30
203535,2022,30
166124,2022,35
121257,2022,35
123165,2022,30
166939,2022,30
211291,2022,38
120254,2022,42
202523,2022,42
212577,2022,42
213385,2022,38
204501,2022,37
195526,2022,38
130590,2022,46
150400,2022,46
218070,2022,46
124292,2022,42
170286,2022,46
196866,2022,50
237057,2022,38
212009,2022,50
148016,2022,59
221519,2022,50
141060,2022,54
156408,2022,59
128902,2022,50
221351,2022,54
152673,2022,57
189088,2022,62
212674,2022,54
163976,2022,67
138600,2022,66
239017,2022,62
245652,2022,75
174844,2022,62
149781,2022,59
170532,2022,71
195216,2022,57
234085,2022,67
218973,2022,67
191630,2022,75
146427,2022,79
209922,2022,62
195304,2022,71
210669,2022,85
206589,2022,71
214175,2022,67
262129,2022,82
210401,2022,71
238333,2022,75
150455,2022,92
173647,2022,79
230816,2022,79
146481,2022,82
228343,2022,98
236328,2022,85
164216,2022,98
213251,2022,75
163912,2022,89
167996,2022,98
216524,2022,85
168281,2022,85
143084,2022,92
174747,2022,92
232256,2022,98
209056,2022,82
174792,2022,105
216667,2022,92
153162,2022,89
152390,2022,105
150756,2022,98
107080,2022,98
232308,2022,105
170301,2022,111
157818,2022,92
222983,2022,111
153834,2022,105
233295,2022,111
125763,2022,114
100937,2022,128
184348,2022,117
162654,2022,117
213668,2022,124
204909,2022,98
183239,2022,105
239716,2022,117
216278,2022,117
231059,2022,126
209065,2022,117
233426,2022,128
215798,2022,146
140553,2022,128
218539,2022,128
233301,2022,141
199607,2022,136
216807,2022,117
125727,2022,114
133492,2022,128
191676,2022,124
145691,2022,146
198950,2022,136
147341,2022,126
168546,2022,128
175980,2022,114
239628,2022,128
174251,2022,141
199111,2022,146
153144,2022,136
150604,2022,146
191533,2022,146
153108,2022,136
173300,2022,141
139393,2022,146
206525,2022,155
165936,2022,158
158477,2022,164
156745,2022,T2 (168-222)
198613,2022,T2 (168-222)
154350,2022,146
233718,2022,165
199865,2022,T2 (168-222)
154527,2022,165
197230,2022,146
179946,2022,158
168342,2021,1
164465,2021,2
121345,2021,4
216287,2021,3
168218,2021,4
161004,2021,6
173258,2021,9
164155,2021,6
112260,2021,6
197036,2021,15
230959,2021,9
234207,2021,9
167835,2021,15
197133,2021,13
198385,2021,15
153384,2021,13
191515,2021,9
189097,2021,22
190099,2021,10
212911,2021,15
128328,2021,28
233374,2021,22
130697,2021,20
161086,2021,15
160977,2021,22
156295,2021,33
126678,2021,25
173902,2021,27
115409,2021,25
399911,2021,28
211273,2021,28
203535,2021,28
166124,2021,36
121257,2021,36
123165,2021,28
166939,2021,34
211291,2021,34
120254,2021,40
202523,2021,44
212577,2021,43
213385,2021,40
204501,2021,36
195526,2021,36
130590,2021,44
150400,2021,47
218070,2021,52
124292,2021,40
170286,2021,54
196866,2021,44
237057,2021,47
212009,2021,47
148016,2021,93
221519,2021,47
141060,2021,54
156408,2021,52
128902,2021,51
221351,2021,54
152673,2021,54
189088,2021,54
212674,2021,54
163976,2021,63
138600,2021,61
239017,2021,63
245652,2021,76
174844,2021,67
149781,2021,61
170532,2021,67
195216,2021,54
234085,2021,69
218973,2021,69
191630,2021,72
146427,2021,72
209922,2021,63
195304,2021,63
210669,2021,80
206589,2021,69
214175,2021,72
262129,2021,84
210401,2021,72
238333,2021,80
150455,2021,84
173647,2021,84
230816,2021,76
146481,2021,84
228343,2021,102
236328,2021,84
164216,2021,96
