Year,Month,Zone,WasteType,same_as_wikidata_wastetype,District,Name,same_as_wikidata_district,Total
2021,1,1,CDW,,1,Centro,http://wikidata.org/entity/Q1763376,56.795
2021,1,1,CDW,,6,Tetuán,http://wikidata.org/entity/Q1773540,33.08
2021,1,1,CDW,,7,Chamberí,http://wikidata.org/entity/Q1763370,34.83
2021,1,1,CDW,,8,Fuencarral-El Pardo,http://wikidata.org/entity/Q656196,59.325
2021,1,1,CDW,,9,Moncloa-Aravaca,http://wikidata.org/entity/Q2017682,180.275
2021,1,1,CDW,,10,Latina,http://wikidata.org/entity/Q794954,51.44
2021,1,1,wasteContainer,http://wikidata.org/entity/Q216530,8,Fuencarral-El Pardo,http://wikidata.org/entity/Q656196,92.68
2021,1,1,wasteContainer,http://wikidata.org/entity/Q216530,9,Moncloa-Aravaca,http://wikidata.org/entity/Q2017682,170.6
2021,1,1,wasteContainer,http://wikidata.org/entity/Q216530,10,Latina,http://wikidata.org/entity/Q794954,146.08
2021,1,1,biomedicalWaste,http://wikidata.org/entity/Q4915134,1,Centro,http://wikidata.org/entity/Q1763376,142.62
2021,1,1,biomedicalWaste,http://wikidata.org/entity/Q4915134,6,Tetuán,http://wikidata.org/entity/Q1773540,12.92
2021,1,1,biomedicalWaste,http://wikidata.org/entity/Q4915134,8,Fuencarral-El Pardo,http://wikidata.org/entity/Q656196,271.96
2021,1,1,biomedicalWaste,http://wikidata.org/entity/Q4915134,9,Moncloa-Aravaca,http://wikidata.org/entity/Q2017682,210.3
2021,1,1,biomedicalWaste,http://wikidata.org/entity/Q4915134,10,Latina,http://wikidata.org/entity/Q794954,21.74
2021,1,1,clothing,http://wikidata.org/entity/Q11460,10,Latina,http://wikidata.org/entity/Q794954,0.18
2021,1,1,glass,http://wikidata.org/entity/Q11469,1,Centro,http://wikidata.org/entity/Q1763376,505.18
2021,1,1,glass,http://wikidata.org/entity/Q11469,6,Tetuán,http://wikidata.org/entity/Q1773540,225.56
2021,1,1,glass,http://wikidata.org/entity/Q11469,7,Chamberí,http://wikidata.org/entity/Q1763370,225.28
