name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Herald St (Shoreditch),2 Herald Street,E2 6JT,,Tower Hamlets,http://www.heraldst.com/,6176877,E09000030,St Peter's,E05009331,51.524865,-0.0555633,534988.1436999999,182452.7725000009
Herald St (Camden),43 Museum Street,WC1A 1LY,,Camden,http://www.heraldst.com/,5087447,E09000007,Bloomsbury,E05013653,51.517728,-0.12532617,530169.2401999999,181532.7697999999
Ojiri Gallery,29 Charlotte Road,EC2A 3PB,,Hackney,http://www.ojirigallery.com/,100022932998,E09000012,Hoxton East & Shoreditch,E05009377,51.525371,-0.081375219,533196.1826999998,182461.72250000015
Kate MacGarry,27 Old Nichol Street,E2 7HR,,Tower Hamlets,https://www.katemacgarry.com/,6004160,E09000030,Weavers,E05009335,51.524699,-0.075435373,533610.1721999999,182397.82630000077
Annka Kultys Gallery,Unit 9,472 Hackney Road,E2 9EQ,Tower Hamlets,http://www.annkakultys.com/,No UPRN,E09000030,St Peter's,E05009331,51.53214,-0.05829,534777.5198999997,183256.74929999933
Yield Gallery,Floor 2,8 Denmark Streets,WC2H 8LS,Camden,https://www.yieldgallery.com/,No UPRN,E09000007,Holborn & Covent Garden,E05013662,51.51513,-0.12946,529889.8298000004,181236.53140000068
Gallery Different,14 Percy Street,W1T 1DR,,Camden,https://www.gallerydifferent.co.uk/,5048677,E09000007,Bloomsbury,E05013653,51.518344,-0.13294012,529639.2474999996,181587.76640000008
Eden Gallery,103 New Bond Street,W1S 1ST,,Westminster,https://www.eden-gallery.com/,100023476668,E09000033,West End,E05013808,51.513602,-0.14634997,528722.2684000004,181036.8004999999
Delahunty Fine Art,29 Bruton St,W1J 6QP,,Westminster,http://www.delahuntyfineart.com/,100023474061,E09000033,West End,E05013808,51.51078,-0.14473518,528842.2698999997,180725.8292999994
Albermarle Gallery,Lower Ground Floor,74 Newman Street,W1T 3DB,Westminster,https://albemarlegallery.com/,10033614780,E09000033,West End,E05013808,51.517627,-0.1359386,529433.2522999998,181502.7324000001
ONEROOM Gallery,9 French Place,E1 6JB ,,Hackney,https://www.oneroomgallery.co.uk/,100021042272,E09000012,Hoxton East & Shoreditch,E05009377,51.525593,-0.078425034,533400.1764000002,182491.78460000083
Zari Gallery,73 Newman Street,W1T 3EJ,,Westminster,https://zarigallery.co.uk,100023459622,E09000033,West End,E05013808,51.517664,-0.13600915,529428.2527999999,181506.72220000066
Tsivrikos Shake,97 New Bond Street,W1S 1SN,,Westminster,https://www.tsivrikosshake.com/,10033598933,E09000033,West End,E05013808,51.513874,-0.14646865,528713.2673000004,181066.8387000002
Carlos Ishikawa,"Unit 4, Cook's Yard",88 Mile End Road,,Tower Hamlets,https://www.carlosishikawa.com/,6362222,E09000030,Stepney Green,E05009334,51.520049,-0.0520063,535249.1478000004,181923.78020000085
New Art Projects ,6D Sheep Ln,London,,Hackney,https://newartprojects.com/,10008322482,E09000012,London Fields,E05009381,51.535021,-0.060076278,534645.1319000004,183573.83860000037
Almine Rech,Broadbent House,Grosvenor Hill,London,Westminster,https://www.alminerech.com/,100023474128,E09000033,West End,E05013808,51.511655,-0.14664516,528707.2725999998,180819.77280000038
