Año;Mes;Lote;Fracción;Distrito;NOMBRE;Total
2022;enero;1;PAPEL-CARTON;1;Centro;395,86
2022;enero;1;PAPEL-CARTON;6;Tetuán;381,98
2022;enero;1;PAPEL-CARTON;7;Chamberí;312,76
2022;enero;1;PAPEL-CARTON;8;Fuencarral - El Pardo;692,25
2022;enero;1;PAPEL-CARTON;9;Moncloa - Aravaca;300,38
2022;enero;1;PAPEL-CARTON;10;Latina;351,54
2022;enero;1;CARTON COMERCIAL;1;Centro;112,2
2022;enero;1;CARTON COMERCIAL;6;Tetuán;56,08
2022;enero;1;CARTON COMERCIAL;7;Chamberí;59,26
2022;enero;1;CARTON COMERCIAL;8;Fuencarral - El Pardo;2,84
2022;enero;1;CARTON COMERCIAL;9;Moncloa - Aravaca;2
2022;enero;1;CARTON COMERCIAL;10;Latina;1,52
2022;enero;1;CAMA DE CABALLO;9;Moncloa - Aravaca;51,91
2022;enero;1;CLINICOS;1;Centro;154,82
2022;enero;1;CLINICOS;6;Tetuán;11,9
2022;enero;1;CLINICOS;8;Fuencarral - El Pardo;292,94
2022;enero;1;CLINICOS;9;Moncloa - Aravaca;220,06
2022;enero;1;CLINICOS;10;Latina;21,24
2022;enero;1;ENVASES;1;Centro;235,06
2022;enero;1;ENVASES;6;Tetuán;370,26
2022;enero;1;ENVASES;7;Chamberí;349,7
2022;enero;1;ENVASES;8;Fuencarral - El Pardo;711,7
2022;enero;1;ENVASES;9;Moncloa - Aravaca;331,42
2022;enero;1;ENVASES;10;Latina;618,82
2022;enero;1;ORGANICA;1;Centro;892,96
2022;enero;1;ORGANICA;6;Tetuán;768,58
2022;enero;1;ORGANICA;7;Chamberí;799,66
2022;enero;1;ORGANICA;8;Fuencarral - El Pardo;1455,2
2022;enero;1;ORGANICA;9;Moncloa - Aravaca;943,98
2022;enero;1;ORGANICA;10;Latina;1264,78
2022;enero;1;PUNTOS LIMPIOS;8;Fuencarral - El Pardo;123,68
2022;enero;1;PUNTOS LIMPIOS;9;Moncloa - Aravaca;55,98
2022;enero;1;PUNTOS LIMPIOS;10;Latina;105,44
2022;enero;1;RCD;1;Centro;143,09
2022;enero;1;RCD;6;Tetuán;40,705
2022;enero;1;RCD;7;Chamberí;44,235
2022;enero;1;RCD;8;Fuencarral - El Pardo;96,135
2022;enero;1;RCD;9;Moncloa - Aravaca;54,33
2022;enero;1;RCD;10;Latina;58,635
2022;enero;1;RESTO;1;Centro;4006,16
2022;enero;1;RESTO;6;Tetuán;2582,28
2022;enero;1;RESTO;7;Chamberí;2208,36
2022;enero;1;RESTO;8;Fuencarral - El Pardo;3525,5
2022;enero;1;RESTO;9;Moncloa - Aravaca;2389,22
2022;enero;1;RESTO;10;Latina;3502,28
2022;enero;1;VIDRIO;1;Centro;639,52
2022;enero;1;VIDRIO;6;Tetuán;389,94
2022;enero;1;VIDRIO;7;Chamberí;237,52
2022;enero;1;VIDRIO;8;Fuencarral - El Pardo;452,58
2022;enero;1;VIDRIO;9;Moncloa - Aravaca;261,9
2022;enero;1;VIDRIO;10;Latina;227,58
2022;enero;1;VIDRIO COMERCIAL;1;Centro;55,54
2022;enero;2;PAPEL-CARTON;3;Retiro;281,2
2022;enero;2;PAPEL-CARTON;4;Salamanca;426,97
2022;enero;2;PAPEL-CARTON;5;Chamartín;299,9
2022;enero;2;PAPEL-CARTON;14;Moratalaz;121,66
2022;enero;2;PAPEL-CARTON;15;Ciudad Lineal;419,54
2022;enero;2;PAPEL-CARTON;16;Hortaleza;309,15
