Year,Month,Zone,WasteType,District,Name,Total
2021,January,2,Commercial paper,3,Retiro,"64,67"
2021,January,2,Commercial paper,4,Salamanca,"140,64"
2021,January,2,Commercial paper,5,Chamartín,"26,25"
2021,January,2,Commercial paper,15,Ciudad Lineal,"30,06"
2021,January,2,Commercial paper,16,Hortaleza,"20,03"
2021,January,2,Commercial paper,19,Vicálvaro,"2,3"
2021,January,2,Commercial paper,20,San Blas - Canillejas,"26,29"
2021,January,2,CDW,3,Retiro,"12,325"
2021,January,2,CDW,4,Salamanca,"9,845"
2021,January,2,CDW,5,Chamartín,"38,005"
2021,January,2,CDW,14,Moratalaz,"21,285"
2021,January,2,CDW,15,Ciudad Lineal,"34,14"
2021,January,2,CDW,16,Hortaleza,"23,4"
2021,January,2,CDW,19,Vicálvaro,"17,66"
2021,January,2,CDW,20,San Blas - Canillejas,"9,28"
2021,January,2,CDW,21,Barajas,"9,54"
2021,January,2, Clean points,3,Retiro,"4,6"
2021,January,2, Clean points,5,Chamartín,"93,46"
2021,January,2, Clean points,14,Moratalaz,"30,4"
2021,January,2, Clean points,15,Ciudad Lineal,"50,02"
2021,January,2, Clean points,16,Hortaleza,"50,92"
2021,January,2, Clean points,19,Vicálvaro,"25,54"
2021,January,2, Clean points,20,San Blas - Canillejas,"47,22"
2021,January,2, Clean points,21,Barajas,"24,98"
2021,January,2,Clothing containers,14,Moratalaz,"0,18"
2021,January,2,Clothing containers,19,Vicálvaro,"0,18"
2021,January,3,Rest,2,Arganzuela,2193
2021,January,3,Rest,11,Carabanchel,"5138,92"
2021,January,3,Rest,12,Usera,"2296,4"
2021,January,3,Rest,13,Puente de Vallecas,"4224,24"
2021,January,3,Rest,17,Villaverde,"2824,74"
2021,January,3,Rest,18,Villa de Vallecas,"4646,04"
2021,January,3,Packaging,2,Arganzuela,"201,88"
2021,January,3,Packaging,11,Carabanchel,"459,14"
2021,January,3,Packaging,12,Usera,"233,36"
2021,January,3,Packaging,13,Puente de Vallecas,"818,96"
2021,January,3,Packaging,17,Villaverde,"342,16"
2021,January,3,Packaging,18,Villa de Vallecas,"206,54"
2021,January,3,Glass,2,Arganzuela,"326,92"
2021,January,3,Glass,11,Carabanchel,"331,54"
2021,January,3,Glass,12,Usera,"139,22"
2021,January,3,Glass,13,Puente de Vallecas,"240,46"
2021,January,3,Glass,17,Villaverde,138
2021,January,3,Glass,18,Villa de Vallecas,"110,64"
2021,January,3,Commercial Glass,13,Puente de Vallecas,"4,14"
2021,January,3,Clinicians,12,Usera,"153,06"
2021,January,3,Clinicians,13,Puente de Vallecas,"29,86"
2021,January,3,Organic,2,Arganzuela,"402,48"
2021,January,3,Organic,11,Carabanchel,"724,36"
2021,January,3,Organic,12,Usera,"365,3"
2021,January,3,Organic,13,Puente de Vallecas,"632,98"
2021,January,3,Organic,17,Villaverde,"484,82"
2021,January,3,Organic,18,Villa de Vallecas,"813,28"
2021,January,3,Paper,2,Arganzuela,"348,3"
2021,January,3,Paper,11,Carabanchel,"293,14"
2021,January,3,Paper,12,Usera,"134,5"
2021,January,3,Paper,13,Puente de Vallecas,"252,65"
2021,January,3,Paper,17,Villaverde,"149,56"
2021,January,3,Paper,18,Villa de Vallecas,"153,3"
2021,January,3,Commercial paper,2,Arganzuela,"20,84"
2021,January,3,Commercial paper,11,Carabanchel,"25,94"
2021,January,3,Commercial paper,12,Usera,"12,56"
2021,January,3,Commercial paper,13,Puente de Vallecas,"20,8"
2021,January,3,Commercial paper,17,Villaverde,"11,02"
2021,January,3,CDW,2,Arganzuela,"37,67"
2021,January,3,CDW,11,Carabanchel,"25,02"
2021,January,3,CDW,12,Usera,"30,54"
2021,January,3,CDW,13,Puente de Vallecas,"17,89"
2021,January,3,CDW,17,Villaverde,"35,86"
2021,January,3,CDW,18,Villa de Vallecas,"32,96"
2021,January,3, Clean points,2,Arganzuela,"61,36"
2021,January,3, Clean points,11,Carabanchel,"24,52"
2021,January,3, Clean points,12,Usera,"34,14"
2021,January,3, Clean points,13,Puente de Vallecas,"33,2"
2021,January,3, Clean points,17,Villaverde,"22,36"
2021,January,3, Clean points,18,Villa de Vallecas,"64,74"
2021,January,3,Death animals,99,Sin Distrito,"6,42"
2021,February,1,Rest,1,Centro,"3159,48"
2021,February,1,Rest,6,Tetuán,"2409,06"
2021,February,1,Rest,7,Chamberí,"2165,62"
2021,February,1,Rest,8,Fuencarral - El Pardo,"3472,98"
2021,February,1,Rest,9,Moncloa - Aravaca,"2995,66"
2021,February,1,Rest,10,Latina,"3377,3"
2021,February,1,Packaging,1,Centro,"213,04"
2021,February,1,Packaging,6,Tetuán,"333,96"
2021,February,1,Packaging,7,Chamberí,"323,96"
2021,February,1,Packaging,8,Fuencarral - El Pardo,"657,96"
2021,February,1,Packaging,9,Moncloa - Aravaca,"305,7"
2021,February,1,Packaging,10,Latina,"565,26"
2021,February,1,Glass,1,Centro,"482,38"
2021,February,1,Glass,6,Tetuán,"219,4"
2021,February,1,Glass,7,Chamberí,"227,06"
2021,February,1,Glass,8,Fuencarral - El Pardo,"413,26"
2021,February,1,Glass,9,Moncloa - Aravaca,"187,06"
2021,February,1,Glass,10,Latina,"178,48"
2021,February,1,Commercial Glass,1,Centro,"24,36"
2021,February,1,Clinicians,1,Centro,"147,5"
2021,February,1,Clinicians,6,Tetuán,"12,1"
2021,February,1,Clinicians,8,Fuencarral - El Pardo,"273,68"
2021,February,1,Clinicians,9,Moncloa - Aravaca,"217,08"
2021,February,1,Clinicians,10,Latina,"21,08"
2021,February,1,Organic,1,Centro,"616,04"
2021,February,1,Organic,6,Tetuán,"748,42"
2021,February,1,Organic,7,Chamberí,"757,76"
2021,February,1,Organic,8,Fuencarral - El Pardo,"1411,28"
2021,February,1,Organic,9,Moncloa - Aravaca,"960,12"
