File,Nombre_Distrito,Wikidata_Distrito,N_Distrito,Nombre_Especie,Wikidata_Especies,N_Unidades 2022,ID_Parque_Canino,N_Barrio,Nombre_Barrio,Wikidata_Barrio,Direccion,Wikidata_Direccion
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Retiro,https://wikidata.org/entity/Q2002296,03,Otros,,2944,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,,Total,,14673,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Salamanca,https://wikidata.org/entity/Q1773521,04,Styphnolobium japonicum,https://wikidata.org/entity/Q288558,5843,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Salamanca,https://wikidata.org/entity/Q1773521,04,Platanus × hispanica,https://wikidata.org/entity/Q161374,2438,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Salamanca,https://wikidata.org/entity/Q1773521,04,Ligustrum japonicum,https://wikidata.org/entity/Q1209219,1808,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Salamanca,https://wikidata.org/entity/Q1773521,04,Ulmus pumila,,855,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Salamanca,https://wikidata.org/entity/Q1773521,04,Pinus pinea,https://wikidata.org/entity/Q106094,728,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Salamanca,https://wikidata.org/entity/Q1773521,04,Aesculus hippocastanum,https://wikidata.org/entity/Q26899,666,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Salamanca,https://wikidata.org/entity/Q1773521,04,Robinia pseudoacacia,,538,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Salamanca,https://wikidata.org/entity/Q1773521,04,Prunus cerasifera  subsp. pissardii,,491,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Salamanca,https://wikidata.org/entity/Q1773521,04,Acer negundo,https://wikidata.org/entity/Q161166,387,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Salamanca,https://wikidata.org/entity/Q1773521,04,Melia azedarach,https://wikidata.org/entity/Q162171,362,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Salamanca,https://wikidata.org/entity/Q1773521,04,Otros,,5714,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,,Total,,19830,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamartín,https://wikidata.org/entity/Q1766348,05,Platanus × hispanica,https://wikidata.org/entity/Q161374,6070,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamartín,https://wikidata.org/entity/Q1766348,05,Styphnolobium japonicum,https://wikidata.org/entity/Q288558,3709,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamartín,https://wikidata.org/entity/Q1766348,05,Ulmus pumila,,2535,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamartín,https://wikidata.org/entity/Q1766348,05,Pinus pinea,https://wikidata.org/entity/Q106094,1254,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamartín,https://wikidata.org/entity/Q1766348,05,Celtis australis,https://wikidata.org/entity/Q255375,1197,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamartín,https://wikidata.org/entity/Q1766348,05,Robinia pseudoacacia,,1115,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamartín,https://wikidata.org/entity/Q1766348,05,Ligustrum japonicum,https://wikidata.org/entity/Q1209219,927,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamartín,https://wikidata.org/entity/Q1766348,05,Prunus cerasifera  subsp. pissardii,,909,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamartín,https://wikidata.org/entity/Q1766348,05,Melia azedarach,https://wikidata.org/entity/Q162171,760,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamartín,https://wikidata.org/entity/Q1766348,05,Aesculus hippocastanum,https://wikidata.org/entity/Q26899,645,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamartín,https://wikidata.org/entity/Q1766348,05,Populus alba 'Bolleana',,563,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamartín,https://wikidata.org/entity/Q1766348,05,Otros,,6068,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,,Total,,25752,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Tetuán,https://wikidata.org/entity/Q1773540,06,Platanus × hispanica,https://wikidata.org/entity/Q161374,4619,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Tetuán,https://wikidata.org/entity/Q1773540,06,Ligustrum japonicum,https://wikidata.org/entity/Q1209219,901,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Tetuán,https://wikidata.org/entity/Q1773540,06,Ulmus pumila,,791,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Tetuán,https://wikidata.org/entity/Q1773540,06,Prunus cerasifera  subsp. pissardii,,680,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Tetuán,https://wikidata.org/entity/Q1773540,06,Styphnolobium japonicum,https://wikidata.org/entity/Q288558,533,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Tetuán,https://wikidata.org/entity/Q1773540,06,Melia azedarach,https://wikidata.org/entity/Q162171,521,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Tetuán,https://wikidata.org/entity/Q1773540,06,Celtis australis,https://wikidata.org/entity/Q255375,497,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Tetuán,https://wikidata.org/entity/Q1773540,06,Cupressus sempervirens,https://wikidata.org/entity/Q147513,497,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Tetuán,https://wikidata.org/entity/Q1773540,06,Pinus pinea,https://wikidata.org/entity/Q106094,496,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Tetuán,https://wikidata.org/entity/Q1773540,06,Aesculus hippocastanum,https://wikidata.org/entity/Q26899,453,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Tetuán,https://wikidata.org/entity/Q1773540,06,Otros,,5000,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,,Total,,14988,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamberí,https://wikidata.org/entity/Q1763370,07,Styphnolobium japonicum,https://wikidata.org/entity/Q288558,5735,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamberí,https://wikidata.org/entity/Q1763370,07,Platanus × hispanica,https://wikidata.org/entity/Q161374,1729,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamberí,https://wikidata.org/entity/Q1763370,07,Ulmus pumila,,810,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamberí,https://wikidata.org/entity/Q1763370,07,Celtis australis,https://wikidata.org/entity/Q255375,783,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamberí,https://wikidata.org/entity/Q1763370,07,Ligustrum japonicum,https://wikidata.org/entity/Q1209219,610,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamberí,https://wikidata.org/entity/Q1763370,07,Melia azedarach,https://wikidata.org/entity/Q162171,513,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamberí,https://wikidata.org/entity/Q1763370,07,Robinia pseudoacacia,,306,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamberí,https://wikidata.org/entity/Q1763370,07,Koelreuteria paniculata,https://wikidata.org/entity/Q844835,274,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamberí,https://wikidata.org/entity/Q1763370,07,Aesculus hippocastanum,https://wikidata.org/entity/Q26899,265,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamberí,https://wikidata.org/entity/Q1763370,07,Prunus cerasifera  subsp. pissardii,,251,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamberí,https://wikidata.org/entity/Q1763370,07,Cercis siliquastrum,https://wikidata.org/entity/Q29488,203,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamberí,https://wikidata.org/entity/Q1763370,07,Fraxinus angustifolia,,176,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Chamberí,https://wikidata.org/entity/Q1763370,07,Otros,,1983,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,,Total,,13638,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Platanus × hispanica,https://wikidata.org/entity/Q161374,9427,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Ulmus pumila,,4918,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Celtis australis,https://wikidata.org/entity/Q255375,3988,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Pinus pinea,https://wikidata.org/entity/Q106094,3078,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Robinia pseudoacacia,,2401,,,,,,
