PARQUE;ESPECIE;UNIDADES 2022;;;;;;;;;;;
Z.V.DISTRITO C-LAS TABLAS;Olea europaea;44;;;;;;;;;;;
Z.V.DISTRITO C-LAS TABLAS;Otros;279;;;;;;;;;;;
;Total:;1.718;;;;;;;;;;;
PARQUE JUAN CARLOS I;Olea europaea;2409;;;;;;;;;;;
PARQUE JUAN CARLOS I;Pinus pinea;1098;;;;;;;;;;;
PARQUE JUAN CARLOS I;Catalpa bignonioides;931;;;;;;;;;;;
PARQUE JUAN CARLOS I;Styphnolobium japonicum;624;;;;;;;;;;;
PARQUE JUAN CARLOS I;Cupressus sempervirens;552;;;;;;;;;;;
PARQUE JUAN CARLOS I;Cupressus x leylandii;507;;;;;;;;;;;
PARQUE JUAN CARLOS I;Fraxinus excelsior;507;;;;;;;;;;;
PARQUE JUAN CARLOS I;Platanus x hispanica;471;;;;;;;;;;;
PARQUE JUAN CARLOS I;Morus alba;435;;;;;;;;;;;
PARQUE JUAN CARLOS I;Populus alba;353;;;;;;;;;;;
PARQUE JUAN CARLOS I;Otros;6403;;;;;;;;;;;
;Total:;14290;;;;;;;;;;;
PARQUE JUAN PABLO II;Pinus pinea;143;;;;;;;;;;;
PARQUE JUAN PABLO II;Aesculus hippocastanum;133;;;;;;;;;;;
PARQUE JUAN PABLO II;Morus alba;129;;;;;;;;;;;
PARQUE JUAN PABLO II;Celtis australis;125;;;;;;;;;;;
PARQUE JUAN PABLO II;Gleditsia triacanthos;88;;;;;;;;;;;
PARQUE JUAN PABLO II;Liquidambar styraciflua;80;;;;;;;;;;;
PARQUE JUAN PABLO II;Prunus dulcis;67;;;;;;;;;;;
PARQUE JUAN PABLO II;Cupressus sempervirens;56;;;;;;;;;;;
PARQUE JUAN PABLO II;Lagerstroemia indica;47;;;;;;;;;;;
PARQUE JUAN PABLO II;Tilia platyphyllos;47;;;;;;;;;;;
PARQUE JUAN PABLO II;Otros;730;;;;;;;;;;;
;Total:;1.645;;;;;;;;;;;
PARQUE MADRID RÍO;Pinus pinea;3016;;;;;;;;;;;
PARQUE MADRID RÍO;Pinus halepensis;2474;;;;;;;;;;;
PARQUE MADRID RÍO;Platanus x hispanica;1506;;;;;;;;;;;
PARQUE MADRID RÍO;Fraxinus angustifolia;732;;;;;;;;;;;
PARQUE MADRID RÍO;Acer x freemanii;634;;;;;;;;;;;
PARQUE MADRID RÍO;Populus nigra;601;;;;;;;;;;;
PARQUE MADRID RÍO;Melia azedarach;516;;;;;;;;;;;
PARQUE MADRID RÍO;Aesculus hippocastanum;485;;;;;;;;;;;
PARQUE MADRID RÍO;Ginkgo biloba;402;;;;;;;;;;;
PARQUE MADRID RÍO;Celtis australis;387;;;;;;;;;;;
PARQUE MADRID RÍO;Otros;4137;;;;;;;;;;;
;Total:;14.890;;;;;;;;;;;
QUINTA DE LOS MOLINOS;Prunus dulcis;1503;;;;;;;;;;;
