MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
4996497;C1271-Canina - CALLE DEL CORINDON 10;12;USERA;123;SAN FERMIN;01/08/13;CALLE;CORINDON;10;31005121;CANINAS;0;ACTIVO
4996500;C1174-Canina - CAMINO DE LAS CRUCES 58;11;CARABANCHEL;116;BUENAVISTA;01/08/13;CAMINO;CRUCES;58;20145404;CANINAS;0;ACTIVO
4996514;C1970 - Canina - CALLE DE MINERVA 161;19;VICALVARO;193;VALDERRIVAS;01/08/13;CALLE;MINERVA;161;20180448;CANINAS;0;ACTIVO
4996516;C1980 - Canina - CALLE DE AMBROZ 2B;19;VICALVARO;191;CASCO H.VICALVARO;01/08/13;CALLE;AMBROZ;2B;11132724;CANINAS;0;ACTIVO
4996517;C1973 - Canina - PLAZA DE JUAN ROF CARBALLO 4;19;VICALVARO;192;VALDEBERNARDO;01/08/13;PLAZA;JUAN ROF CARBALLO;4;20144607;CANINAS;0;ACTIVO
4996518;C1975 - Canina - CALLE DE LA LADERA DE LOS ALMENDROS 14G;19;VICALVARO;192;VALDEBERNARDO;01/08/13;CALLE;LADERA DE LOS ALMENDROS;14G;20151606;CANINAS;0;ACTIVO
4996519;C1976 - Canina -  AVENIDA DE DAROCA 296;19;VICALVARO;191;CASCO H.VICALVARO;01/08/13;AVENIDA;DAROCA;301;31041869;CANINAS;0;ACTIVO
4996520;C1978 - Canina - CAMINO  VIEJO DE VICALVARO 16;19;VICALVARO;192;VALDEBERNARDO;01/08/13;CAMINO;VIEJO DE VICALVARO;16;20108197;CANINAS;0;ACTIVO
4996521;C1972 - Canina - CALLE DE LOS PINILLAS 11;19;VICALVARO;192;VALDEBERNARDO;01/08/13;CALLE;PINILLAS;11;20124628;CANINAS;0;ACTIVO
4996522;C1979 - Canina - CALLE DEL MERCURIO 69;19;VICALVARO;191;CASCO H.VICALVARO;01/08/13;CALLE;MERCURIO;69;11132675;CANINAS;0;ACTIVO
4996523;C1974 - Canina - PLAZA DE ROSA CHACEL 10;19;VICALVARO;192;VALDEBERNARDO;01/08/13;PLAZA;ROSA CHACEL;10;20144587;CANINAS;0;ACTIVO
4996524;C1977 - Canina - CALLE DE LA LADERA DE LOS ALMENDROS 46;19;VICALVARO;192;VALDEBERNARDO;01/08/13;CALLE;LADERA DE LOS ALMENDROS;46;31010689;CANINAS;0;ACTIVO
4996525;C1971 - Canina - PLAZA DE JUAN CARLOS ONETTI 3;19;VICALVARO;192;VALDEBERNARDO;01/08/13;PLAZA;JUAN CARLOS ONETTI;3;20144590;CANINAS;0;ACTIVO
4996527;C1772-Canina - CALLE DE MENASALBAS 8;17;VILLAVERDE;175;LOS ANGELES;01/08/13;CALLE;MENASALBAS;8;11129131;CANINAS;0;ACTIVO
4996528;C1773-Canina - AVENIDA DE LOS ROSALES 129;17;VILLAVERDE;173;BUTARQUE;01/08/13;AVENIDA;LOS ROSALES;129;31051872;CANINAS;0;ACTIVO
4996529;C1770-Canina - CALLE DE LA COALICION 35A;17;VILLAVERDE;174;LOS ROSALES;01/08/13;CALLE;COALICION;35A;20079680;CANINAS;0;ACTIVO
4996530;C1774-Canina - CALLE DE LOS AFLUENTES 12;17;VILLAVERDE;171;VILLAVERDE ALTO C.H.;01/08/13;CALLE;AFLUENTES;12;20177587;CANINAS;0;ACTIVO
4996531;C1775-Canina - CALLE DE ALCOCER 1;17;VILLAVERDE;175;LOS ANGELES;01/08/13;CALLE;SANTIAGO AMON;4;20047452;CANINAS;0;ACTIVO
4996532;C1771-Canina - PLAZA DE GOMEZ ACEBO 1;17;VILLAVERDE;171;VILLAVERDE ALTO C.H.;01/08/13;PLAZA;GOMEZ ACEBO;1;11123596;CANINAS;0;ACTIVO
4996533;C1172-Canina - PASEO DE MARCELINO CAMACHO 6;11;CARABANCHEL;114;VISTA ALEGRE;01/08/13;PASEO;MARCELINO CAMACHO;6;20022926;CANINAS;0;ACTIVO
4996536;C1175-Canina - CALLE DEL FAROLILLO 2;11;CARABANCHEL;113;SAN ISIDRO;01/08/13;CALLE;FAROLILLO;2;20064485;CANINAS;0;ACTIVO
4996537;C1176-Canina- CALLE DE PORTALEGRE 28;11;CARABANCHEL;112;OPAÑEL;01/08/13;CALLE;PORTALEGRE;28;11070274;CANINAS;0;ACTIVO
4996539;C1177-Canina - CALLE DE ANTONIO ROMERO 14;11;CARABANCHEL;117;ABRANTES;01/08/13;CALLE;ANTONIO ROMERO;14;31000974;CANINAS;0;ACTIVO
4996540;C1178-Canina - CALLE DEL CONDE DE MORPHY 6;11;CARABANCHEL;115;PUERTA BONITA;01/08/13;CALLE;CONDE DE MORPHY;6;31005845;CANINAS;0;ACTIVO
4996545;C1870 - Canina - CAMINO DE LA SUERTE 28;18;VILLA DE VALLECAS;181;CASCO H.VALLECAS;01/08/13;CAMINO;SUERTE;28;20079524;CANINAS;0;ACTIVO
4996546;C1871 - Canina - CALLE DE VILLAR DEL POZO 4E;18;VILLA DE VALLECAS;181;CASCO H.VALLECAS;01/08/13;CALLE;VILLAR DEL POZO;4E;20180003;CANINAS;0;ACTIVO
4996547;C1872 - Canina - CALLE DE CABEZA MESADA 36;18;VILLA DE VALLECAS;181;CASCO H.VALLECAS;01/08/13;CALLE;CABEZA MESADA;36;31025427;CANINAS;0;ACTIVO
4996548;C1470 - Canina - CALLE DE LA HACIENDA DE PAVONES 209;14;MORATALAZ;146;VINATEROS;01/08/13;CALLE;HACIENDA DE PAVONES;209;31044614;CANINAS;0;ACTIVO
4996549;C1471 - Canina - CALLE DEL CAMINO DE LOS VINATEROS 107C;14;MORATALAZ;143;MARROQUINA;01/08/13;CALLE;CAMINO DE LOS VINATEROS;107C;31046138;CANINAS;0;ACTIVO
4996550;C1473 - Canina - CALLE DE VALDEBERNARDO 18B;14;MORATALAZ;141;PAVONES;01/08/13;CALLE;VALDEBERNARDO;18B;31003522;CANINAS;0;ACTIVO
4996551;C1472 - Canina - CALLE DE LA ENCOMIENDA DE PALACIOS 170P;14;MORATALAZ;145;FONTARRON;01/08/13;CALLE;ENCOMIENDA DE PALACIOS;170P;31003513;CANINAS;0;ACTIVO
4996553;C1474 - Canina -  CALLE DEL ARROYO FONTARRON 363;14;MORATALAZ;141;PAVONES;01/08/13;CALLE;ARROYO FONTARRON;361;11101201;CANINAS;0;ACTIVO
4996554;C1371 - Canina - CALLE DE FERNANDO GIRALDEZ 32;13;PUENTE DE VALLECAS;136;NUMANCIA;01/08/13;CALLE;FERNANDO GIRALDEZ;32;31018768;CANINAS;0;ACTIVO
4996556;C1372 - Canina - CALLE DE TANGER 9;13;PUENTE DE VALLECAS;135;PORTAZGO;01/08/13;CALLE;TANGER;9;11098004;CANINAS;0;ACTIVO
4996559;C1374 - Canina - RONDA  SUR 6D;13;PUENTE DE VALLECAS;131;ENTREVIAS;01/08/13;RONDA;SUR;6D;31060375;CANINAS;17;ACTIVO
4996562;C1377 - Canina - CALLE DE VIRIDIANA 13F;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;01/08/13;CALLE;VIRIDIANA;13F;20081150;CANINAS;0;ACTIVO
4996575;C1376 - Canina - CALLE DEL TROLE 9G;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;01/08/16;CALLE;TROLE;9G;31033993;CANINAS;0;ACTIVO
4996578;C1170-Canina - AVENIDA DE ABRANTES 305;11;CARABANCHEL;115;PUERTA BONITA;01/08/13;AVENIDA;ABRANTES;305;31045991;CANINAS;0;ACTIVO
4996586;C0201 - Canina Z.V. PUERTO DE  BEJAR;02;ARGANZUELA;024;LEGAZPI;;CALLE;PUERTO DE BEJAR;7;20000295;CANINAS;0;ACTIVO
4996591;C0202 - Canina C/ TOMAS BRETON - INSERSO;02;ARGANZUELA;025;DELICIAS;;CALLE;TOMAS BRETON;49 A;11009598;CANINAS;0;ACTIVO
4996660;C0205-Canina PARQUE DE LAS PEÑUELAS;02;ARGANZUELA;022;ACACIAS;;CALLE;ARGANDA;40;20065135;CANINAS;0;ACTIVO
4996986;C0303 - Canina Pº INFANTA ISABEL;03;RETIRO;031;PACIFICO;;PASEO;INFANTA ISABEL;2;31000002;CANINAS;0;ACTIVO
4997032;C0305-Canina PARQUE ANUNCIACION;03;RETIRO;036;NIÑO JESUS;;CALLE;ANUNCIACION;1;20008564;CANINAS;0;ACTIVO
4997144;C0401-Canina PARQUE SANCHO DAVILA;04;SALAMANCA;043;FUENTE DEL BERRO;;PLAZA;AMERICA ESPAÑOLA;2;11016697;CANINAS;0;ACTIVO
4997171;C0402 - Canina ESTACION DE METRO CARTAGENA;04;SALAMANCA;044;GUINDALERA;;AVENIDA;AMERICA;32;11018130;CANINAS;0;ACTIVO
4997200;C0403 - Canina BERLIN - BRISTOL;04;SALAMANCA;044;GUINDALERA;;CALLE;BERLIN;5;11017903;CANINAS;0;ACTIVO
4997212;C0404-Canina PARQUE DE MARIA EVA DUARTE DE PERON;04;SALAMANCA;044;GUINDALERA;;CALLE;FLORESTAN AGUILAR;2;11017052;CANINAS;0;ACTIVO
4997227;C0501 - Canina FINAL C/ COLOMBIA;05;CHAMARTIN;054;HISPANOAMERICA;;CALLE;COLOMBIA;61;11025089;CANINAS;0;ACTIVO
4997300;C1001-Canina PARQUE ALUCHE;10;LATINA;104;ALUCHE;21/11/16;CALLE;VALMOJADO;2;31044411;CANINAS;0;ACTIVO
4997902;C0802-Canina PARQUE JOAQUIN LORENZO;08;FUENCARRAL-EL PARDO;083;PEÑA GRANDE;;CALLE;VALLE DE MENA;20;31028906;CANINAS;0;ACTIVO
4997956;C0901-Canina CALLE VALLE DE ARAN, 7;09;MONCLOA-ARAVACA;093;CIUDAD UNIVERSITARIA;;CALLE;VALLE DE ARAN;7;20097388;CANINAS;0;ACTIVO
4997993;C0902-Canina AVDA. EUROPA;09;MONCLOA-ARAVACA;097;ARAVACA;;AVENIDA;EUROPA;34 A;20059124;CANINAS;0;ACTIVO
4997994;C0903-Canina AVENIDA VALDEMARIN, 67;09;MONCLOA-ARAVACA;095;VALDEMARIN;;AVENIDA;VALDEMARIN;67;20166322;CANINAS;0;ACTIVO
4997995;C0904-Canina OFELIA NIETO;09;MONCLOA-ARAVACA;094;VALDEZARZA;;CALLE;OFELIA NIETO;57;11055424;CANINAS;0;ACTIVO
4997996;C0906-Canina SACONIA;09;MONCLOA-ARAVACA;094;VALDEZARZA;;CALLE;VALDERREY;14;11054866;CANINAS;0;ACTIVO
4997997;C1002-Canina STA. MARGARITA PAR 45;10;LATINA;107;LAS AGUILAS;;AVENIDA;LAS AGUILAS;144;31032996;CANINAS;0;ACTIVO
