Nombre_distrito;Nº_Distrito;NOMBRE_ESPECIE;Nº_Unidades 2022;;;;
MONCLOA-ARAVACA;09;Prunus cerasifera  subsp. pissardii;671;;;;
MONCLOA-ARAVACA;09;Otros;11711;;;;
;;Total;31668;;;;
LATINA;10;Platanus x hispanica;5270;;;;
LATINA;10;Ulmus pumila;4022;;;;
LATINA;10;Pinus pinea;2239;;;;
LATINA;10;Robinia pseudoacacia;1798;;;;
LATINA;10;Celtis australis;1793;;;;
LATINA;10;Prunus cerasifera  subsp. pissardii;1578;;;;
LATINA;10;Styphnolobium japonicum;1515;;;;
LATINA;10;Ligustrum japonicum;1118;;;;
LATINA;10;Acer negundo;1006;;;;
LATINA;10;Cupressus sempervirens;957;;;;
LATINA;10;Aesculus hippocastanum;915;;;;
LATINA;10;Otros;13589;;;;
;;Total;35800;;;;
CARABANCHEL;11;Platanus x hispanica;7507;;;;
CARABANCHEL;11;Pinus pinea;4598;;;;
CARABANCHEL;11;Styphnolobium japonicum;2738;;;;
CARABANCHEL;11;Ulmus pumila;2660;;;;
CARABANCHEL;11;Robinia pseudoacacia;2197;;;;
CARABANCHEL;11;Celtis australis;2067;;;;
CARABANCHEL;11;Acer negundo;1544;;;;
CARABANCHEL;11;Gleditsia triacanthos;1391;;;;
CARABANCHEL;11;Aesculus hippocastanum;993;;;;
CARABANCHEL;11;Cupressus sempervirens;947;;;;
CARABANCHEL;11;Ligustrum japonicum;945;;;;
CARABANCHEL;11;Melia azedarach;776;;;;
CARABANCHEL;11;Otros;13159;;;;
;;Total;41522;;;;
USERA;12;Platanus x hispanica;4955;;;;
USERA;12;Ulmus pumila;3697;;;;
USERA;12;Pinus pinea;2042;;;;
USERA;12;Robinia pseudoacacia;1979;;;;
USERA;12;Celtis australis;1496;;;;
USERA;12;Styphnolobium japonicum;1320;;;;
USERA;12;Acer negundo;1143;;;;
USERA;12;Cedrus deodara;773;;;;
USERA;12;Melia azedarach;730;;;;
USERA;12;Ligustrum japonicum;613;;;;
USERA;12;Prunus cerasifera;606;;;;
USERA;12;Platanus orientalis;596;;;;
USERA;12;Otros;10987;;;;
;;Total;30937;;;;
PUENTE DE VALLECAS;13;Platanus x hispanica;4434;;;;
PUENTE DE VALLECAS;13;Platanus orientalis;4342;;;;
PUENTE DE VALLECAS;13;Styphnolobium japonicum;3455;;;;
PUENTE DE VALLECAS;13;Robinia pseudoacacia;3408;;;;
PUENTE DE VALLECAS;13;Ulmus pumila;3034;;;;
PUENTE DE VALLECAS;13;Pinus pinea;2449;;;;
PUENTE DE VALLECAS;13;Acer negundo;2229;;;;
PUENTE DE VALLECAS;13;Ligustrum japonicum;2090;;;;
PUENTE DE VALLECAS;13;Celtis australis;1349;;;;
PUENTE DE VALLECAS;13;Catalpa bignonioides;1090;;;;
PUENTE DE VALLECAS;13;Prunus cerasifera  subsp. pissardii;1080;;;;
PUENTE DE VALLECAS;13;Melia azedarach;1015;;;;
PUENTE DE VALLECAS;13;Otros;14954;;;;
;;Total;44929;;;;
MORATALAZ;14;Ulmus pumila;5742;;;;
MORATALAZ;14;Platanus x hispanica;1986;;;;
MORATALAZ;14;Pinus pinea;1957;;;;
MORATALAZ;14;Celtis australis;1708;;;;
MORATALAZ;14;Acer negundo;1217;;;;
MORATALAZ;14;Platanus orientalis;1067;;;;
MORATALAZ;14;Prunus cerasifera  subsp. pissardii;748;;;;
MORATALAZ;14;Melia azedarach;671;;;;
MORATALAZ;14;Acer pseudoplatanus;595;;;;
MORATALAZ;14;Catalpa bignonioides;578;;;;
MORATALAZ;14;Otros;8512;;;;
;;Total;24781;;;;
CIUDAD LINEAL;15;Platanus x hispanica;4680;;;;
CIUDAD LINEAL;15;Ulmus pumila;4439;;;;
CIUDAD LINEAL;15;Pinus pinea;4130;;;;
CIUDAD LINEAL;15;Styphnolobium japonicum;1684;;;;
CIUDAD LINEAL;15;Prunus cerasifera  subsp. pissardii;1629;;;;
CIUDAD LINEAL;15;Celtis australis;1420;;;;
CIUDAD LINEAL;15;Robinia pseudoacacia;1415;;;;
CIUDAD LINEAL;15;Acer negundo;1329;;;;
CIUDAD LINEAL;15;Cupressus sempervirens;1021;;;;
CIUDAD LINEAL;15;Pinus halepensis;984;;;;
