ID-EVENTO,TITULO,GRATUITO,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,NOMBRE-INSTALACION,URL-INSTALACION,ACCESIBILIDAD-INSTALACION,DIRECCION,NUM-INSTALACION,DISTRITO-INSTALACION,LATITUD,LONGITUD,TIPO,AUDIENCIA
12124733,"10 emociones, 10 rosas",NO GRATUITO,"M,X,J,V,S,D",2023-10-10 00:00:00.0,2023-10-19 23:59:00.0,,Entrada libre hasta completar aforo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc84a325d4ffa810VgnVCM1000001d4a900aRCRD,Espacio Cultural Serrería Belga,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3c0f13cd18a0810VgnVCM1000001d4a900aRCRD,ACCESSIBLE,CALLE ALAMEDA,15,CENTRO,40.4105673503608,-3.6937819843413373,ProgramacionDestacadaAgendaCultura,Todos
12096206,20.000 especies de abejas,NO GRATUITO,U,2023-10-20 00:00:00.0,2023-10-20 23:59:00.0,19:00,Sin información,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=94dd6b6c66d8a810VgnVCM2000001f4a900aRCRD,Centro Cultural Francisco Fatou (Villa de Vallecas),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9e73d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,CALLE MANUEL VELEZ,10,VILLA DE VALLECAS,40.379584618162156,-3.623110349262379,CineActividadesAudiovisuales,Todos
12110035,20.000 especies de abejas,GRATUITO,U,2023-10-26 00:00:00.0,2023-10-26 23:59:00.0,19:00,"De Estibaliz Urresola Solaguren. Con Sofía Otero, Patricia López Arnaiz, Ane Gabaraín. España 2023. Duración: 129 minutos. No recomendada para menores de 7 años y especialmente recomendada para el fomento de la igualdad de género. Cocó, de ocho años, no encaja en las expectativas del resto y no entiende por qué. Todos a su alrededor insisten en llamarle Aitor pero no se reconoce en ese nombre ni en la mirada de los demás. Su madre Ane, (Patricia López Arnaiz), sumida en una crisis profesional y sentimental, aprovechará las vacaciones para viajar con sus tres hijos a la casa materna, donde reside su madre Lita (Itziar Lazkano) y su tía Lourdes (Ane Gabarain), estrechamente ligada a la cría de abejas y la producción de miel. Este verano que cambiará sus vidas obligará a estas mujeres de tres generaciones muy distintas a enfrentarse a sus dudas y temores. ",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4759a738045da810VgnVCM1000001d4a900aRCRD,Centro Sociocultural Alberto Sánchez (Puente de Vallecas),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=20a43d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,CALLE RISCO DE PELOCHE,14,PUENTE DE VALLECAS,40.393619022093546,-3.6556016835101834,CineActividadesAudiovisuales,Todos
12116406,23 paseos,GRATUITO,U,2023-10-08 00:00:00.0,2023-10-08 23:59:00.0,19:00,Sin información,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e631eceda70ea810VgnVCM1000001d4a900aRCRD,Centro Cultural Juan Genovés (Moncloa - Aravaca),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13153d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,TRAVESIA CAÑO,5,MONCLOA-ARAVACA,40.45866721398762,-3.786129575145957,CineActividadesAudiovisuales,Todos
12096505,24 horas,NO GRATUITO,U,2023-11-03 00:00:00.0,2023-11-03 23:59:00.0,19:00,Sin información,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a4ba55f80e8a810VgnVCM2000001f4a900aRCRD,Centro Cultural Francisco Fatou (Villa de Vallecas),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9e73d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,CALLE MANUEL VELEZ,10,VILLA DE VALLECAS,40.379584618162156,-3.623110349262379,CineActividadesAudiovisuales,Todos
12117024,4 patas tiene un cuento,GRATUITO,U,2023-10-14 00:00:00.0,2023-10-14 23:59:00.0,18:00,"Paula Sánchez Arévalo  Cuatro cuentos sobre las emociones, a través del teatro, la danza y la música, para reir, pensar y celebrar.     Duración: 50 minutos   Público infantil y familiar ",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c825b3a00f0ea810VgnVCM2000001f4a900aRCRD,Centro Cultural San Juan Bautista (Ciudad Lineal),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=618b1e79ee71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,CALLE SAN NEMESIO,4,CIUDAD LINEAL,40.45224737965276,-3.6580402287911937,TeatroPerformance/ComediaMonologo,"Niños,Familias"
12050468,4x4,NO GRATUITO,"M,X,J,V,S,D",2023-12-14 00:00:00.0,2024-01-14 23:59:00.0,,Sin información,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=16e9e6b609029810VgnVCM1000001d4a900aRCRD,Fernán Gómez Centro Cultural de la Villa,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba663d0b5e71c010VgnVCM1000000b205a0aRCRD,"ACCESSIBLE,MAGNETIC LOOP",PLAZA COLON,4,SALAMANCA,40.4249721516942,-3.689948085098791,ProgramacionDestacadaAgendaCultura,Familias
12111217,6º Congreso Global de Metapoesía: la metapoesía es un género nuevo,GRATUITO,"L,M,X,J,V,S,D",2023-10-13 00:00:00.0,2023-10-15 23:59:00.0,10:00,Sin información,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=45000dae9a6da810VgnVCM2000001f4a900aRCRD,Biblioteca Pública Municipal San Fermín (Usera),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=83e748aaf535e710VgnVCM1000001d4a900aRCRD,"ACCESSIBLE,TACTILE PAVING,MAGNETIC LOOP",AVENIDA SAN FERMIN,10,USERA,40.3711623444796,-3.692742821990015,Cultural,Todos
11731709,7º Concurso de relatos Cuarto y Mitad: 'Ojos de Besugo',GRATUITO,"L,M,X,J,V,S,D",2023-08-14 00:00:00.0,2023-10-08 23:59:00.0,,Sin información,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d98a590d22f1810VgnVCM1000001d4a900aRCRD,Biblioteca Pública Municipal Mario Vargas Llosa (Centro),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD,"ACCESSIBLE,MAGNETIC LOOP",CALLE BARCELO,4,CENTRO,40.426642215368176,-3.699722994908341,ConcursosCertamenes,Todos
12104168,90 Salón de Otoño,GRATUITO,"L,M,X,J,V,S,D",2023-10-26 00:00:00.0,2023-11-26 23:59:00.0,,Sin información,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cbc606532e1ba810VgnVCM2000001f4a900aRCRD,Centro Cultural Casa de Vacas (Retiro),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,PASEO COLOMBIA,1,RETIRO,40.41906024374356,-3.6840615387926956,Exposiciones,Todos
12120130,A cuatro manos,NO GRATUITO,U,2023-10-22 00:00:00.0,2023-10-22 23:59:00.0,11:00,Gratuito con inscripción previa,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e2330982035fa810VgnVCM1000001d4a900aRCRD,Matadero Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD,ACCESSIBLE,PLAZA LEGAZPI,8,ARGANZUELA,40.39130985242181,-3.6958028442054074,Cultural,Todos
12110491,A los cuatro vientos,GRATUITO,U,2023-10-27 00:00:00.0,2023-10-27 23:59:00.0,19:00,Sin información,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0a6ad0a10c5da810VgnVCM1000001d4a900aRCRD,Centro Cultural Lope de Vega (Puente de Vallecas),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4a273d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,CALLE CONCEJO DE TEVERGA,1,PUENTE DE VALLECAS,40.386296991431074,-3.671858416387963,TeatroPerformance,Todos
12116006,A mi manera,GRATUITO,U,2023-10-14 00:00:00.0,2023-10-14 23:59:00.0,20:00,Sin información,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c320aa10befda810VgnVCM1000001d4a900aRCRD,Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=add63d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,AVENIDA GLORIETAS,19,PUENTE DE VALLECAS,40.37381624358889,-3.6599325731670977,Musica/Flamenco,Todos
12060610,A por el littering,GRATUITO,U,2023-10-26 00:00:00.0,2023-10-26 23:59:00.0,18:00,¿Alguna vez has encontrado determinados tipos de residuos en lugares que no te esperabas? ¿Os habéis fijado cuántos residuos hay por la calle? ¿En el campo? ¿En la playa? ¿Cómo han llegado allí? A través de este juego por equipos descubriremos que es el 'littering' y sus consecuencias. Actividad dirigida para niñas y niños de 6 a 9 años.  Necesaria inscripción previa a través de este enlace a partir de septiembre ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c048a2625bd69810VgnVCM1000001d4a900aRCRD,Biblioteca Pública Municipal San Blas (San Blas-Canillejas),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e403d0b5e71c010VgnVCM1000000b205a0aRCRD,"ACCESSIBLE,MAGNETIC LOOP",CALLE SAN ROMAN DEL VALLE,8,SAN BLAS-CANILLEJAS,40.420231627534996,-3.6218113860909074,CursosTalleres,Niños
12060608,A por el littering,GRATUITO,U,2023-10-11 00:00:00.0,2023-10-11 23:59:00.0,18:00,¿Alguna vez has encontrado determinados tipos de residuos en lugares que no te esperabas? ¿Os habéis fijado cuántos residuos hay por la calle? ¿En el campo? ¿En la playa? ¿Cómo han llegado allí? A través de este juego por equipos descubriremos que es el 'littering' y sus consecuencias. Actividad dirigida para niñas y niños de 6 a 9 años.  Es necesaria inscripción previa a través de este enlace a partir del 11 de septiembre ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1447014d86d69810VgnVCM1000001d4a900aRCRD,Biblioteca Pública Municipal Pío Baroja (Arganzuela),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=17f879262ef5d010VgnVCM1000000b205a0aRCRD,"ACCESSIBLE,MAGNETIC LOOP",CALLE ARGANDA,12,ARGANZUELA,40.40003652682007,-3.7074488154950584,CursosTalleres,Niños
12124362,ABBA live in concert,GRATUITO,U,2023-11-25 00:00:00.0,2023-11-25 23:59:00.0,18:30,Sin información,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d0fb0bf720ffa810VgnVCM1000001d4a900aRCRD,Junta Municipal del Distrito de Usera,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=38ef0a47f441f010VgnVCM2000000c205a0aRCRD,ACCESSIBLE,AVENIDA RAFAELA YBARRA,41,USERA,40.38241253009179,-3.7107515747822353,Musica,Todos
12050463,Abre el ojo,NO GRATUITO,"M,X,J,V,S,D",2023-10-05 00:00:00.0,2023-10-29 23:59:00.0,,Sin información,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eeb9e6b609029810VgnVCM1000001d4a900aRCRD,Fernán Gómez Centro Cultural de la Villa,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba663d0b5e71c010VgnVCM1000000b205a0aRCRD,"ACCESSIBLE,MAGNETIC LOOP",PLAZA COLON,4,SALAMANCA,40.4249721516942,-3.689948085098791,ProgramacionDestacadaAgendaCultura,Mayores
12113034,Absorbidos por los móviles,GRATUITO,U,2023-10-15 00:00:00.0,2023-10-15 23:59:00.0,12:00,Sin información,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2b854d3febada810VgnVCM1000001d4a900aRCRD,Centro Cultural Meseta de Orcasitas (Usera),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fbd91e79ee71c010VgnVCM1000000b205a0aRCRD,PARTIALLY ACCESSIBLE,PLAZA ASOCIACION,1,USERA,40.36968950845358,-3.7081679144829076,TeatroPerformance,Niños
