ID-EVENTO,TITULO,GRATUITO,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,NOMBRE-INSTALACION,same_as_wiki_data_museum,URL-INSTALACION,ACCESIBILIDAD-INSTALACION,DIRECCION,same_as_wiki_data_direccion,NUM-INSTALACION,DISTRITO-INSTALACION,same_as_wiki_data_distrito,LATITUD,LONGITUD,TIPO,AUDIENCIA
12124409,El arbol de los valores,GRATUITO,U,2023-10-21T00:00:00.0,2023-10-21T23:59:00.0,12:30,La Gove Artes Escenicas ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=22601284c0ffa810VgnVCM2000001f4a900aRCRD,Centro Cultural Gloria Fuertes (Barajas),,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e5068540e41c010VgnVCM2000000c205a0aRCRD,ACCESSIBLE,avenida de Logrono,https://www.wikidata.org/entity/Q118638509,179,Barajas,https://www.wikidata.org/entity/Q807230,40.4606308732073,-3.59366944150524,CuentacuentosTiteresMarionetas,Ninos
12120001,El Arte de Empoder-Arte con Musicoterapia y Mindfulness,GRATUITO,L,2023-10-02T00:00:00.0,2023-10-30T23:59:00.0,17:00,Sin informacion,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=36e12892905fa810VgnVCM1000001d4a900aRCRD,Espacio de Igualdad Emilia Pardo Bazan. Ciudad Lineal,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=048525eae8975710VgnVCM2000001f4a900aRCRD,ACCESSIBLE,AVENIDA BADAJOZ,,60,Ciudad Lineal,https://www.wikidata.org/entity/Q1763694,40.442311100791215,-3.6534806246311913,CursosTalleres,Mujeres
12104245,El arte del flamenco,GRATUITO,U,2023-10-06T00:00:00.0,2023-10-06T23:59:00.0,18:00,Sin informacion,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c88d1c13d62ba810VgnVCM2000001f4a900aRCRD,Centro de Educacion Ambiental y Cultural Maris Stella (Usera),,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=85205619bc23d710VgnVCM2000001f4a900aRCRD,ACCESSIBLE,CALLE DOCTOR TOLOSA LATOUR,,16,Usera,https://www.wikidata.org/entity/Q953368,40.374166248648216,-3.7032220308808577,Musica/Flamenco,Todos
12105243,El Busclown,GRATUITO,U,2023-10-20T00:00:00.0,2023-10-20T23:59:00.0,19:00,"Asociacion cultural artistas y.       Espectaculo que recrea El Buscon, de Francisco de Quevedo, en la que se narran las aventuras y desventuras de Pablos y sus viajes por Espana en busca del ascenso social y de la fortuna, mostrandose algunas veces como triunfador, pero en el fondo siempre perdedor. La obra es fiel a la novela de Quevedo, pero como no podia ser de otra manera, la compania aporta los codigos y el trabajo escenico que caracterizan su trabajo desde que se iniciara profesionalmente en 2007: teatro gestual, circo, clown, comedia del arte y musica en directo, con lo que consiguen un espectaculo visual, en el que los acontecimientos mas delirantes se suceden con un ritmo agil y siempre divertido. ",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d73fb9461abba810VgnVCM2000001f4a900aRCRD,Centro Cultural Antonio Machado (San Blas - Canillejas),,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,CALLE SAN ROMAN DEL VALLE,,8,San Blas-Canillejas,https://www.wikidata.org/entity/Q2001937,40.420280457570335,-3.621730741880216,TeatroPerformance,Todos
12103052,El callejon de las almas perdidas,GRATUITO,U,2023-11-04T00:00:00.0,2023-11-04T23:59:00.0,19:00,"Director: Guillermo del Toro.  No recomendada para menores de 16 anos. Un buscavidas errante se asocia con la pitonisa de un circo para estafar a millonarios. En la aventura se cruzan el amor, la picaresca, la intriga y el engano. ",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8670eacd8acaa810VgnVCM2000001f4a900aRCRD,Centro Cultural Buero Vallejo (San Blas - Canillejas),,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=98953d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,CALLE BOLTAnA,,27,San Blas-Canillejas,https://www.wikidata.org/entity/Q2001937,40.44477474902185,-3.6129105844633775,CineActividadesAudiovisuales,Todos
12110064,El cartero del Rey,GRATUITO,U,2023-10-08T00:00:00.0,2023-10-08T23:59:00.0,12:30,Sin informacion,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ac5ba738045da810VgnVCM1000001d4a900aRCRD,Centro Cultural San Francisco La Prensa (Carabanchel),,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5787e842ec9a6110VgnVCM1000000b205a0aRCRD,ACCESSIBLE,CALLE ALISEDA,,4,Carabanchel,https://www.wikidata.org/entity/Q1001991,40.37690319217392,-3.741639735552097,TeatroPerformance,Ninos
12109418,El Cid Campeador,GRATUITO,U,2023-10-20T00:00:00.0,2023-10-20T23:59:00.0,19:00,"Campeador enmarca la figura del Cid en pleno siglo XXI como maximo exponente de valores tan actuales y necesarios como son: teson, resiliencia, humildad, vision de futuro y hombre de familia. Es uno de nuestros heroes historicos mas relevantes y el vehiculo perfecto para llenar de nuevas experiencias sonoras nuestro patrimonio cultural. Musica compuesta por Lazabo. ",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f30bc507771da810VgnVCM2000001f4a900aRCRD,Centro Cultural Jose Luis Sampedro (Latina),,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd3fba61e681c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,CALLE CASTROSERNA,,4,Latina,https://www.wikidata.org/entity/Q794954,40.40159394334669,-3.749110841406562,Musica,Todos
12041935,El corazon del dano,NO GRATUITO,"M,X,J,V,S,D",2023-09-21T00:00:00.0,2023-10-28T23:59:00.0,19:30,18 euros,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=18ff32617b2e8810VgnVCM1000001d4a900aRCRD,Teatro Espanol,https://www.wikidata.org/entity/Q3891573,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD,"ACCESSIBLE,MAGNETIC LOOP","Calle del Principe, Madrid",https://www.wikidata.org/entity/Q15788175,25,Centro,https://www.wikidata.org/entity/Q1763376,40.414828532240946,-3.700164949543688,TeatroPerformance,Todos
12114297,El coro Singerhood,GRATUITO,U,2023-10-08T00:00:00.0,2023-10-08T23:59:00.0,19:00,Sin informacion,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3b410fe4d5bda810VgnVCM1000001d4a900aRCRD,Centro Cultural El Pozo del tio Raimundo (Puente de Vallecas),,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=add63d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,AVENIDA GLORIETAS,,19,Puente de Vallecas,https://www.wikidata.org/entity/Q2003054,40.37381624358889,-3.6599325731670977,Musica,Todos
12124248,El cuarto pasajero,GRATUITO,U,2023-11-24T00:00:00.0,2023-11-24T23:59:00.0,18:30,Sin informacion,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2bd0383d9befa810VgnVCM1000001d4a900aRCRD,Junta Municipal del Distrito de Usera,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=38ef0a47f441f010VgnVCM2000000c205a0aRCRD,ACCESSIBLE,avenida de Rafaela Ybarra,https://www.wikidata.org/entity/Q110749248,41,Usera,https://www.wikidata.org/entity/Q953368,40.38241253009179,-3.7107515747822353,CineActividadesAudiovisuales,Todos
