ChargingStation,Address,City,AccessDaysTime,AdditionalInfo,EVLevel1EVSENum,EVLevel2EVSENum,EVDCFastCount,Longitude,Latitude,Counties,ZipCode,TownIndex
Ct-Rail,198-N-Cherry-St,Wallingford,24-Hours-Daily,Not-Provided,0,2,0,-72.8231924,41.4618954,New-Haven,00195,148
Hampton-Inn-&-Suites-Rocky-Hill-Hartford-South-Tesla-Destination,685-Cromwell-Ave,Rocky-Hill,24-Hours-Daily,"For-Customer-Use-Only,--See-Front-Desk-For-Access",0,2,0,-72.679679,41.650999,Hartford,00189,119
Goodwives-Shopping-Center,25-Old-Kings-Hwy,Darien,24-Hours-Daily,Not-Provided,0,0,1,-73.466318,41.078282,Fairfield,00005,35
Union-Station-Garage,50-Union-Ave,New-Haven,24-Hours-Daily,Pay-Lot,0,3,0,-72.926722,41.297487000000004,New-Haven,00132,93
Easton-Public-Library,691-Morehouse-Rd,Easton,24-Hours-Daily,Not-Provided,0,2,0,-73.297822,41.251966,Fairfield,00042,46
The-Plaza-At-Buckland-Hills-Tesla-Supercharger,1470-Pleasant-Valley-Road,Manchester,24-Hours-Daily,For-Tesla-Use-Only,0,0,16,-72.562282,41.80452,Hartford,00161,77
Greenlots-92367,204-Stillman-Hill-Rd,Colebrook,24-Hours-Daily,Not-Provided,0,2,0,-73.138786,41.988528,Litchfield,00049,29
Mystic-Diner-Restaurant-Tesla-Destination,253-Greenmanville--Ave,Mystic,24-Hours-Daily,For-Customer-Use-Only,0,1,0,-71.961361,41.37356200000001,New-London,00135,137
Connecticut-Airport-Authority-Bradley-Airport,Cell-Phone-Lot,Windsor-Locks,24-Hours-Daily,Not-Provided,0,4,0,-72.670609,41.929342,Hartford,00021,165
University-Of-Connecticut-Motor-Pool,9-Discovery-Dr,Storrs,8am-3pm-M-f,Not-Provided,0,1,0,-72.261825,41.811817,Tolland,00033,78
Hammonasset-Beach-State-Park-South,1288-Boston-Post-Rd,Madison,24-Hours-Daily,Not-Provided,0,4,0,-72.560456,41.263416,New-Haven,00134,76
Schaller-Mitsubishi,25-Veterans-Dr,New-Britain,Facility-Opening-Hours,Not-Provided,0,1,0,-72.770648,41.649365,Hartford,00017,89
Mansfield-Public-Library,54-Warrenville-Rd,Mansfield,24-Hours-Daily,Not-Provided,0,1,0,-72.195701,41.768396,Tolland,00032,78
Westlodge,811-Burr-Mountain-Rd,Torrington,24-Hours-Daily,Not-Provided,0,2,0,-73.1049768,41.8750604,Litchfield,00122,143
Townhall,100-Bentley-Dr,Harwinton,24-Hours-Daily,Not-Provided,0,2,0,-73.070231,41.7640244,Litchfield,00228,66
University-Of-Connecticut-Avery-Point,1084-Shennecossett-Rd,Groton,24-Hours-Daily,Not-Provided,0,2,0,-72.065994,41.317722,New-London,00243,59
Middletown-School-District-Lawrence-Elementary-School,Kaplan-Dr,Middletown,24-Hours-Daily,Not-Provided,0,2,0,-72.6824246,41.5871612,Middlesex,00236,83
Fairfield-Mitsubishi,421-Tunxis-Hill-Rd,Fairfield,Facility-Opening-Hours,Not-Provided,0,1,0,-73.230597,41.176442,Fairfield,00174,51
Gates-Nissan,143-Boston-Post-Rd,North-Windham,Facility-Opening-Hours,Not-Provided,0,1,0,-72.188445,41.728247,Windham,00258,163
Water's-Edge-Resort-And-Spa-Tesla-Destination,1525-Boston-Post-Rd,Westbrook,24-Hours-Daily,Not-Provided,0,3,0,-72.43786,41.28006,Middlesex,00127,154
North-Haven-Paviiion,100-Universal-Dr,North-Haven,24-Hours-Daily,Not-Provided,0,0,6,-72.870574,41.353572,New-Haven,00168,101
Union-Station,Union-Ave-and-Union-Station,New-Haven,24-Hours-Daily,Not-Provided,0,10,0,-72.9270748,41.2975353,New-Haven,00132,93
Town-Hall,140-Main-St,Torrington,24-Hours-Daily,Not-Provided,0,1,0,-73.12122300000001,41.803497,Litchfield,00122,143
Crowley-Nissan,1451-Farmington-Ave,Bristol,Facility-Opening-Hours,Not-Provided,0,2,1,-72.894672,41.699374,Hartford,00219,17
Parthenon-Diner-Restaurant-Tesla-Destination,374-E-Main-St,Branford,24-Hours-Daily,For-Customer-Use-Only,0,1,0,-72.781436,41.296212,New-Haven,00170,14
Community-Center,10-S-Eagleville-Rd,Mansfield,24-Hours-Daily,Not-Provided,0,1,0,-72.242231,41.800421,Tolland,00033,78
Manchester-City-Nissan,30-Tolland-Turnpike,Manchester,Facility-Opening-Hours,Not-Provided,0,2,0,-72.507845,41.814316,Hartford,00161,77
City-Hall,142-E-Main-St,Meriden,24-Hours-Daily,Not-Provided,0,4,0,-72.797226,41.536236,New-Haven,00199,80
Sherman-Tyler-Lot,60-N-Frontage-Rd,New-Haven,24-Hours-Daily,Permit-Lot,0,2,0,-72.948514,41.306474,New-Haven,00132,93
Meriden-Public-Library,105-Miller-St,Meriden,24-Hours-Daily,Not-Provided,0,2,0,-72.796702,41.537218,New-Haven,00199,80
Blogoslawski-Parking-Garage,10-Franklin-Square,New-Britain,24-Hours-Daily,Not-Provided,0,2,0,-72.7788286,41.664356600000005,Hartford,00017,89
Comfort-Inn-Guilford-Tesla-Destination,300-Boston-Post-Rd,Guilford,24-Hours-Daily,"For-Customer-Use-Only,--See-Front-Desk-For-Access",0,2,0,-72.657682,41.287164,New-Haven,00201,60
