ChargingStation,Address,City,AccessDaysTime,AdditionalInfo,EVLevel1EVSENum,EVLevel2EVSENum,EVDCFastCount,Longitude,Latitude,Counties,ZipCode,TownIndex
Heritage-Hotel-Tesla-Destination,522-Heritage-Rd,Southbury,24-Hours-Daily,"For-Customer-Use-Only,--See-Front-Desk-For-Access",0,2,0,-73.225707,41.491538,New-Haven,00099,130
Tri-town-Teachers-Federal-Credit-Union,61-Jessup-Rd,Westport,24-Hours-Daily,Not-Provided,0,2,0,-73.358893,41.140188,Fairfield,00179,158
Morgan-Street-Garage,155-Morgan-St,Hartford,24-Hours-Daily,Not-Provided,0,4,0,-72.672545,41.769974,Hartford,00079,64
Nbcsg,Unnamed-Road,Stamford,24-Hours-Daily,Not-Provided,0,8,0,-73.5160366,41.0532451,Fairfield,00007,135
Napoli-Nissan,688-Bridgeport-Ave,Milford,Facility-Opening-Hours,Not-Provided,0,1,0,-73.083686,41.209761,New-Haven,00193,84
Congregational-Church-Of-Somersville,22-Maple-St,Somersville,24-Hours-Daily,Not-Provided,0,2,0,-72.489406,41.983904,Tolland,00143,129
I-95-Darien-Nb-Service-Plaza-Tesla-Supercharger,1-E-Trail,Darien,24-Hours-Daily,Tesla-Users-Only,0,0,10,-73.462202,41.079848,Fairfield,00005,35
Town-Of-Hamden-Spring-Glen-Municipal-Parking-Lot,1665-Whitney-Ave,Hamden,24-Hours-Daily,Not-Provided,0,2,0,-72.909054,41.359826,New-Haven,00198,62
Parsons-Government-Center,70-W-River-St,Milford,24-Hours-Daily,Not-Provided,0,1,0,-73.062364,41.226575,New-Haven,00193,84
Hoffman-Nissan,46-Albany-Turnpike,West-Simsbury,Facility-Opening-Hours,Not-Provided,0,1,0,-72.869319,41.820371,Hartford,00186,128
Premier-Chevrolet,512-Providence-Rd,Brooklyn,Facility-Opening-Hours,Not-Provided,0,1,0,-71.906607,41.798222,Windham,00037,19
The-Wallingford-Victorian-Inn-Tesla-Destination,245-N-Main-St,Wallingford,24-Hours-Daily,For-Customer-Use-Only,0,2,0,-72.815676,41.45749,New-Haven,00195,148
Hondadanbury,102-Federal-Rd,Danbury,24-Hours-Daily,Not-Provided,0,2,0,-73.4232598,41.4158651,Fairfield,00001,34
Village-Center,87-Main-St,East-Hampton,24-Hours-Daily,Not-Provided,0,1,0,-72.501947,41.575311,Middlesex,00273,42
Connecticut-Department-Of-Corrections,38-Wolcott-Hill-Rd,Wethersfield,24-Hours-Daily,Not-Provided,0,2,0,-72.6724543999999,41.725002,Hartford,00261,159
Stamford-Marriott-Hotel-Tesla-Destination,243-Tresser-Blvd,Stamford,24-Hours-Daily,For-Customer-Use-Only,0,3,0,-73.53513900000002,41.051614,Fairfield,00203,135
Town-Library,10-Newton-Rd,Woodbridge,24-Hours-Daily,Not-Provided,0,2,0,-73.011407,41.353582,New-Haven,00061,167
Waterworks-Tesla-Destination,60-Backus-Ave,Danbury,24-Hours-Daily,For-Customer-Use-Only,0,2,0,-73.491965,41.370291,Fairfield,00001,34
Town-Of-East-Haven,250-Main-St,East-Haven,24-Hours-Daily,Not-Provided,0,1,0,-72.871663,41.277368,New-Haven,00130,44
Decormier-Niss,30-Tolland-Turnpike,Manchester,24-Hours-Daily,Not-Provided,0,0,1,-72.5090873,41.813843,Hartford,00161,77
Lia-Nissan-Enfield,10-Palomba-Dr,Enfield,Facility-Opening-Hours,Not-Provided,0,1,0,-72.574713,41.997574,Hartford,00108,49
North-Canaan-Shopping-Center-Tesla-Supercharger,11-E-Main-St,North-Canaan,24-Hours-Daily,For-Tesla-Use-Only,0,0,8,-73.322808,42.024351,Litchfield,00233,100
Lombard-Ford,385-New-Hartford-Rd,Barkhamsted,Facility-Opening-Hours,Not-Provided,0,2,0,-73.042576,41.909753,Litchfield,00048,5
Danbury-Fair-Mall,7-Backus-Ave,Danbury,24-Hours-Daily,Not-Provided,0,0,2,-73.47904,41.380158,Fairfield,00001,34
Public-Library,57-New-Haven-Ave,Milford,24-Hours-Daily,Not-Provided,0,2,0,-73.053647,41.221934,New-Haven,00193,84
Public-Parking-Lot,1-Morse-Ct,New-Canaan,Facility-Opening-Hours,Not-Provided,0,1,0,-73.4924,41.1464,Fairfield,00180,90
Milford-Travel-Plaza-Tesla-Supercharger,I-95-Milford,Milford,24-Hours-Daily,For-Tesla-Use-Only,0,0,2,-73.009059,41.245823,New-Haven,00193,84
Ts,1-American-Ln,Greenwich,24-Hours-Daily,Not-Provided,0,2,0,-73.7226456,41.0983971,Fairfield,00215,57
Russell-Mercier-Senior-Center,14-Stonecroft-Dr,Hebron,24-Hours-Daily,Not-Provided,0,2,0,-72.367191,41.65659,Tolland,00068,67
Roger-Ludlowe-School,689-Unquowa-Rd,Fairfield,Facility-Opening-Hours,Not-Provided,0,2,0,-73.261769,41.148757,Fairfield,00111,51
Town-Of-Hebron,15-Gilead-St,Hebron,24-Hours-Daily,Not-Provided,0,2,0,-72.366742,41.658572,Tolland,00068,67
Southington-Municipal-Center,200-N-Main-St,Southington,24-Hours-Daily,Not-Provided,0,2,0,-72.87939,41.606301,Hartford,00176,131
Middletown-School-District-Middletown-High-School,200-LaRosa-Ln,Middletown,24-Hours-Daily,Not-Provided,0,2,0,-72.681921,41.576716,Middlesex,00236,83
Town-Hall,134-Groton-Long-Point-Rd,Groton,24-Hours-Daily,Not-Provided,0,2,0,-72.009806,41.341893000000006,New-London,00243,59
Town-Hall,31-Park-Street,Guilford,24-Hours-Daily,Not-Provided,0,2,0,-72.6798002,41.2832367,New-Haven,00201,60
Trumbull-Mall,5065-Main-Street,Trumbull,24-Hours-Daily,Not-Provided,0,2,0,-73.2246399,41.2286526,Fairfield,00076,144
Parthenon-Diner-Of-Old-Saybrook-Tesla-Destination,809-Boston-Post-Rd,Old-Saybrook,24-Hours-Daily,For-Customer-Use-Only,0,1,0,-72.38345,41.292172,Middlesex,00056,106
Western-Connecticut-State-University,43-Lake-Ave-Extension,Danbury,24-Hours-Daily,Not-Provided,0,1,0,-73.492801,41.394446,Fairfield,00060,34
Big-Y-Foods,224-Salem-Turnpike,Norwich,24-Hours-Daily,Not-Provided,0,2,0,-72.12423,41.505790000000005,New-London,00014,104
Ridgeway-Shopping-Center,2202-Bedford-St,Stamford,24-Hours-Daily,Not-Provided,0,0,1,-73.545939,41.068654,Fairfield,00084,135
Clark-Memorial-Library,538-Amity-Rd,Bethany,24-Hours-Daily,Not-Provided,0,2,0,-72.99499,41.427276,New-Haven,00064,8
Orchard-Sherman-Parking-Lot,102-N-Frontage-Rd,New-Haven,24-Hours-Daily,Pay-Lot,0,2,0,-72.944576,41.306583,New-Haven,00275,93
Westport-Metro-North,1-Railroad-Pl,Westport,24-Hours-Daily,Pay-Lot,1,1,0,-73.369266,41.119291,Fairfield,00179,158
Greenwich-Northbound-Travel-Plaza-Tesla-Supercharger,3000-Merritt-Parkway,Greenwich,24-Hours-Daily,For-Tesla-Use-Only,0,0,4,-73.671661,41.041538,Fairfield,00215,57
Central-Connecticut-State-University--Welte-Garage,39-Ella-Grasso-Blvd,New-Britain,24-Hours-Daily,Not-Provided,0,3,0,-72.769268,41.692299,Hartford,00110,89
Isham-Garage,17-Isham-Rd,West-Hartford,Facility-Opening-Hours,Not-Provided,0,1,0,-72.740521,41.760873,Hartford,00158,155
Gene-Langan-Vw,816-New-London-Turnpike,Glastonbury,24-Hours-Daily,Not-Provided,0,2,0,-72.593366,41.704415,Hartford,00090,54
I-91-Tech-Park,845-Brook-St,Rocky-Hill,24-Hours-Daily,Priority-For-Connecticut-Green-Bank-Employees,0,2,0,-72.676125,41.641774,Hartford,00189,119
Homestead-Inn-Tesla-Destination,5-Elm-St,New-Milford,24-Hours-Daily,"For-Customer-Use-Only,--See-Front-Desk-For-Access",0,2,0,-73.411005,41.580889,Litchfield,00088,96
Western-Connecticut-State-University,179-White-St,Danbury,24-Hours-Daily,Not-Provided,0,2,0,-73.44475,41.399432,Fairfield,00001,34
Grace-Mayflower-Inn-And-Spa-Tesla-Destination,118-Woodbury-Rd,Washington,24-Hours-Daily,"For-Customer-Use-Only,--See-Front-Desk-For-Access",0,3,0,-73.305987,41.628601,Litchfield,00191,150
I-95-Madison-Sb-Service-Plaza-Tesla-Supercharger,I-95-South-Bound,Madison,24-Hours-Daily,Tesla-Users-Only,0,0,10,-72.5793623215072,41.291902304928,New-Haven,00134,76
Bishop's-Orchards-Farm-Market,1355-Boston-Post-Rd,Guilford,24-Hours-Daily,Not-Provided,0,2,0,-72.695702,41.290395,New-Haven,00201,60
Campus-At-Greenhill,108-Leigus-Road,Wallingford,24-Hours-Daily,Not-Provided,0,4,0,-72.775522,41.478889,New-Haven,00195,148
Connecticut-Department-Of-Motor-Vehicles,1365-Highland-Ave,Cheshire,9am-5pm-M-f,Not-Provided,0,1,0,-72.8935933,41.5374181,New-Haven,00063,25
Town-Hall,2155-Main-St,Glastonbury,24-Hours-Daily,Not-Provided,0,1,0,-72.611655,41.706856,Hartford,00090,54
Green’s-Farms-Railroad-Station,2-Post-Office-Ln,Westport,24-Hours-Daily,Not-Provided,0,1,0,-73.315136,41.122442,Fairfield,00179,158
Connecticut-Insurance-Exchange-Of-Southington,1133-Meriden-Waterbury-Turnpike,Plantsville,24-Hours-Daily,Not-Provided,0,1,0,-72.88305,41.564358,Hartford,00185,131
Hoffman-Honda-1,40-Albany-Turnpike,Simsbury,24-Hours-Daily,Not-Provided,0,4,0,-72.869331,41.818224,Hartford,00186,128
Ct-Rail,51-Depot-Rd,Berlin,24-Hours-Daily,Not-Provided,0,2,0,-72.7653384,41.6356154,Hartford,00253,7
Three-Rivers-Community-College,574-New-London-Turnpike,Norwich,24-Hours-Daily,Not-Provided,0,2,0,-72.10451,41.510596,New-London,00014,104
Public-Works-Garage,210-E-St,Stafford-Springs,24-Hours-Daily,Not-Provided,0,1,0,-72.290233,41.984164,Tolland,00034,134
Town-Hall,11-Meetinghouse-Ln,Woodbridge,24-Hours-Daily,Not-Provided,0,2,0,-73.014176,41.354138,New-Haven,00061,167
Steelpointe-Harbor,255-East-Main-Street,Bridgeport,Not-Specified,Not-Provided,0,4,0,-73.18122320000002,41.1781223,Fairfield,00002,15
Comm-Lot-Sta-1,5-Depot-Pl,Bethel,24-Hours-Daily,Not-Provided,0,2,0,-73.4145557,41.3703626,Fairfield,00077,9
The-Promenade-Shops-At-Evergreen-Walk-Tesla-Destination,401-Evergreen-Wy,South-Windsor,24-Hours-Daily,Not-Provided,0,2,0,-72.556345,41.812203,Hartford,00089,132
Town-Of-Putnam,1-73-Canal-St,Putnam,24-Hours-Daily,Not-Provided,0,2,0,-71.9098896,41.914513,Windham,00039,116
Maritime-Garage,11-North-Water-Street,Norwalk,24-Hours-Daily,Not-Provided,0,1,0,-73.418955,41.104278,Fairfield,00155,103
Ge-Ws-Price-Chopper-#243-Storrs-Ct-2,1220--Storrs-Rd,Mansfield,24-Hours-Daily,Not-Provided,0,1,0,-72.241315,41.801976,Tolland,00033,78
Stratford-Square,411-Barnum-Ave-Cutoff,Stratford,24-Hours-Daily,Not-Provided,0,0,8,-73.122342,41.198018,Fairfield,00178,138
Cumberland-Farms,471-New-Park-Ave,West-Hartford,24-Hours-Daily,Not-Provided,0,0,1,-72.718112,41.741696,Hartford,00213,155
Air-Rights-Garage,60-York-St,New-Haven,24-Hours-Daily,Pay-Lot,0,5,0,-72.934141,41.305265,New-Haven,00275,93
Lime-Rock-Park-Tesla-Destination,60-White-Hollow-Rd,Lakeville,24-Hours-Daily,For-Customer-Use-Only,0,11,0,-73.389367,41.930342,Litchfield,00091,122
Danbury-Fair-Mall-Tesla-Supercharger,7-Backus-Ave,Danbury,24-Hours-Daily,For-Tesla-Use-Only,0,0,10,-73.477961,41.379441,Fairfield,00001,34
Western-Connecticut-State-University,198-White-St,Danbury,24-Hours-Daily,Not-Provided,0,4,0,-73.443485,41.398492,Fairfield,00001,34
Coventry-High-School,78-Ripley-Hill-Rd,Coventry,24-Hours-Daily,Not-Provided,0,2,0,-72.313767,41.782923,Tolland,00145,32
Bell-Street-Garage,28-Bell-St,Stamford,Facility-Opening-Hours,Not-Provided,0,3,0,-73.540733,41.052215,Fairfield,00203,135
Groton-New-London-Airport,155-Tower-Ave,Groton,24-Hours-Daily,Not-Provided,0,2,0,-72.044683,41.332527,New-London,00243,59
Ten-Ten-Wash,1010-Washington-Blvd,Stamford,24-Hours-Daily,Not-Provided,0,2,0,-73.5431681,41.0535888,Fairfield,00203,135
Rsi-East,1115-West-St,Southington,24-Hours-Daily,Not-Provided,0,2,0,-72.8973437,41.618456,Hartford,00176,131
University-Of-Connecticut-School-Of-Law,55-Elizabeth-St,Hartford,Facility-Opening-Hours,Not-Provided,0,2,0,-72.70705,41.772484,Hartford,00010,64
Crowley-Vw,245-New-Britain-Ave,Plainville,24-Hours-Daily,Not-Provided,0,2,0,-72.8411522,41.6771741,Hartford,00260,110
Homewood-Suites,99-Marsh-Hill-Rd,Orange,For-Guest-Use-Only,Not-Provided,0,8,0,-72.998271,41.252117,New-Haven,00196,107
Asnuntuck-Community-College,170-Elm-St,Enfield,24-Hours-Daily,Not-Provided,0,3,0,-72.5697849,42.0000268,Hartford,00108,49
Fairfield-Nb-Tesla-Supercharger,165-Round-Hill-Road,Fairfield,24-Hours-Daily,For-Tesla-Use-Only,0,0,12,-73.257123,41.146214,Fairfield,00111,51
Connecticut-Department-Of-Energy-And-Environmental-Protection-Marine-Headquarters,333-Ferry-Rd,Old-Lyme,24-Hours-Daily,Not-Provided,0,2,0,-72.345572,41.312148,New-London,00136,105
Precision-Motors-Of-Mystic,2400-Gold-Star-Hwy,Mystic,24-Hours-Daily,Not-Provided,0,2,0,-71.988657,41.390465,New-London,00135,59
Wesleyan-University,161-Cross-St,Middletown,24-Hours-Daily,Not-Provided,0,4,0,-72.662214,41.550883,Middlesex,00236,83
Bmw-Bridgeport,43-North-Ave,Bridgeport,24-Hours-Daily,Not-Provided,0,2,0,-73.1897466,41.2020685,Fairfield,00074,15
Connecticut-State-Capitol,210-Capitol-Ave,Hartford,24-Hours-Daily,Not-Provided,0,2,0,-72.682868,41.764759,Hartford,00182,64
Executive-Nissan,900-Universal-Dr-N,North-Haven,Facility-Opening-Hours,Not-Provided,0,1,1,-72.870997,41.360892,New-Haven,00168,101
Propark-Harbor-Point-Gateway-Garage-Tesla-Destination,406-424-Washington-Blvd,Stamford,24-Hours-Daily,Not-Provided,0,2,0,-73.543258,41.045384000000006,Fairfield,00007,135
Wallingford-Shopping-Center,930-N-Colony-Rd,Wallingford,24-Hours-Daily,Not-Provided,0,2,0,-72.807124,41.483774,New-Haven,00195,148
Fairfield-Parks-And-Recreation-Center,75-Mill-Plain-Rd,Fairfield,24-Hours-Daily,Not-Provided,0,2,0,-73.263962,41.142152,Fairfield,00111,51
The-Westport-Library,20-Jesup-Road,Westport,Not-Specified,Not-Provided,0,2,0,-73.3613829,41.1396711,Fairfield,00179,158
Homestead-Inn-Thomas-Henkelmann-Tesla-Destination,420-Field-Point-Rd,Greenwich,24-Hours-Daily,"For-Customer-Use-Only,--See-Front-Desk-For-Access",0,3,0,-73.634045,41.015276,Fairfield,00006,57
Morsches-Ff,95-Reef-Rd,Fairfield,24-Hours-Daily,Not-Provided,0,2,0,-73.2564712,41.1399023,Fairfield,00111,51
Panera-Bread,1129-Silas-Deane-Hwy,Wethersfield,24-Hours-Daily,Not-Provided,0,1,0,-72.656507,41.691611,Hartford,00261,159
Hoffman-Toyota,36-Albany-Turnpike,West-Simsbury,Facility-Opening-Hours,Not-Provided,0,1,0,-72.867973,41.818345,Hartford,00186,128
Ferguson-Library-Harry-Bennett-Branch,115-Vine-Rd,Stamford,24-Hours-Daily,Not-Provided,0,2,0,-73.544039,41.099044,Fairfield,00084,135
Department-Of-Public-Works,50-Jennings-Rd,Hartford,24-Hours-Daily,Not-Provided,0,1,0,-72.652406,41.785974,Hartford,00079,64
Hammonasset-Beach-State-Park-North,1288-Boston-Post-Rd,Madison,24-Hours-Daily,Not-Provided,0,4,0,-72.561988,41.26449,New-Haven,00134,76
Metro-Center-Garage,1-Station-Place,Stamford,Not-Specified,Not-Provided,0,1,0,-73.54198740000001,41.0457112,Fairfield,00007,135
Middletown-Nissan,1153-Newfield-St,Middletown,Facility-Opening-Hours,Not-Provided,0,3,1,-72.676141,41.59054,Middlesex,00236,83
Wesleyan-University,Lawn-Ave-&-High-St,Middletown,24-Hours-Daily,Not-Provided,1,2,0,-72.65395,41.553597,Middlesex,00236,83
Municipal-Parking-Lot,83-Market-Square,Newington,24-Hours-Daily,Not-Provided,0,2,0,-72.721392,41.696446,Hartford,00086,94
Ridgeway-Shopping-Center-Tesla-Supercharger,2233-Summer-Street,Stamford,24-Hours-Daily,For-Tesla-Use-Only,0,0,12,-73.546435,41.068704,Fairfield,00084,135
Connecticut-Post-Mall-Nw-Entrance,1201-Boston-Post-Rd,Milford,6am-12pm-Daily,Not-Provided,0,2,0,-73.036899,41.23608,New-Haven,00193,84
Girard-Nissan,425-Gold-Star-Hwy,Groton,Facility-Opening-Hours,Not-Provided,0,1,0,-72.054118,41.370989,New-London,00243,59
Milford-Travel-Plaza-Tesla-Supercharger,I-95-Milford,Milford,24-Hours-Daily,For-Tesla-Use-Only,0,0,2,-73.010522,41.246242,New-Haven,00193,84
Goodwin-University,211-Riverside-Dr,East-Hartford,24-Hours-Daily,Not-Provided,0,2,0,-72.640075,41.743194,Hartford,00024,43
Greater-Hartford-Transit-District-Spruce-Street-Lot,1-Union-Pl,Hartford,24-Hours-Daily,Pay-Lot,1,1,0,-72.68182500000002,41.769417,Hartford,00082,64
Illiano's-Restaurant,257-W-Town-St,Yantic,11am-10pm-Daily,Not-Provided,0,1,0,-72.113144,41.55775,New-London,00014,104
Police-Department,2900-Dixwell-Ave,Hamden,24-Hours-Daily,Not-Provided,0,2,0,-72.903596,41.384051,New-Haven,00100,62
Fairfield-Senior-Center,100-Mona-Terrace,Fairfield,24-Hours-Daily,Not-Provided,0,2,0,-73.26088,41.132277,Fairfield,00111,51
Butler-Street-Parking-Lot,30-Butler-St,Meriden,24-Hours-Daily,Not-Provided,0,2,0,-72.805988,41.53697,New-Haven,00226,80
Propark-777-Main,777-Main-St,Hartford,Facility-Opening-Hours,Not-Provided,0,17,1,-72.67363400000002,41.766034,Hartford,00082,64
John-St-Charger,234-John-St,Bridgeport,24-Hours-Daily,Not-Provided,0,2,0,-73.1911131,41.1772308,Fairfield,00172,15
Peck-Lane-Plaza-Shopping-Center,550-Boston-Post-Rd,Orange,24-Hours-Daily,Not-Provided,0,0,1,-73.017784,41.251801,New-Haven,00196,107
Prestige-Vw,42-46-W-Broad-St,Stamford,24-Hours-Daily,Not-Provided,0,2,0,-73.5464906,41.0553525,Fairfield,00007,135
Fairfield-Recreation-Center,75-Mill-Plain-Rd,Fairfield,24-Hours-Daily,Not-Provided,0,2,0,-73.264636,41.14221200000001,Fairfield,00111,51
Norwalk-Community-College,188-Richards-Ave,Norwalk,"7am-10pm-M-f,-8am-5pm-Sat",Not-Provided,0,2,0,-73.452539,41.102848,Fairfield,00204,103
Laz-Fly-Airport-Parking,24-Ella-Grasso-Turnpike,Windsor-Locks,24-Hours-Daily,Not-Provided,0,2,0,-72.672748,41.918347,Hartford,00021,165
Ct-Rail,60-State-St,Meriden,24-Hours-Daily,Not-Provided,0,2,0,-72.8007814,41.5394301,New-Haven,00199,80
Town-Hall,172-Main-St,Killingly,24-Hours-Daily,Not-Provided,0,1,0,-71.88232300000001,41.80577,Windham,00071,69
Central-Connecticut-State-University-Welte-Hall-Parking-Lot,105-Ella-Grasso-Blvd,New-Britain,24-Hours-Daily,Not-Provided,0,3,0,-72.768107,41.693501,Hartford,00110,89
The-Inn-At-Woodstock-Hill,94-Plaine-Hill-Rd,Woodstock,24-Hours-Daily,Not-Provided,1,1,0,-71.97262186000002,41.94378281,Windham,00070,169
Wilton-Public-Library,137-Old-Ridgefield-Rd,Wilton,"10am-8pm-M-th,-10am-6pm-F,-10am-5pm-Sat,-1pm-5pm-Sun-(sunday-Hours-In-Winter-Only)",Not-Provided,0,1,0,-73.43124,41.192802,Fairfield,00212,161
Hajjar,213-Court-St,Middletown,24-Hours-Daily,Not-Provided,0,2,0,-72.65018090000001,41.5590961,Middlesex,00236,83
Goodwin-University,403-Main-St,East-Hartford,24-Hours-Daily,Not-Provided,0,2,0,-72.639362,41.749499,Hartford,00024,43
Stony-Creek-Brewery-Tesla-Destination,5-Indian-Neck-Ave,Branford,24-Hours-Daily,Not-Provided,0,1,0,-72.812491,41.274658,New-Haven,00170,14
Big-Y,1021-Main-St,Cheshire,24-Hours-Daily,Not-Provided,0,2,0,-72.907523,41.476271,New-Haven,00063,25
Connecticut-Post-Mall-Dave-&-Buster's,1201-Boston-Post-Rd,Milford,6am-12am-Daily,Not-Provided,0,2,0,-73.033472,41.23636,New-Haven,00193,84
Mellili-Plaza-Public-Parking,245-DeKoven-Dr,Middletown,24-Hours-Daily,Not-Provided,0,12,0,-72.648056,41.561647,Middlesex,00236,83
Ford-Of-Branford,301-E-Main-St,Branford,Facility-Opening-Hours,Not-Provided,0,2,0,-72.789844,41.292505000000006,New-Haven,00170,14
Morton-Government-Center,239-John-St,Bridgeport,24-Hours-Daily,Not-Provided,0,1,0,-73.191423,41.177007,Fairfield,00172,15
Public-Library,52-Newtown-Rd,Groton,24-Hours-Daily,Not-Provided,0,2,0,-72.028928,41.347552,New-London,00243,59
Library,34-Library-Ln,Burlington,24-Hours-Daily,Not-Provided,0,2,0,-72.967327,41.771305,Hartford,00107,20
Bruce-Bennett-Nissan,978-Danbury-Rd,Wilton,Facility-Opening-Hours,Not-Provided,0,1,1,-73.435546,41.258992,Fairfield,00212,161
Park-'n-Fly-Bradley-International-Airport,1186-South-St,Suffield,24-Hours-Daily,"Pay-Lot,--See-Attendant-For-Access",0,2,0,-72.663078,41.951328,Hartford,00115,139
Van-Wilgen's-Garden-Center,51-Valley-Rd,North-Branford,9am-5pm-M-f,Not-Provided,0,1,0,-72.766102,41.306955,New-Haven,00131,99
Reynolds-Subaru,272-Hamburg-Rd,Lyme,24-Hours-Daily,Not-Provided,0,2,0,-72.3518219,41.3890729,New-London,00136,75
Tingue-Dam-Bypass-Channel-Wakeley-Street-Parking-Lot,37-Wakeley-St,Seymour,24-Hours-Daily,Not-Provided,0,2,0,-73.075525,41.394315000000006,New-Haven,00239,124
Mohegan-Sun,1-Mohegan-Sun-Blvd,Uncasville,24-Hours-Daily,Not-Provided,0,4,0,-72.091456,41.491597,New-London,00015,86
Comcast,90-Phoenix-Ave,Enfield,24-Hours-Daily,Not-Provided,0,4,0,-72.581611,41.977252,Hartford,00108,49
Greenlots-92143,665-Commerce-Dr,Fairfield,24-Hours-Daily,Not-Provided,0,2,0,-73.23358,41.163146,Fairfield,00111,51
777-Main-Street-Tesla-Supercharger,777-Main-Street,Hartford,24-Hours-Daily,For-Tesla-Use-Only,0,0,6,-72.674129,41.766493,Hartford,00082,64
Bmw-Ridgefield,746-Danbury-Rd,Ridgefield,24-Hours-Daily,Not-Provided,0,0,1,-73.4722156,41.3305782,Fairfield,00043,118
"Doubletree-By-Hilton-Norwalk,-Ct-Tesla-Destination",789-Connecticut-Ave,Norwalk,24-Hours-Daily,See-Front-Desk-For-Access,0,1,0,-73.453043,41.092037,Fairfield,00155,103
Big-Y-Foods,140-suit-A-West-Rd,Ellington,24-Hours-Daily,Not-Provided,0,2,0,-72.46388,41.888958,Tolland,00142,48
Wrap-N-Shine-Auto-Spa-Tesla-Destination,97-Bridgeport-Ave-#10,Shelton,24-Hours-Daily,For-Customer-Use-Only,0,1,0,-73.097982,41.310498,Fairfield,00217,126
Western-Connecticut-State-University,190-White-St,Danbury,24-Hours-Daily,Not-Provided,0,3,0,-73.442053,41.39936,Fairfield,00001,34
Mini-Of-Ffd-Cty,154-US-1-154-post-rd,Darien,24-Hours-Daily,Not-Provided,0,2,0,-73.4569573,41.089032,Fairfield,00005,35
Delamar-West-Hartford-Tesla-Destination,1-Memorial-Rd,West-Hartford,24-Hours-Daily,For-Customer-Use-Only,0,3,0,-72.737672,41.760566,Hartford,00251,155
Connecticut-Department-Of-Motor-Vehicles,60-State-St,Wethersfield,8am-5pm-M-f,Not-Provided,0,1,0,-72.655754,41.71866250000001,Hartford,00261,159
Mill-Plain-Diner-Tesla-Destination,14-Mill-Plain-Rd,Danbury,24-Hours-Daily,For-Customer-Use-Only,0,1,0,-73.494706,41.38756,Fairfield,00060,34
Sherman-Green,1451-Post-Rd,Fairfield,24-Hours-Daily,Not-Provided,0,1,0,-73.256774,41.140584,Fairfield,00111,51
Stamford-Government-Center-Garage,888-Washington-Blvd,Stamford,24-Hours-Daily,Not-Provided,0,3,0,-73.542499,41.051637,Fairfield,00203,135
Z-Airport-Parking,3-International-Dr,East-Granby,24-Hours-Daily,Not-Provided,0,1,0,-72.709138,41.928233,Hartford,00225,40
Hyatt-Regency-Greenwich-Tesla-Destination,1800-E-Putnam-Ave,Greenwich,24-Hours-Daily,For-Customer-Use-Only,0,2,0,-73.566753,41.046329,Fairfield,00250,57
Surface-Parking-Lot,121-Main-St,New-Britain,24-Hours-Daily,Not-Provided,0,2,0,-72.781161,41.666233,Hartford,00017,89
Library,150-Main-St,Deep-River,24-Hours-Daily,See-Code-On-The-Face-Of-Charger-Or-Ask-Librarian-To-Initiate-Charge,1,1,0,-72.43670100000001,41.386805,Middlesex,00272,36
State-House-Square,10-90-State-House-Square,Hartford,24-Hours-Daily,Not-Provided,0,1,0,-72.671417,41.766822,Hartford,00082,64
Train-Station-Parking,1-Railroad-Ave,Milford,24-Hours-Daily,Not-Provided,0,2,0,-73.060012,41.222682,New-Haven,00193,84
Hammonasset-Beach-State-Park-Meig's-Point-Nature-Center,1288-Boston-Post-Rd,Madison,24-Hours-Daily,Not-Provided,0,4,0,-72.546017,41.251952,New-Haven,00134,76
Grossman-Nissan,295-Middlesex-Turnpike,Old-Saybrook,Facility-Opening-Hours,Not-Provided,0,1,1,-72.383105,41.309276,Middlesex,00056,106
"Saybrook-Point-Inn,-Spa-&-Marina-Tesla-Destination",2-Bridge-St,Old-Saybrook,24-Hours-Daily,For-Customer-Use-Only,0,4,0,-72.351072,41.28331,Middlesex,00056,106
Fairfield-Train-Station-Overflow-Lot,140-Mill-Plain-Rd,Fairfield,24-Hours-Daily,Pay-Lot,0,1,0,-73.264399,41.142923,Fairfield,00111,51
Metro-Center-1,One-Station-Place,Stamford,24-Hours-Daily,Not-Provided,0,1,0,-73.542177,41.046112,Fairfield,00007,135
Dinosaur-State-Park-And-Arboretum,400-West-St,Rocky-Hill,Facility-Opening-Hours,Not-Provided,0,2,0,-72.658514,41.651179,Hartford,00189,119
Staples-High-School,70-North-Avenue,Westport,Not-Specified,Not-Provided,0,2,0,-73.3304754,41.1526176,Fairfield,00179,158
Town-Hall,979-Main-St,Windham,24-Hours-Daily,Not-Provided,0,2,0,-72.217506,41.71292,Windham,00207,163
Town-Hall,50-S-Main-St,West-Hartford,Facility-Opening-Hours,Not-Provided,0,2,0,-72.741204,41.758754,Hartford,00158,155
Connecticut-Welcome-Center-Tesla-Supercharger,1-E-Trail,Darien,24-Hours-Daily,For-Tesla-Use-Only,0,0,4,-73.46135,41.080103,Fairfield,00005,35
Temple-Street-Garage,1-Temple-St,New-Haven,24-Hours-Daily,Pay-Lot,0,3,0,-72.928369,41.304245,New-Haven,00133,93
Minor-Memorial-Library,23-South-St,Roxbury,24-Hours-Daily,Not-Provided,0,1,0,-73.30764000000002,41.55358,Litchfield,00095,120
Szczesny-Parking-Garage,31-Bank-St,New-Britain,24-Hours-Daily,Not-Provided,0,2,0,-72.78037,41.666879,Hartford,00017,89
