latitude,longitude,municipality,street_name,house_number,house_number_addition,postal_code,ChargingStation,operator,operating_mode,num_charging_points,types_charging_points,charging_cards,cost,opening_hours,all_day_open,website
54.094538,12.155151,Brinckmansdorf,Altkarlshof,6,,18146,FSN Autohaus,Volkswagen Group Charging GmbH,semipublic,2,"1x Combo Typ 2 22kW, 1x Typ2 11 kW",ADAC e-Charge;EnBW mobility+;LogPay Charge&Fuel Card und App;MAINGAU Autostrom;Shell Recharge,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/FSN-Autohaus-Altkarlshof-6/54937/
54.101316,12.180741,Brinckmansdorf,Rövershäger Chaussee,5,,18146,Autohaus Rostock,Autohaus Rostock Ost GmbH,semipublic,2,"1x Typ 2 22 kW, 1x Combo Typ 2 75 kW",ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Autohaus-Rostock-Roevershaeger-Chaussee-5/64588/
54.137885,12.114089,Peez,Zum Südtor,6,,18147,HEM Tankstelle,Allego GmbH,public,3,"1x CHAdeMO 50 kW, 1x Combo Typ 2 50 kW, 1x Typ 2 43 kW",ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,chargeable,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/HEM-Tankstelle-Zum-Suedtor-8/33130/
54.093244,12.109034,Kröpeliner-Tor-Vorstadt,Lübecker Str.,30,,18057,Lübecker Str. 30,Stadtwerke Rostock AG,public,3,Typ 2 22 kW,Stadtwerke Rostock,,24/7,1,https://www.e-stations.de/ladestationen/map
54.174821,12.009361,Seebad Diedrichshagen,Stolteraer Weg,47,,18119,Hotel Ostseeland,Hotel Ostseeland,public,4,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Hotel-Restaurant-Ostseeland-Stolteraer-Weg-47/78415/
54.176585,12.085439,Seebad Warnemünde,Kirchenplatz,1,,18119,Kirchenplatz Warnemünde,Stadtwerke Rostock AG,public,4,"2x Typ 2 22 kW, 2x Schuko 3,7 kW",ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Kirchenplatz-Warnemuende-Kirchenplatz-1/9523/
54.170536,12.087852,Seebad Warnemünde,Zum Zollamt,5,,18119,Parkhaus Molenfeuer,Stadtwerke Rostock AG,semipublic,4,Typ 2 22kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Parkhaus-Molenfeuer-Zum-Zollamt-5/58987/
54.123294,12.074454,Schmarl,Handwerkstr.,5,,18069,Citti-Park,EnBW Energie Baden-Württemberg AG,public,8,4x Combo Typ 2 150 kW; 4x Combo Typ 2 300 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/CITTI-PARK-Handwerkstrasse-1/63480/
54.107068,12.057319,Evershagen,An den Griebensöllen,2,,18069,Parkplatz Bauhaus,EnBW Energie Baden-Württemberg AG,semipublic,4,2x Combo Typ 2 300 kW; 2x Combo Typ 2 150 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,,Mo-Sa 07:00-20:00,0,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Bauhaus-An-den-Griebensoellen-1/69472/
54.098715,12.086254,Reutershagen,Grazer Str.,1,,18069,Parkplatz Kunsthalle,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;GET CHARGE;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Kunsthalle-Grazer-Strasse-1/44414/
54.085525,12.100093,Hansaviertel,Schillingallee,71,,18057,Universitätsklinikum,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Universitaetsklinikum-Schillingallee-71/43307/
54.078194,12.132776,Stadtmitte,Herweghstr.,51,,18055,IntercityHotel,Total Deutschland GmbH,semipublic,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/IntercityHotel-Herweghstrasse-51/54128/
54.084067,12.136002,Stadtmitte,Paulstr.,33,,18055,Hermannstr. 32,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Hermannstrasse-Hermannstrasse-35/38864/
54.081326,12.192001,Brinckmansdorf,Timmermannsstrat,3,,18055,A.T.U.,Allego GmbH,semipublic,3,"1x Combo Typ 2 50kW, 1x Typ2 43 kW, 1x CHAdeMO 50kW",ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/ATU-Timmermannsstrat-3/29596/
54.099138,12.176441,Brinckmansdorf,Alt Bartelsdorfer Str.,18,,18146,Grönfingers,Allego GmbH,public,6,Combo Typ 2 300 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Groenfingers-Roevershaeger-Chaussee-1/44152/
54.142702,12.10256,Peez,Simon-van-Utrecht-Str.,1,,18147,Parkplatz P2 Seehafen,TankE GmbH,public,6,2 x Combo Typ 2 (CCS) EU 50 kW; 2 x CHAdeMO 50 kW; 2 x Typ 2 Dose 22 kW,ADAC e-Charge;DKV Card+Charge;EnBW mobility+;TankE-Netzwerk,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Parkplatz-P2-Seehafen-Ost-West-Strasse/76504/
54.107701,12.158064,Dierkow-West,Hinrichsdorfer Str.,13,a,18146,Lidl,Lidl Vertriebs-GmbH & Co. KG,semipublic,3,"1x Typ 2 22 kW, 1x CHAdeMO 50 kW, 1x Combo Typ 2 50 kW",ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,,Mo-Sa 07:00-21:00,0,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Lidl-Hinrichsdorfer-Strasse-Hinrichsdorfer-Strasse-13a/47003/
54.086457,12.126408,Stadtmitte,Am Vögenteich,25,,18055,Am Vögenteich 25,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,Stadtwerke Rostock,,24/7,1,https://www.e-stations.de/ladestationen/map
54.090974,12.149139,Stadtmitte,Slüterstr.,10,,18055,Parkplatz Slüterstr.,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Parkplatz-Slueterstrasse-Slueterstrasse-10/78572/
