"TRAM","Rang","GEOM_WKT"
"T04719W","25-30 µg/m³","MultiLineString ((430229.78859372 4586585.19905775, 430181.87658409 4586593.70443592))"
"T19941Z","25-30 µg/m³","MultiLineString ((432928.8982969 4584019.98762825, 432994.98396587 4583963.09304168))"
"T18111R","20-25 µg/m³","MultiLineString ((429953.2631029 4588161.44067207, 429981.4182434 4588174.24947826, 430025.29847637 4588196.06217914))"
"T03222Y","20-25 µg/m³","MultiLineString ((427949.03825066 4580946.04271488, 427950.73484042 4581023.3918211))"
"T17625I","25-30 µg/m³","MultiLineString ((433950.18894352 4585741.2135567, 433875.0414123 4585818.33524801))"
"T05360P","25-30 µg/m³","MultiLineString ((429464.3388938 4587309.38903711, 429522.57452086 4587380.30070689))"
"T08863T","20-25 µg/m³","MultiLineString ((431912.28070875 4585068.50690914, 431850.39107731 4585129.46546943))"
"T00236S","20-25 µg/m³","MultiLineString ((432088.26646738 4581318.69686538, 432104.2810753 4581263.82765978))"
"T13009A","20-25 µg/m³","MultiLineString ((431196.39267307 4590356.60070978, 431209.28276533 4590366.11762703, 431222.8558451 4590373.84653629, 431239.63493414 4590382.14142213, 431255.3560353 4590392.25031885, 431261.88713472 4590404.01528782, 431266.94527165 4590421.02627619, 431272.19136172 4590431.82225338, 431279.05941879 4590437.93521091, 431303.33753229 4590447.91504256))"
"T11921P","20-25 µg/m³","MultiLineString ((431707.96998503 4588314.79661459, 431656.86516618 4588349.14705599))"
"T16868V","20-25 µg/m³","MultiLineString ((425186.40687567 4582382.67194377, 425192.66094564 4582390.60990839, 425207.33509077 4582406.72682149, 425219.60325042 4582425.24875661, 425226.33836313 4582438.71972606, 425240.77172515 4582483.46268502, 425245.10201121 4582520.26670864))"
"T02762R","25-30 µg/m³","MultiLineString ((427415.05281392 4580601.77124443, 427351.63244915 4580566.59967235))"
"T04571U","25-30 µg/m³","MultiLineString ((430796.55124657 4586159.17308486, 430801.7205435 4586065.22489543))"
"T08170X","20-25 µg/m³","MultiLineString ((429328.29324906 4583429.7330233, 429403.40281417 4583488.79254148))"
"T07536D","20-25 µg/m³","MultiLineString ((425114.6854637 4582343.08242874, 425110.35849647 4582348.28746968, 425099.66680982 4582391.76961797, 425099.98883438 4582394.9396204))"
"T01076Y","25-30 µg/m³","MultiLineString ((430939.5854978 4581293.19552835, 430870.57573546 4581206.90991889))"
"T21401B","20-25 µg/m³","MultiLineString ((433802.05620775 4587521.50550454, 433829.67427815 4587525.17730131))"
"T20087H","25-30 µg/m³","MultiLineString ((431585.75573764 4590021.62123254, 431597.25781211 4590029.0811571, 431612.07592004 4590040.2730624, 431624.82103733 4590053.121986, 431638.2921974 4590071.46291273, 431646.89329567 4590082.65386514, 431655.18338403 4590092.60181794, 431660.26040135 4590093.84478142, 431665.23439336 4590091.77274047, 431667.92835746 4590086.48771176, 431667.6173216 4590081.82470678, 431665.0272767 4590076.43671794, 431657.35920189 4590068.14676303, 431646.27108403 4590054.88282622, 431640.08699524 4590044.44585668))"
"T00497L","25-30 µg/m³","MultiLineString ((431563.47913537 4581908.16574429, 431578.95004992 4581893.77460508))"
"T02457L","20-25 µg/m³","MultiLineString ((428504.1345121 4581921.23299137, 428546.75189429 4581962.88873102, 428598.89436439 4582014.17941296))"
"T10161V","20-25 µg/m³","MultiLineString ((432416.79346505 4583093.85509431, 432322.92804034 4583188.55194925))"
"T20348J","25-30 µg/m³","MultiLineString ((428557.01870485 4579696.60016419, 428593.22865362 4579682.5108672, 428630.33667938 4579678.38757879, 428663.32174998 4579681.01033216, 428702.30389807 4579692.63005386, 428755.90420229 4579721.86569171, 428797.51051368 4579754.47542591, 428830.49471797 4579774.71620651, 428870.60190475 4579791.20792718, 428908.83402323 4579799.07864878, 428957.93612997 4579803.20128196, 429008.53817927 4579799.45289159, 429062.88814897 4579784.45945537, 429137.1040866 4579761.21985544, 429217.31709599 4579746.22622268, 429247.79612009 4579743.23498643))"
"T07895X","20-25 µg/m³","MultiLineString ((429558.05711169 4583890.96197495, 429632.4887059 4583953.96050397))"
"T08413X","20-25 µg/m³","MultiLineString ((429632.40532654 4584429.90422524, 429569.28287562 4584514.90083429))"
"T15540W","20-25 µg/m³","MultiLineString ((429279.49359735 4583485.45247935, 429236.99890403 4583534.41887715))"
"T06230K","20-25 µg/m³","MultiLineString ((432069.06773963 4587416.91245703, 432073.07208589 4587461.79249796))"
"T02118V","25-30 µg/m³","MultiLineString ((430976.59719502 4583219.25418878, 430883.47176911 4583313.6780374))"
"T08980X","25-30 µg/m³","MultiLineString ((431566.5111003 4584533.03571601, 431474.16668374 4584628.43555913))"
"T14659G","25-30 µg/m³","MultiLineString ((430579.18936552 4581085.97994126, 430641.61495996 4581019.86236681))"
"T19836Z","25-30 µg/m³","MultiLineString ((427635.82729641 4585095.76243504, 427620.06453711 4585130.63060786))"
"T01784T","25-30 µg/m³","MultiLineString ((428692.91887532 4581535.73696442, 428596.68947507 4581634.2418474))"
"T11818R","15-20 µg/m³","MultiLineString ((425014.78945668 4586712.08495735, 425023.81442421 4586705.93887889, 425029.58434652 4586694.49481682, 425047.85294961 4586638.3365887))"
"T18426H","25-30 µg/m³","MultiLineString ((432450.80953706 4581254.20002004, 432457.87537067 4581230.85993063))"
"T02648Q","25-30 µg/m³","MultiLineString ((431035.12156707 4583650.7254011, 430942.11916127 4583747.74125235))"
"T02391K","20-25 µg/m³","MultiLineString ((430214.49901246 4580718.96714177, 430198.1793212 4580762.9113333, 430119.56180621 4580842.65305333))"
"T08305U","20-25 µg/m³","MultiLineString ((430297.87377216 4584221.89384731, 430249.29616568 4584283.48730825))"
"T03284M","20-25 µg/m³","MultiLineString ((428567.02012471 4580935.68099981, 428499.15166973 4581021.2406475))"
"T15812B","25-30 µg/m³","MultiLineString ((430338.8386549 4580119.79427806, 430351.95970937 4580124.28918553, 430363.37977689 4580130.84910906, 430375.28584332 4580137.16602854, 430383.18288693 4580141.29697504, 430385.61191837 4580144.94196224, 430385.24795009 4580149.19397155))"
"T08289L","20-25 µg/m³","MultiLineString ((430171.61755947 4584219.58280284, 430124.99392503 4584277.08824467))"
"T09386P","25-30 µg/m³","MultiLineString ((433092.39962731 4584687.59040448, 433057.71584353 4584723.01872058))"
"T09155C","25-30 µg/m³","MultiLineString ((433175.99984168 4583647.16319104, 433222.14524769 4583691.21490891))"
"T06296C","20-25 µg/m³","MultiLineString ((432004.92291441 4587321.08779045, 431959.76808921 4587353.37618358))"
"T03163E","25-30 µg/m³","MultiLineString ((427756.59765979 4581039.06132158, 427739.37802806 4581091.07953264))"
"T09255F","25-30 µg/m³","MultiLineString ((433650.67113535 4584115.73831237, 433749.19200615 4584210.3187108))"
"T08817N","25-30 µg/m³","MultiLineString ((432505.13562522 4584543.26162894, 432467.45386004 4584581.75097237))"
"T10101J","20-25 µg/m³","MultiLineString ((433315.7027647 4583214.22547362, 433363.92519124 4583260.56917936))"
"T08632G","25-30 µg/m³","MultiLineString ((428092.92771969 4585321.36230175, 428017.16343708 4585395.18125419))"
"T09652O","25-30 µg/m³","MultiLineString ((432937.94222963 4585324.23954753, 432843.27182317 4585421.87041973))"
"T03020Q","25-30 µg/m³","MultiLineString ((428323.24930029 4580086.0415431, 428238.29054643 4580003.92806202))"
"T12919Z","25-30 µg/m³","MultiLineString ((432242.62240117 4589183.62493697, 432173.56360822 4589225.04352536))"
"T00954P","25-30 µg/m³","MultiLineString ((430819.93502398 4581650.0509815, 430807.39817352 4581672.2841105, 430797.09928902 4581689.58221499, 430788.19138993 4581704.67630557))"
"T17527H","25-30 µg/m³","MultiLineString ((432128.06477918 4587937.92583663, 432086.41685407 4587956.3111811))"
"T16362A","25-30 µg/m³","MultiLineString ((431792.92523402 4586746.48748116, 431737.2628268 4586836.11404522))"
"T11026T","20-25 µg/m³","MultiLineString ((427367.39975591 4583895.79965747, 427329.92819778 4583961.58904289))"
"T01155W","25-30 µg/m³","MultiLineString ((430358.72664769 4581168.08773768, 430374.18554231 4581151.06359445, 430396.88339934 4581127.61438651, 430415.01529855 4581110.64822311))"
"T17230T","25-30 µg/m³","MultiLineString ((430327.10133958 4580475.72691461, 430318.15632202 4580475.24098166, 430257.54821728 4580342.14623639))"
"T01946T","20-25 µg/m³","MultiLineString ((429027.19777475 4582244.45250732, 429121.88518951 4582148.21163993))"
"T07889Z","20-25 µg/m³","MultiLineString ((429171.45065618 4583778.1557462, 429160.55182496 4583802.56586621, 429158.60984846 4583806.04988628))"
"T10349F","25-30 µg/m³","MultiLineString ((429103.0384604 4583240.2494492, 429187.93313209 4583311.34691137))"
"T04856E","20-25 µg/m³","MultiLineString ((429364.13245307 4586214.97505384, 429406.77702283 4586149.40962441))"
"T01430W","20-25 µg/m³","MultiLineString ((430400.75108616 4581612.06309909, 430392.60223473 4581633.27619327))"
"T17265E","25-30 µg/m³","MultiLineString ((431732.54721775 4581753.02822615, 431732.76318047 4581748.07721692, 431756.64112278 4581735.63101699))"
"T02561K","25-30 µg/m³","MultiLineString ((430807.01065325 4584365.61321081, 430899.28046937 4584454.12164628))"
"T04729Y","25-30 µg/m³","MultiLineString ((430025.23940229 4586733.75885158, 430015.30249526 4586748.06795004))"
"T01633F","25-30 µg/m³","MultiLineString ((431354.99166327 4581098.73308266, 431397.09257223 4581078.17573212, 431411.1565382 4581070.83261428))"
"T17606F","20-25 µg/m³","MultiLineString ((432760.25086184 4586500.20876817, 432649.11922159 4586570.32272076))"
"T09207X","25-30 µg/m³","MultiLineString ((433149.29582869 4583913.83579903, 433177.2341905 4583955.75465138, 433199.20144177 4583984.34652863, 433211.52456509 4583998.06845625))"
