"TRAM","Rang","GEOM_WKT"
"T12907V","20-25 µg/m³","MultiLineString ((431421.13280848 4589273.56930215, 431413.49386005 4589281.93537322, 431418.12493372 4589290.70235196, 431429.21310106 4589310.50029917, 431437.48425004 4589328.45326482, 431444.05142095 4589349.64624847, 431445.84851689 4589361.93025422, 431447.64960213 4589372.80225772, 431445.92766682 4589381.68628477, 431440.78580743 4589401.28235462, 431445.26290975 4589413.85834052, 431452.70900501 4589424.8943015, 431458.73312476 4589439.45227879, 431464.47025262 4589455.13726005, 431477.41137904 4589469.15718409, 431487.97644498 4589475.68811433, 431498.24754042 4589486.17005302, 431516.52274485 4589509.38295113, 431525.12078734 4589513.22489203, 431541.94374547 4589504.25775043, 431555.67566767 4589491.1856258, 431574.57239149 4589450.89741916, 431581.53229548 4589436.81234423, 431595.24526152 4589429.52622885, 431612.16333323 4589435.51711011, 431628.24238542 4589439.10599394, 431650.66047546 4589446.38783556, 431659.65757744 4589457.99278568, 431677.52374697 4589476.68867976, 431695.98783717 4589484.80155264, 431717.00290466 4589489.39740066, 431736.14606122 4589506.12128196, 431758.86610357 4589507.05411129, 431780.03015416 4589509.39195462, 431804.84325977 4589518.23578054, 431828.24935243 4589525.6616149, 431844.47439093 4589527.41649473, 431869.73446746 4589532.33631109))"
"T04597E","25-30 µg/m³","MultiLineString ((430581.98243973 4586096.43760841, 430456.46179662 4586169.26867499))"
"T08203P","20-25 µg/m³","MultiLineString ((429990.44438392 4583444.55100721, 430034.55280937 4583491.54274291))"
"T06595K","25-30 µg/m³","MultiLineString ((433817.95636316 4587802.53682858, 433847.03043825 4587806.52861481))"
"T01915M","25-30 µg/m³","MultiLineString ((429878.55273827 4582330.1471624, 429878.19604047 4582238.41402512))"
"T08416A","25-30 µg/m³","MultiLineString ((429138.42633221 4584925.41573497, 429200.00681294 4584976.05634258))"
"T12083G","20-25 µg/m³","MultiLineString ((431695.98968086 4586561.18191952, 431698.26447803 4586665.98306936))"
"T13003U","20-25 µg/m³","MultiLineString ((431452.87607822 4590357.38976703, 431437.94200912 4590351.34487073, 431379.94658886 4590307.84424198, 431336.08425444 4590272.75751932, 431304.30504831 4590252.10472773))"
"T19295S","20-25 µg/m³","MultiLineString ((425914.20300779 4583041.39941533, 425986.94075775 4583125.26999009, 426002.97681991 4583130.17187553))"
"T11305X","20-25 µg/m³","MultiLineString ((427973.47566612 4584154.93343738, 427963.68265676 4584155.6995131, 427855.07931097 4584263.90250428))"
"T02656Q","25-30 µg/m³","MultiLineString ((431554.36295654 4583596.46938798, 431478.62147232 4583679.65808769))"
"T01496O","25-30 µg/m³","MultiLineString ((431117.04502754 4581590.01063879, 431105.90512514 4581605.12474633, 431074.29030585 4581635.34403211))"
"T14865K","25-30 µg/m³","MultiLineString ((427885.50822362 4577791.03630467, 428024.77888746 4577850.43033954))"
"T18074D","25-30 µg/m³","MultiLineString ((430577.59317107 4587382.75369501, 430563.65584652 4587342.75173686))"
"T09798F","25-30 µg/m³","MultiLineString ((434251.65465866 4585642.50511923, 434195.70300922 4585700.11563421))"
"T15984U","25-30 µg/m³","MultiLineString ((426318.78413821 4583952.63390436, 426288.18062538 4583991.25536812))"
"T05334N","25-30 µg/m³","MultiLineString ((429778.20295893 4587385.9807711, 429628.72764914 4587507.61510184))"
"T15621W","20-25 µg/m³","MultiLineString ((431714.68751446 4581664.09922515, 431706.09854154 4581669.41029835))"
"T17971X","20-25 µg/m³","MultiLineString ((428184.69797264 4586789.14494683, 428200.22112477 4586806.0558556, 428234.99746314 4586843.6186507))"
"T01863R","25-30 µg/m³","MultiLineString ((429734.46102391 4582002.20075753, 429830.26788285 4582095.8121719))"
"T10276F","20-25 µg/m³","MultiLineString ((433730.02483485 4586431.48732092, 433687.68995712 4586456.21968054))"
"T21256K","25-30 µg/m³","MultiLineString ((428582.33185085 4580237.81880802, 428604.57658183 4580197.86357726))"
"T09532H","25-30 µg/m³","MultiLineString ((432868.49245763 4585104.79173004, 432965.48234133 4585201.3141426))"
"T05538X","15-20 µg/m³","MultiLineString ((427675.21360965 4587109.67033427, 427657.81677497 4587135.06150701, 427652.01791099 4587154.20758155, 427650.08505301 4587173.35362667, 427655.88423605 4587196.32961902, 427682.94565511 4587246.1094921, 427694.54384715 4587269.0854403, 427698.40998367 4587286.31643823, 427696.4770967 4587301.63347725, 427686.81218323 4587315.03657208, 427675.21519424 4587318.86566642, 427659.75118475 4587320.78078715, 427648.15309424 4587311.20786022, 427630.7565016 4587236.5368741, 427618.91117878 4587196.34590044, 427614.89501086 4587174.99989711, 427614.5298926 4587159.46187522, 427618.83975608 4587140.55481238, 427624.56261966 4587121.37173836, 427631.42247114 4587100.35765278, 427635.31332433 4587080.1775911, 427631.1401872 4587062.92759546, 427618.48305479 4587048.03966814, 427600.84997652 4587041.32079168, 427515.12508118 4587072.71049402, 427499.29008387 4587076.31162026, 427486.86305559 4587075.12471296, 427471.91697623 4587067.71181494, 427419.89568291 4587039.65116633, 427401.11863277 4587036.88230485, 427381.03764368 4587042.44046653, 427317.96568156 4587060.37397508, 427299.58568447 4587064.52812158, 427228.70151403 4587056.56464848, 427191.97547147 4587058.47893106, 427147.51747491 4587068.05228466, 427103.93942095 4587069.86761924, 427073.00431429 4587062.13384244, 427040.68715841 4587048.18606629, 427018.31398241 4587029.541207))"
"T19562S","20-25 µg/m³","MultiLineString ((432089.27559324 4587657.40768568, 432005.79761487 4587677.30434927))"
"T03360H","20-25 µg/m³","MultiLineString ((426909.79443254 4580917.93757479, 426973.45477418 4580949.9931401))"
"T03707O","20-25 µg/m³","MultiLineString ((430672.73463488 4580707.41465124, 430621.56657914 4580578.84584141))"
"T02977E","25-30 µg/m³","MultiLineString ((428022.64526425 4580274.07711875, 427996.75706458 4580253.02028303, 427978.71591747 4580237.2963959))"
"T13859I","15-20 µg/m³","MultiLineString ((424459.86452444 4585647.24349368, 424448.00448764 4585644.83358021, 424417.43441286 4585641.27380744, 424403.58435758 4585636.83390589, 424394.98430376 4585631.50396294, 424373.49416247 4585617.28410405, 424347.70399771 4585600.8542744, 424340.54393941 4585594.63431906, 424331.9438519 4585584.85436902, 424331.94384811 4585584.35436823))"
"T12035Y","20-25 µg/m³","MultiLineString ((431753.90249733 4588504.91656749, 431710.84753557 4588518.76591549))"
"RD0129Y","30-35 µg/m³","MultiLineString ((427444.69007053 4585104.51411938, 427447.38507923 4585105.73987963, 427461.64514165 4585111.07977887, 427476.13520047 4585115.81967597, 427490.82525478 4585119.95957011, 427505.67530469 4585123.49946238, 427514.67533255 4585125.3193966, 427541.07541336 4585130.55920345, 427563.21548218 4585135.04904153, 427574.62551739 4585137.30895856, 427586.22868566 4585139.60601506))"
"T08313U","20-25 µg/m³","MultiLineString ((430341.30387285 4584357.70972385, 430293.68423369 4584414.81017057))"
"T02155A","20-25 µg/m³","MultiLineString ((428794.93196791 4582580.24578732, 428890.57883174 4582674.4802035))"
"T07338Z","20-25 µg/m³","MultiLineString ((427638.41739613 4581818.69341937, 427665.36650562 4581827.62622809))"
"T20016S","25-30 µg/m³","MultiLineString ((429488.71456586 4580411.8841865, 429479.35745951 4580399.77023898, 429479.15712172 4580355.32117205))"
"T01346B","20-25 µg/m³","MultiLineString ((430145.22949865 4581323.50859552, 430097.85340567 4581320.85395166))"
"T20218A","30-35 µg/m³","MultiLineString ((426600.53084751 4582089.73573188, 426596.3819284 4582101.23778112, 426597.67610572 4582124.32980675, 426600.96023851 4582141.15080761, 426606.03733554 4582152.89578701, 426612.28640079 4582160.2147507))"
"T09490O","25-30 µg/m³","MultiLineString ((433899.22530104 4585007.44378604, 433853.57761374 4585057.74820754))"
"T04836A","20-25 µg/m³","MultiLineString ((429502.04735733 4586174.1259388, 429497.1273433 4586173.2779749, 429478.22322494 4586161.50509995))"
"T03700H","20-25 µg/m³","MultiLineString ((430754.02660067 4580422.98259783, 430741.2726655 4580434.12071162, 430653.34079013 4580468.47143089))"
"T16869W","20-25 µg/m³","MultiLineString ((425186.40687567 4582382.67194377, 425179.31089019 4582386.03900296, 425169.67288496 4582387.3250783))"
"T12574U","20-25 µg/m³","MultiLineString ((430336.91991855 4587398.71354283, 430328.08369948 4587371.59456655))"
"T05832A","25-30 µg/m³","MultiLineString ((432144.70193707 4585843.20537796, 432107.01819657 4585885.15573011))"
"T04793G","25-30 µg/m³","MultiLineString ((429517.76478647 4586227.61390472, 429481.09353418 4586201.77714251))"
"T06025H","20-25 µg/m³","MultiLineString ((432213.08167699 4587115.29288772, 432113.43562931 4587129.32466429))"
"T17868Z","25-30 µg/m³","MultiLineString ((430422.86786846 4584997.50507202, 430450.65899948 4585009.07087913))"
"T20171C","25-30 µg/m³","MultiLineString ((430666.46043389 4581472.05687172, 430658.56940931 4581470.43092901, 430615.32517419 4581448.30022275))"
"T05043F","25-30 µg/m³","MultiLineString ((429974.16362507 4585056.6945699, 430044.61897775 4585088.71008174))"
"T20906R","25-30 µg/m³","MultiLineString ((432306.52576633 4582234.98661717, 432403.95562168 4582327.75902136))"
"T08793W","25-30 µg/m³","MultiLineString ((432402.72749748 4584678.62760884, 432450.65523368 4584765.67337799))"
"T21272K","20-25 µg/m³","MultiLineString ((433518.62378947 4587655.86986252, 433515.61933884 4587728.94100085))"
"T20352F","20-25 µg/m³","MultiLineString ((426300.14721546 4581804.32257847, 426312.77226748 4581808.59748899, 426303.37746925 4581837.10060434, 426349.71465951 4581852.7052758, 426345.09676113 4581867.03633299, 426384.90592314 4581880.25205043))"
"T07990V","20-25 µg/m³","MultiLineString ((429680.82388645 4584362.22275429, 429671.36697567 4584375.86984692))"
"T01527E","20-25 µg/m³","MultiLineString ((431385.17056064 4581605.59563153, 431392.59653635 4581600.88756807, 431400.68941909 4581583.80848059, 431406.43631682 4581569.17841464, 431412.50127393 4581562.29935815))"
"T18597Z","20-25 µg/m³","MultiLineString ((427902.69990994 4584332.96124656, 427933.88874527 4584304.94096656))"
"T02171A","25-30 µg/m³","MultiLineString ((429363.67479897 4582574.10345115, 429268.68039231 4582671.44832231))"
"T10206R","20-25 µg/m³","MultiLineString ((432655.34075635 4582952.27707245, 432565.8132994 4583041.85488689))"
"T00885T","25-30 µg/m³","MultiLineString ((430967.01751836 4582079.91652474, 431008.95682846 4582112.18025637))"
"T20930R","25-30 µg/m³","MultiLineString ((426146.49912508 4583930.8740066, 426161.0712404 4583943.06791424))"
"T05082M","20-25 µg/m³","MultiLineString ((429345.42630637 4586331.53438252, 429151.60119977 4586224.97768749))"
"T02838U","25-30 µg/m³","MultiLineString ((427696.65735027 4580219.83151323, 427681.73603451 4580313.04377075))"
"T12098N","25-30 µg/m³","MultiLineString ((431632.7316817 4586838.29483992, 431555.35457999 4586840.66342939))"
"T02407B","25-30 µg/m³","MultiLineString ((429078.75237774 4580733.53179803, 428895.18711364 4580735.95219734))"
"T01783S","25-30 µg/m³","MultiLineString ((428782.79731726 4581444.01414015, 428692.91887532 4581535.73696442))"
"T01530Z","20-25 µg/m³","MultiLineString ((431267.26461879 4581637.24457318, 431275.67957383 4581629.61449775, 431286.7435099 4581618.9493976, 431304.36039644 4581600.43123578))"
"T10897C","20-25 µg/m³","MultiLineString ((426222.73379389 4583213.44833011, 426187.46377143 4583217.70760513, 426155.58275026 4583221.44385353, 426128.96094059 4583251.95210287, 426121.93496752 4583256.93616399, 426115.34400417 4583263.11122361))"
"T20369O","25-30 µg/m³","MultiLineString ((432646.67477554 4584665.79674367, 432693.54719257 4584711.11845769))"
"T19184M","30-35 µg/m³","MultiLineString ((431851.77542071 4586627.09084551, 431832.76667717 4586664.83204952))"
"T19376S","25-30 µg/m³","MultiLineString ((433513.20700036 4584257.23656758, 433465.8073134 4584307.9680033))"
"T18622J","20-25 µg/m³","MultiLineString ((427075.71140146 4583777.16269742, 427016.93691525 4583856.78226621))"
"T00271V","25-30 µg/m³","MultiLineString ((431749.28912763 4581606.15087422, 431751.84597212 4581585.16382267, 431746.04383448 4581568.22684065, 431733.34171658 4581555.29191703, 431709.48263945 4581549.99308964))"
"T10470F","20-25 µg/m³","MultiLineString ((428497.15973656 4583268.24410246, 428429.00314631 4583204.46052396))"
"T09103Q","25-30 µg/m³","MultiLineString ((432280.19744103 4583512.92176666, 432326.48785882 4583558.47448559))"
"T08860Q","20-25 µg/m³","MultiLineString ((431932.587991 4585101.47680529, 431868.41439215 4585167.17838999))"
"T10372E","20-25 µg/m³","MultiLineString ((428927.22484396 4583326.43891826, 428884.88815282 4583375.67431536))"
"T10680N","20-25 µg/m³","MultiLineString ((427282.72015585 4583307.76240566, 427368.57078322 4583372.80785147))"
"T20427H","20-25 µg/m³","MultiLineString ((432398.99858818 4588253.18828403, 432271.51435391 4588248.31124169))"
"T19924Y","20-25 µg/m³","MultiLineString ((430692.43561056 4585040.24209649, 430877.24525905 4585219.288968))"
"T10740I","20-25 µg/m³","MultiLineString ((426595.23255013 4583236.83253033, 426602.88547951 4583225.97045547, 426613.58736458 4583208.65234753, 426621.54430395 4583199.04427227))"
"T07261V","20-25 µg/m³","MultiLineString ((427506.98222378 4582217.82203165, 427547.83671358 4582273.99080691))"
"T18813O","20-25 µg/m³","MultiLineString ((426155.99739507 4583042.91457708, 426125.9924247 4583052.95582086, 426083.14149345 4583070.77717434))"
"T12205Y","20-25 µg/m³","MultiLineString ((431071.14551277 4587062.77644865, 431039.70470704 4587094.85873778))"
"T20069F","25-30 µg/m³","MultiLineString ((428102.85279002 4584276.35863676, 428150.0528747 4584277.86927971))"
"T00389I","20-25 µg/m³","MultiLineString ((431390.78701759 4581401.3582759, 431415.31601447 4581395.95508179, 431436.09598673 4581388.07491228))"
"T07531Y","20-25 µg/m³","MultiLineString ((425169.67288496 4582387.3250783, 425161.90787834 4582388.04413851, 425155.11585864 4582386.83918835, 425149.44083094 4582384.35222772, 425144.17379313 4582380.4492618, 425138.32874587 4582375.42029855, 425128.28862058 4582360.96735273, 425114.6854637 4582343.08242874))"
"T16582K","25-30 µg/m³","MultiLineString ((430987.60687599 4581333.19122585, 431004.16877113 4581316.01507404))"
"T17601A","25-30 µg/m³","MultiLineString ((433747.81403868 4583294.38232554, 433780.34739281 4583334.3821404, 433796.52556636 4583353.93804782))"
"T13813U","15-20 µg/m³","MultiLineString ((423930.73111057 4586626.04907707, 423911.42092602 4586605.67919192, 423908.12082311 4586592.77919664, 423898.00076545 4586587.25926499, 423850.60270588 4586589.18562905, 423848.72070311 4586589.20964342))"
"T15618B","25-30 µg/m³","MultiLineString ((432341.34195149 4581199.34876492, 432362.1134569 4581130.01350095))"
"T09280G","25-30 µg/m³","MultiLineString ((433418.86830731 4583790.75757178, 433405.78837225 4583801.94168779))"
"T03795E","25-30 µg/m³","MultiLineString ((427756.84848926 4578907.5120215, 427706.58615268 4579005.20155526))"
"T05113C","20-25 µg/m³","MultiLineString ((429729.36599967 4586476.77369258, 429702.58286566 4586464.54187686))"
"T15784O","25-30 µg/m³","MultiLineString ((431033.15668586 4583272.29984119, 431070.69646921 4583236.17950204))"
"T17159D","20-25 µg/m³","MultiLineString ((432843.27182317 4585421.87041973, 432811.95402566 4585454.98070956, 432801.54493477 4585445.09177249, 432772.91910548 4585473.45803438, 432783.32819637 4585483.34697145, 432750.08339745 4585516.66227618))"
"T06081P","20-25 µg/m³","MultiLineString ((432177.27646739 4586698.90449635, 432184.18415596 4586656.38037636))"
"T21146F","25-30 µg/m³","MultiLineString ((428948.23615911 4584284.14321271, 428908.56775145 4584238.62044569))"
"T04168N","25-30 µg/m³","MultiLineString ((424955.56888825 4576492.7865204, 425388.95603739 4576688.60553761))"
"T06928L","25-30 µg/m³","MultiLineString ((432351.38477221 4589210.31515513, 432398.87495849 4589357.00802633))"
"T17200N","20-25 µg/m³","MultiLineString ((434658.74828937 4584984.19600631, 434671.67938008 4584993.51192265, 434687.22851703 4585008.37782762))"
"T14863I","25-30 µg/m³","MultiLineString ((431342.18923384 4581308.08750099, 431358.2694733 4581336.3334225, 431395.28456829 4581341.30314971, 431401.83355081 4581337.66909452))"
"T04920V","25-30 µg/m³","MultiLineString ((429359.06782177 4585868.32953777, 429396.34955052 4585824.85818437, 429405.04350154 4585816.60610497, 429416.3474469 4585807.07400366))"
"T10196G","20-25 µg/m³","MultiLineString ((432406.11405087 4582515.35929192, 432301.62168999 4582620.644244))"
"T09663R","25-30 µg/m³","MultiLineString ((433086.70338239 4585842.42124991, 433125.29971906 4585879.03101633))"
"T05506P","20-25 µg/m³","MultiLineString ((428378.77692416 4587007.11281661, 428410.76666839 4587098.83771907))"
"T03213X","25-30 µg/m³","MultiLineString ((428001.87466015 4580857.51117672, 428005.52132496 4580944.35328277))"
"T11178I","20-25 µg/m³","MultiLineString ((428106.85877938 4584142.62740323, 428102.85279002 4584276.35863676))"
"T02194H","25-30 µg/m³","MultiLineString ((429555.14852193 4582761.92028087, 429680.66064997 4582884.84051324))"
"T12009W","20-25 µg/m³","MultiLineString ((431804.44399896 4588824.56368979, 431835.2026509 4588904.25758262))"
"T03411B","25-30 µg/m³","MultiLineString ((427122.13410003 4580435.47721479, 427159.71269411 4580374.32483451))"
"T16202L","20-25 µg/m³","MultiLineString ((428785.21064728 4586887.39253293, 428798.52885765 4586912.45047148, 428805.16709848 4586942.89646945, 428797.15528369 4586968.99357197, 428778.15546402 4586996.69376067, 428722.10953292 4587017.25421991))"
"T21163G","25-30 µg/m³","MultiLineString ((432299.16321501 4589411.20886702, 432294.32227347 4589419.90491738, 432310.96757656 4589456.4588488, 432320.92180243 4589484.20081704, 432330.06106419 4589516.83779914, 432333.49510828 4589521.94878116))"
"T20976F","30-35 µg/m³","MultiLineString ((429653.71581791 4587905.48404752, 429639.05283344 4587925.9116881))"
"T18547P","25-30 µg/m³","MultiLineString ((430999.31464395 4581695.10569157, 431005.42071207 4581702.82665713, 431009.48575531 4581707.68863378, 431013.02180309 4581713.25661552, 431023.8909645 4581732.28556231))"
"T05001V","25-30 µg/m³","MultiLineString ((428562.47920537 4585949.96173243, 428599.6293767 4585964.98747363, 428742.12002807 4586021.86447981))"
