id_terraza;id_local;id_distrito_local;desc_distrito_local;id_barrio_local;desc_barrio_local;id_ndp_edificio;id_clase_ndp_edificio;id_vial_edificio;clase_vial_edificio;desc_vial_edificio;nom_edificio;num_edificio;Cod_Postal;coordenada_x_local;coordenada_y_local;id_tipo_acceso_local;desc_tipo_acceso_local;id_situacion_local;desc_situacion_local;secuencial_local_PC;Escalera;id_planta_agrupado;id_local_agrupado;coordenada_x_agrupacion;coordenada_y_agrupacion;rotulo;id_periodo_terraza;desc_periodo_terraza;id_situacion_terraza;desc_situacion_terraza;Superficie_ES;Superficie_RA;Fecha_confir_ult_decreto_resol;id_ndp_terraza;id_clase_ndp_terraza;ID_VIAL;DESC_CLASE;DESC_NOMBRE;nom_terraza;num_terraza;cal_terraza;desc_ubicacion_terraza;hora_ini_LJ_es;hora_fin_LJ_es;hora_ini_LJ_ra;hora_fin_LJ_ra;hora_ini_VS_es;hora_fin_VS_es;hora_ini_VS_ra;hora_fin_VS_ra;mesas_aux_es;mesas_aux_ra;mesas_es;mesas_ra;sillas_es;sillas_ra
7;280067128;20;SAN BLAS-CANILLEJAS ;2005;ROSAS               ;20157611;1;2443;CALLE                   ;SOFIA                                             ;NUM;177;28022;448900,55;4474755,41;1;Puerta Calle;1;Abierto;10;;PB;;;;SR;2;Estacional;1;Abierta;7,2;;24/03/2014;20157611;1;2443;CALLE                   ;SOFIA                                             ;NUM;177; A;Acera;08:00:00;01:30:00;;;08:00:00;01:30:00;;;0;;5;;10; A
33;270403150;4;SALAMANCA           ;404;GUINDALERA          ;11018870;1;42500;AVENIDA                 ;AMERICA                                           ;NUM;2;28028;442586,58;4476524,51;1;Puerta Calle;1;Abierto;30;;PB;;;;HONTANARES;1;Anual;1;Abierta;21,06;21,06;04/04/2014;11018870;1;42500;AVENIDA                 ;AMERICA                                           ;NUM;2;  ;Acera;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;02:30:00;10:00:00;00:00:00;0;0;9;9;27;  
34;270078567;4;SALAMANCA           ;404;GUINDALERA          ;11018555;1;35200;CALLE                   ;ALONSO HEREDIA                                    ;NUM;25;28028;442986,58;4476379,5;1;Puerta Calle;1;Abierto;10;;PB;;;;BAR MARISQUERIA LUIS;1;Anual;1;Abierta;11,16;11,16;04/04/2014;11018555;1;35200;CALLE                   ;ALONSO HEREDIA                                    ;NUM;25;  ;Calle peatonal;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;02:30:00;10:00:00;00:00:00;0;0;4;0;14;  
36;40002021;4;SALAMANCA           ;404;GUINDALERA          ;11018545;1;10100;CALLE                   ;AGUSTIN DURAN                                     ;NUM;10;28028;442972,58;4476350,5;1;Puerta Calle;1;Abierto;20;;PB;;;;SAGAR;2;Estacional;1;Abierta;7,2;;07/04/2014;11018548;1;35200;CALLE                   ;ALONSO HEREDIA                                    ;NUM;22;  ;Calle peatonal;10:00:00;00:00:00;;;10:00:00;00:00:00;;;0;;5;;10;  
40;40002808;4;SALAMANCA           ;401;RECOLETOS           ;11014033;1;85200;CALLE                   ;AYALA                                             ;NUM;14;28001;441656,59;4475470,52;1;Puerta Calle;1;Abierto;10;;PB;;;;WAGABOO;1;Anual;1;Abierta;25,48;25,48;07/04/2014;11014033;1;85200;CALLE                   ;AYALA                                             ;NUM;14;  ;Acera;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;02:30:00;10:00:00;00:00:00;1;1;8;8;24;  
41;270495851;4;SALAMANCA           ;401;RECOLETOS           ;11013652;1;88907782;CALLE                   ;ALCALA                                            ;NUM;59;28014;441350,59;4474585,52;1;Puerta Calle;1;Abierto;10;;PB;;;;THE JAMES JOYCE IRISH PUB;1;Anual;1;Abierta;21,04;21,04;07/04/2014;11013652;1;88907782;CALLE                   ;ALCALA                                            ;NUM;59;  ;Acera;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;02:30:00;10:00:00;00:00:00;0;0;6;6;24;  
44;40001459;4;SALAMANCA           ;404;GUINDALERA          ;11018130;1;42500;AVENIDA                 ;AMERICA                                           ;NUM;32;28028;442926,58;4476681,5;1;Puerta Calle;1;Abierto;10;;PB;;;;HOTEL ABBA MADRID;2;Estacional;1;Abierta;19,44;;07/04/2014;11018130;1;42500;AVENIDA                 ;AMERICA                                           ;NUM;32;  ;Acera;10:00:00;01:00:00;;;10:00:00;02:30:00;;;0;;6;;24;  
50;180000457;18;VILLA DE VALLECAS   ;1801;CASCO H.VALLECAS    ;20150818;1;414710;PLAZA                   ;JUAN DE MALASAÑA                                  ;NUM;5;28031;447240,53;4470141,43;1;Puerta Calle;1;Abierto;10;;PB;;;;LA CHOZITA;1;Anual;1;Abierta;84,68;64,99;10/04/2014;20150818;1;414710;PLAZA                   ;JUAN DE MALASAÑA                                  ;NUM;5;  ;Plaza peatonal;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;02:30:00;10:00:00;00:00:00;0;0;27;21;92;  
51;270076142;4;SALAMANCA           ;404;GUINDALERA          ;11016970;1;88907782;CALLE                   ;ALCALA                                            ;NUM;225;28028;443565,58;4475688,49;1;Puerta Calle;1;Abierto;10;;PB;;;;EL NUEVO RINCÓN DE JAÉN;1;Anual;1;Abierta;21,66;21,66;14/04/2014;11016970;1;88907782;CALLE                   ;ALCALA                                            ;NUM;225;  ;Acera;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;02:30:00;10:00:00;00:00:00;0;0;8;8;25;  
52;270071068;4;SALAMANCA           ;402;GOYA                ;11014645;1;88907782;CALLE                   ;ALCALA                                            ;NUM;127;28009;442347,58;4474952,51;1;Puerta Calle;1;Abierto;20;;PB;;;;VIENA CAPELLANES;1;Anual;1;Abierta;12,43;12,43;14/04/2014;11014645;1;88907782;CALLE                   ;ALCALA                                            ;NUM;127;  ;Acera;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;02:30:00;10:00:00;00:00:00;0;0;3;3;9;  
54;280062208;17;VILLAVERDE          ;1702;SAN CRISTOBAL       ;11126231;1;513900;CALLE                   ;MONCADA                                           ;NUM;119;28021;441294,52;4465802,5;1;Puerta Calle;1;Abierto;10;;PB;;;;BAR LAS TORRES;2;Estacional;1;Abierta;21,66;;14/04/2014;11126231;1;513900;CALLE                   ;MONCADA                                           ;NUM;119;  ;Acera;08:00:00;01:30:00;;;08:00:00;01:30:00;;;0;;6;;24;  
56;170000773;17;VILLAVERDE          ;1704;LOS ROSALES         ;11126803;1;786850;CALLE                   ;VILLAJOYOSA                                       ;NUM;73;28041;441341,54;4467433,5;1;Puerta Calle;1;Abierto;10;;PB;;;;KEBAB ARMENIA;2;Estacional;1;Abierta;12,96;;14/04/2014;11126803;1;786850;CALLE                   ;VILLAJOYOSA                                       ;NUM;73;  ;Acera;08:00:00;01:30:00;;;08:00:00;01:30:00;;;0;;4;;16;  
58;270075832;4;SALAMANCA           ;403;FUENTE DEL BERRO    ;11016822;1;88907782;CALLE                   ;ALCALA                                            ;NUM;172;28028;443481,58;4475598,49;1;Puerta Calle;1;Abierto;10;;PB;;;;CAFETERIA PARISIENA;2;Estacional;1;Abierta;33,65;;14/04/2014;11016822;1;88907782;CALLE                   ;ALCALA                                            ;NUM;172;  ;Acera;08:00:00;01:30:00;;;08:00:00;01:30:00;;;0;;8;;24;  
60;180000598;18;VILLA DE VALLECAS   ;1801;CASCO H.VALLECAS    ;11130825;1;581100;CALLE                   ;PEÑA DE VARGAS                                    ;NUM;7;28031;447266,53;4469503,43;1;Puerta Calle;1;Abierto;10;;PB;;;;EL RINCON DEL TIO PEPE;1;Anual;1;Abierta;34,07;34,07;14/04/2014;11130825;1;581100;CALLE                   ;PEÑA DE VARGAS                                    ;NUM;7;  ;Acera;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;02:30:00;10:00:00;00:00:00;0;0;8;8;32;  
66;200000837;20;SAN BLAS-CANILLEJAS ;2001;SIMANCAS            ;31038473;1;505500;CALLE                   ;MIERES                                            ;NUM;13;28037;446593,56;4475579,45;1;Puerta Calle;1;Abierto;60;;PB;;;;BAR JOSUE;1;Anual;1;Abierta;10,23;10,23;14/04/2014;31038473;1;505500;CALLE                   ;MIERES                                            ;NUM;13;  ;Acera;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;01:00:00;10:00:00;00:00:00;0;0;4;0;16;  
67;280067055;20;SAN BLAS-CANILLEJAS ;2006;REJAS               ;20144821;1;190550;COLONIA                 ;OCCIDENTE                                         ;NUM;6;28022;449558,56;4477260,41;1;Puerta Calle;1;Abierto;10;;PB;;;;RESTAURANTE BAR TORRES;1;Anual;1;Abierta;36,78;36,78;14/04/2014;20144821;1;190550;COLONIA                 ;OCCIDENTE                                         ;NUM;6;  ;Acera;08:00:00;00:00:00;08:00:00;00:00:00;08:00:00;00:00:00;08:00:00;00:00:00;0;0;12;12;47;  
68;270201818;17;VILLAVERDE          ;1701;SAN ANDRES          ;11123254;1;745900;CALLE                   ;TORDEGRILLOS                                      ;NUM;45;28021;439136,54;4466098,52;1;Puerta Calle;1;Abierto;30;;PB;;;;BONGO CAFE;2;Estacional;1;Abierta;11,19;;15/04/2014;31001450;1;18100;PASEO                   ;ALBERTO PALACIOS                                  ;NUM;77;  ;Acera;08:00:00;01:30:00;;;08:00:00;01:30:00;;;0;;5;;13;  
69;270380946;4;SALAMANCA           ;401;RECOLETOS           ;11013848;1;88907782;CALLE                   ;ALCALA                                            ;NUM;89;28009;441877,58;4474703,52;1;Puerta Calle;1;Abierto;10;;PB;;;;EL ARBOL Y LA TOSTA;1;Anual;1;Abierta;5,04;5,04;15/04/2014;11013848;1;88907782;CALLE                   ;ALCALA                                            ;NUM;89;  ;Acera;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;02:30:00;10:00:00;00:00:00;0;0;3;3;6;  
72;210000683;21;BARAJAS             ;2104;TIMON               ;20125122;1;14300;CALLE                   ;ALAS                                              ;NUM;30;28042;450640,58;4480471,4;1;Puerta Calle;1;Abierto;10;;PB;;;;BURGER KING;2;Estacional;1;Abierta;29,16;;23/04/2014;20044134;1;439900;AVENIDA                 ;LOGROÑO                                           ;NUM;337;  ;Acera;10:00:00;01:00:00;;;10:00:00;02:30:00;;;0;;9;;36;  
73;280060978;18;VILLA DE VALLECAS   ;1803;ENSANCHE DE VALLECAS;31035268;1;31000474;AVENIDA                 ;ENSANCHE DE VALLECAS                              ;NUM;44;28051;448326,52;4468742,41;1;Puerta Calle;1;Abierto;20;;PB;;;;RESTAURANTE 40 & CUATRO;1;Anual;1;Abierta;97,2;97,2;24/04/2014;31033784;1;31000519;CALLE                   ;ENTREPEÑAS                                        ;NUM;49;  ;Acera;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;02:30:00;10:00:00;00:00:00;0;0;30;30;120;  
74;270202022;18;VILLA DE VALLECAS   ;1801;CASCO H.VALLECAS    ;11130120;1;716700;CALLE                   ;SIERRA GORDA                                      ;NUM;25;28031;447532,53;4470237,43;1;Puerta Calle;1;Abierto;10;;PB;;;;BAR-RESTAURANTE;1;Anual;1;Abierta;104,6;60,6;24/04/2014;31054352;1;716700;CALLE                   ;SIERRA GORDA                                      ;NUM;25; B;Calle peatonal;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;02:30:00;10:00:00;00:00:00;0;0;30;16;112;  
