Any,Mes,Desc_Mes,Temperatura
1797,12,Desembre,9.4
1798,1,Gener,7.1
1798,2,Febrer,8.6
1798,3,Març,9.9
1798,4,Abril,12.7
1798,5,Maig,16.6
1798,6,Juny,19.9
1798,7,Juliol,22.9
1798,8,Agost,23.7
1798,9,Setembre,20.6
1798,10,Octubre,17.4
1798,11,Novembre,12.1
1798,12,Desembre,9.4
1799,1,Gener,7.4
1799,2,Febrer,11.7
1799,3,Març,10.7
1799,4,Abril,12.3
1799,5,Maig,15.6
1799,6,Juny,18.7
1799,7,Juliol,22.0
1799,8,Agost,22.0
1799,9,Setembre,19.6
1799,10,Octubre,15.9
1799,11,Novembre,11.9
1799,12,Desembre,6.2
1800,1,Gener,7.5
1800,2,Febrer,8.9
1800,3,Març,9.1
1800,4,Abril,13.3
1800,5,Maig,16.4
1800,6,Juny,17.9
1800,7,Juliol,23.2
1800,8,Agost,22.3
1800,9,Setembre,18.8
1800,10,Octubre,14.5
1800,11,Novembre,10.1
1800,12,Desembre,8.2
1801,1,Gener,7.2
1801,2,Febrer,7.7
1801,3,Març,10.7
1801,4,Abril,11.7
1801,5,Maig,16.0
1801,6,Juny,19.0
1801,7,Juliol,21.2
1801,8,Agost,22.4
1801,9,Setembre,18.6
1801,10,Octubre,14.4
1801,11,Novembre,9.8
1801,12,Desembre,9.3
1802,1,Gener,3.6
1802,2,Febrer,7.1
1802,3,Març,9.0
1802,4,Abril,12.3
1802,5,Maig,15.2
1802,6,Juny,20.6
1802,7,Juliol,21.4
1802,8,Agost,23.7
1802,9,Setembre,21.0
1802,10,Octubre,15.9
1802,11,Novembre,10.9
1802,12,Desembre,8.1
1803,1,Gener,6.9
1803,2,Febrer,5.0
1803,3,Març,8.1
1803,4,Abril,12.7
1803,5,Maig,14.2
1803,6,Juny,20.5
1803,7,Juliol,22.4
1803,8,Agost,23.2
1803,9,Setembre,18.9
1803,10,Octubre,15.0
1803,11,Novembre,11.1
1803,12,Desembre,8.2
1804,1,Gener,9.7
1804,2,Febrer,6.0
1804,3,Març,9.6
1804,4,Abril,11.7
1804,5,Maig,17.2
1804,6,Juny,21.3
1804,7,Juliol,21.0
