Any,Mes,Desc_Mes,Temperatura
1866,1,Gener,8.5
1866,2,Febrer,11.1
1866,3,Març,9.9
1866,4,Abril,13.0
1866,5,Maig,16.2
1866,6,Juny,19.9
1866,7,Juliol,22.9
1866,8,Agost,21.9
1866,9,Setembre,19.1
1866,10,Octubre,15.1
1866,11,Novembre,11.8
1866,12,Desembre,10.0
1867,1,Gener,8.5
1867,2,Febrer,11.1
1867,3,Març,12.4
1867,4,Abril,13.6
1867,5,Maig,16.3
1867,6,Juny,19.2
1867,7,Juliol,21.8
1867,8,Agost,21.8
1867,9,Setembre,19.5
1867,10,Octubre,14.6
1867,11,Novembre,10.7
1867,12,Desembre,6.6
1868,1,Gener,6.9
1868,2,Febrer,8.9
1868,3,Març,10.4
1868,4,Abril,12.7
1868,5,Maig,17.4
1868,6,Juny,21.8
1868,7,Juliol,22.8
1868,8,Agost,22.0
1868,9,Setembre,19.4
1868,10,Octubre,14.0
1868,11,Novembre,9.6
1868,12,Desembre,11.5
1869,1,Gener,8.6
1869,2,Febrer,9.8
1869,3,Març,8.0
1869,4,Abril,12.0
1869,5,Maig,16.8
1869,6,Juny,18.8
1869,7,Juliol,23.3
1869,8,Agost,21.7
1869,9,Setembre,20.6
1869,10,Octubre,14.5
1869,11,Novembre,10.6
1869,12,Desembre,6.9
1870,1,Gener,6.9
1870,2,Febrer,9.2
1870,3,Març,9.7
1870,4,Abril,12.0
1870,5,Maig,17.0
1870,6,Juny,21.2
1870,7,Juliol,23.2
1870,8,Agost,22.0
1870,9,Setembre,20.1
1870,10,Octubre,15.8
1870,11,Novembre,10.2
1870,12,Desembre,5.3
1871,1,Gener,4.6
1871,2,Febrer,8.8
1871,3,Març,10.8
1871,4,Abril,14.6
1871,5,Maig,16.0
1871,6,Juny,17.0
1871,7,Juliol,22.6
1871,8,Agost,22.7
1871,9,Setembre,21.2
1871,10,Octubre,16.8
1871,11,Novembre,9.8
1871,12,Desembre,4.4
1872,1,Gener,8.2
1872,2,Febrer,10.1
1872,3,Març,11.1
1872,4,Abril,13.4
1872,5,Maig,15.2
1872,6,Juny,19.5
1872,7,Juliol,22.8
1872,8,Agost,21.5
1872,9,Setembre,19.6
1872,10,Octubre,13.8
1872,11,Novembre,10.7
1872,12,Desembre,9.2
1873,1,Gener,9.5
1873,2,Febrer,7.3
1873,3,Març,12.3
1873,4,Abril,11.1
1873,5,Maig,16.0
1873,6,Juny,19.0
1873,7,Juliol,23.3
1873,8,Agost,23.6
1873,9,Setembre,19.1
1873,10,Octubre,15.0
1873,11,Novembre,11.1
1873,12,Desembre,8.0
1874,1,Gener,8.9
1874,2,Febrer,8.3
1874,3,Març,9.7
1874,4,Abril,13.3
1874,5,Maig,14.5
1874,6,Juny,19.7
1874,7,Juliol,23.1
1874,8,Agost,22.3
1874,9,Setembre,20.4
1874,10,Octubre,16.3
1874,11,Novembre,11.7
1874,12,Desembre,6.9
1875,1,Gener,9.9
1875,2,Febrer,6.9
1875,3,Març,10.2
1875,4,Abril,12.6
1875,5,Maig,18.6
1875,6,Juny,19.4
1875,7,Juliol,20.9
1875,8,Agost,22.6
1875,9,Setembre,20.6
1875,10,Octubre,15.7
1875,11,Novembre,11.6
1875,12,Desembre,5.7
1876,1,Gener,6.9
1876,2,Febrer,9.9
1876,3,Març,11.2
1876,4,Abril,11.6
1876,5,Maig,14.6
1876,6,Juny,17.9
1876,7,Juliol,22.3
1876,8,Agost,22.6
1876,9,Setembre,19.1
1876,10,Octubre,17.6
1876,11,Novembre,12.2
1876,12,Desembre,9.8
1877,1,Gener,10.1
1877,2,Febrer,9.5
1877,3,Març,8.4
1877,4,Abril,10.2
1877,5,Maig,13.7
1877,6,Juny,19.1
1877,7,Juliol,23.4
1877,8,Agost,24.5
1877,9,Setembre,17.6
1877,10,Octubre,14.7
1877,11,Novembre,13.0
1877,12,Desembre,7.8
1878,1,Gener,5.5
1878,2,Febrer,6.1
1878,3,Març,9.2
1878,4,Abril,12.5
1878,5,Maig,17.2
1878,6,Juny,19.7
1878,7,Juliol,22.4
1878,8,Agost,24.9
1878,9,Setembre,21.6
1878,10,Octubre,17.4
1878,11,Novembre,7.3
1878,12,Desembre,6.5
1879,1,Gener,9.7
1879,2,Febrer,9.0
1879,3,Març,9.6
1879,4,Abril,10.4
1879,5,Maig,11.5
1879,6,Juny,19.8
1879,7,Juliol,20.2
1879,8,Agost,23.0
1879,9,Setembre,17.3
1879,10,Octubre,14.3
1879,11,Novembre,10.3
1879,12,Desembre,4.6
1880,1,Gener,5.1
1880,2,Febrer,8.6
1880,3,Març,10.2
1880,4,Abril,11.6
1880,5,Maig,12.6
1880,6,Juny,18.3
1880,7,Juliol,24.2
1880,8,Agost,23.5
1880,9,Setembre,21.1
1880,10,Octubre,17.0
1880,11,Novembre,9.3
1880,12,Desembre,8.0
1881,1,Gener,7.0
1881,2,Febrer,9.4
1881,3,Març,10.5
1881,4,Abril,11.9
1881,5,Maig,14.0
1881,6,Juny,16.5
1881,7,Juliol,23.7
1881,8,Agost,23.5
1881,9,Setembre,18.3
1881,10,Octubre,14.3
1881,11,Novembre,12.6
1881,12,Desembre,7.9
1882,1,Gener,9.0
1882,2,Febrer,10.1
1882,3,Març,13.0
1882,4,Abril,14.8
1882,5,Maig,18.3
1882,6,Juny,19.4
1882,7,Juliol,21.4
1882,8,Agost,22.6
1882,9,Setembre,16.9
1882,10,Octubre,16.4
1882,11,Novembre,11.2
1882,12,Desembre,8.6
1883,1,Gener,7.7
1883,2,Febrer,7.7
1883,3,Març,6.1
1883,4,Abril,11.4
1883,5,Maig,14.3
1883,6,Juny,17.5
1883,7,Juliol,21.2
1883,8,Agost,22.5
1883,9,Setembre,17.9
1883,10,Octubre,14.4
1883,11,Novembre,12.0
1883,12,Desembre,6.7
1884,1,Gener,9.0
1884,2,Febrer,10.9
1884,3,Març,10.4
1884,4,Abril,11.1
1884,5,Maig,15.6
1884,6,Juny,17.2
1884,7,Juliol,24.6
1884,8,Agost,26.4
1884,9,Setembre,22.0
1884,10,Octubre,16.3
1884,11,Novembre,11.6
1884,12,Desembre,6.1
1885,1,Gener,5.2
1885,2,Febrer,11.1
1885,3,Març,10.0
1885,4,Abril,11.5
1885,5,Maig,15.6
1885,6,Juny,19.0
1885,7,Juliol,22.8
1885,8,Agost,23.1
1885,9,Setembre,19.0
1885,10,Octubre,13.4
1885,11,Novembre,11.9
1885,12,Desembre,8.9
1886,1,Gener,6.9
1886,2,Febrer,8.7
1886,3,Març,9.8
1886,4,Abril,11.9
1886,5,Maig,15.2
1886,6,Juny,17.8
1886,7,Juliol,20.8
1886,8,Agost,20.0
1886,9,Setembre,18.9
1886,10,Octubre,14.4
1886,11,Novembre,8.9
1886,12,Desembre,6.6
1887,1,Gener,6.1
1887,2,Febrer,6.1
1887,3,Març,9.9
1887,4,Abril,11.5
1887,5,Maig,14.0
1887,6,Juny,20.2
1887,7,Juliol,21.7
1887,8,Agost,21.4
1887,9,Setembre,16.4
1887,10,Octubre,11.0
1887,11,Novembre,9.5
1887,12,Desembre,6.4
1888,1,Gener,7.6
1888,2,Febrer,5.4
1888,3,Març,8.7
1888,4,Abril,10.4
1888,5,Maig,15.0
1888,6,Juny,17.0
1888,7,Juliol,20.5
1888,8,Agost,21.2
1888,9,Setembre,19.0
1888,10,Octubre,14.9
1888,11,Novembre,12.5
1888,12,Desembre,10.4
1889,1,Gener,7.8
1889,2,Febrer,8.5
1889,3,Març,9.2
1889,4,Abril,11.9
1889,5,Maig,15.8
1889,6,Juny,19.9
1889,7,Juliol,22.1
1889,8,Agost,21.6
1889,9,Setembre,20.4
1889,10,Octubre,15.4
1889,11,Novembre,12.5
1889,12,Desembre,6.2
1890,1,Gener,9.4
1890,2,Febrer,8.4
1890,3,Març,9.2
1890,4,Abril,12.3
1890,5,Maig,15.3
1890,6,Juny,20.1
1890,7,Juliol,20.4
1890,8,Agost,21.8
1890,9,Setembre,18.8
1890,10,Octubre,14.6
1890,11,Novembre,9.9
1890,12,Desembre,6.3
1891,1,Gener,4.9
1891,2,Febrer,7.0
1891,3,Març,9.2
1891,4,Abril,10.7
1891,5,Maig,14.5
1891,6,Juny,19.1
1891,7,Juliol,22.3
1891,8,Agost,21.2
1891,9,Setembre,20.0
1891,10,Octubre,17.3
1891,11,Novembre,11.6
1891,12,Desembre,9.3
1892,1,Gener,7.7
1892,2,Febrer,8.7
1892,3,Març,8.6
1892,4,Abril,12.6
1892,5,Maig,15.9
1892,6,Juny,20.4
1892,7,Juliol,22.4
1892,8,Agost,22.0
1892,9,Setembre,19.8
1892,10,Octubre,14.2
1892,11,Novembre,11.8
1892,12,Desembre,6.3
1893,1,Gener,4.8
1893,2,Febrer,8.9
1893,3,Març,11.1
1893,4,Abril,13.6
1893,5,Maig,16.5
1893,6,Juny,19.1
1893,7,Juliol,22.4
1893,8,Agost,23.4
1893,9,Setembre,20.0
1893,10,Octubre,16.5
1893,11,Novembre,9.0
1893,12,Desembre,8.0
1894,1,Gener,6.2
1894,2,Febrer,8.6
1894,3,Març,9.4
1894,4,Abril,12.8
1894,5,Maig,15.0
1894,6,Juny,20.2
1894,7,Juliol,23.1
1894,8,Agost,22.2
1894,9,Setembre,19.3
1894,10,Octubre,16.1
1894,11,Novembre,12.3
1894,12,Desembre,8.0
1895,1,Gener,5.5
1895,2,Febrer,8.2
1895,3,Març,10.2
1895,4,Abril,13.7
1895,5,Maig,15.7
1895,6,Juny,19.7
1895,7,Juliol,23.4
1895,8,Agost,23.1
1895,9,Setembre,22.0
1895,10,Octubre,16.1
1895,11,Novembre,13.8
1895,12,Desembre,9.3
1896,1,Gener,7.5
1896,2,Febrer,8.8
1896,3,Març,11.8
1896,4,Abril,13.1
1896,5,Maig,15.8
1896,6,Juny,19.9
1896,7,Juliol,23.1
1896,8,Agost,20.2
1896,9,Setembre,20.2
1896,10,Octubre,14.0
1896,11,Novembre,8.9
1896,12,Desembre,8.2
1897,1,Gener,7.1
1897,2,Febrer,11.0
1897,3,Març,12.1
1897,4,Abril,14.1
1897,5,Maig,16.5
1897,6,Juny,22.0
1897,7,Juliol,24.6
1897,8,Agost,23.0
1897,9,Setembre,19.4
1897,10,Octubre,15.1
1897,11,Novembre,12.8
1897,12,Desembre,8.9
1898,1,Gener,9.1
1898,2,Febrer,9.5
1898,3,Març,9.2
1898,4,Abril,12.6
1898,5,Maig,15.4
1898,6,Juny,18.9
1898,7,Juliol,21.6
1898,8,Agost,21.6
1898,9,Setembre,21.2
1898,10,Octubre,16.4
1898,11,Novembre,11.9
1898,12,Desembre,8.7
1899,1,Gener,8.1
1899,2,Febrer,9.6
1899,3,Març,9.8
1899,4,Abril,12.9
1899,5,Maig,16.0
1899,6,Juny,18.8
1899,7,Juliol,22.4
1899,8,Agost,23.4
1899,9,Setembre,21.1
1899,10,Octubre,17.9
1899,11,Novembre,12.5
1899,12,Desembre,7.7
1900,1,Gener,8.0
1900,2,Febrer,10.5
1900,3,Març,8.8
1900,4,Abril,13.1
1900,5,Maig,16.3
1900,6,Juny,20.8
1900,7,Juliol,23.9
1900,8,Agost,22.1
1900,9,Setembre,21.3
1900,10,Octubre,16.6
1900,11,Novembre,10.9
1900,12,Desembre,9.7
1901,1,Gener,8.2
1901,2,Febrer,4.8
1901,3,Març,9.6
1901,4,Abril,12.5
1901,5,Maig,15.8
1901,6,Juny,20.7
1901,7,Juliol,22.4
1901,8,Agost,22.3
1901,9,Setembre,20.2
1901,10,Octubre,14.0
1901,11,Novembre,9.6
1901,12,Desembre,6.7
1902,1,Gener,7.6
1902,2,Febrer,8.7
1902,3,Març,11.1
1902,4,Abril,12.8
1902,5,Maig,13.2
1902,6,Juny,17.3
1902,7,Juliol,22.3
1902,8,Agost,21.3
1902,9,Setembre,18.7
1902,10,Octubre,14.5
1902,11,Novembre,10.9
1902,12,Desembre,7.6
1903,1,Gener,6.9
1903,2,Febrer,8.4
1903,3,Març,9.7
1903,4,Abril,11.1
1903,5,Maig,15.6
1903,6,Juny,18.7
1903,7,Juliol,21.9
1903,8,Agost,22.4
1903,9,Setembre,19.1
1903,10,Octubre,16.6
1903,11,Novembre,10.9
1903,12,Desembre,7.1
1904,1,Gener,6.6
1904,2,Febrer,9.0
1904,3,Març,9.1
1904,4,Abril,13.4
1904,5,Maig,17.2
1904,6,Juny,20.0
1904,7,Juliol,24.6
1904,8,Agost,23.7
1904,9,Setembre,19.2
1904,10,Octubre,15.7
1904,11,Novembre,10.5
1904,12,Desembre,8.8
1905,1,Gener,7.0
1905,2,Febrer,7.6
1905,3,Març,11.1
1905,4,Abril,13.8
1905,5,Maig,14.7
1905,6,Juny,19.9
1905,7,Juliol,23.9
1905,8,Agost,22.7
1905,9,Setembre,18.8
1905,10,Octubre,13.0
1905,11,Novembre,9.3
1905,12,Desembre,7.5
1906,1,Gener,8.2
1906,2,Febrer,7.2
1906,3,Març,8.8
1906,4,Abril,10.7
1906,5,Maig,15.3
1906,6,Juny,20.3
1906,7,Juliol,22.0
1906,8,Agost,23.7
1906,9,Setembre,19.8
1906,10,Octubre,16.3
1906,11,Novembre,11.6
1906,12,Desembre,7.4
1907,1,Gener,7.1
1907,2,Febrer,7.2
1907,3,Març,9.8
1907,4,Abril,11.7
1907,5,Maig,14.7
1907,6,Juny,18.5
1907,7,Juliol,20.4
1907,8,Agost,22.4
1907,9,Setembre,18.9
1907,10,Octubre,14.2
1907,11,Novembre,11.0
1907,12,Desembre,9.3
1908,1,Gener,7.4
1908,2,Febrer,7.9
1908,3,Març,8.2
1908,4,Abril,10.3
1908,5,Maig,17.0
1908,6,Juny,19.2
1908,7,Juliol,22.1
1908,8,Agost,22.0
1908,9,Setembre,19.2
1908,10,Octubre,15.8
1908,11,Novembre,11.7
1908,12,Desembre,8.6
1909,1,Gener,6.3
1909,2,Febrer,5.7
1909,3,Març,9.0
1909,4,Abril,12.3
1909,5,Maig,14.8
1909,6,Juny,17.4
1909,7,Juliol,20.4
1909,8,Agost,22.0
1909,9,Setembre,18.0
1909,10,Octubre,16.4
1909,11,Novembre,9.9
1909,12,Desembre,9.5
1910,1,Gener,7.8
1910,2,Febrer,8.9
1910,3,Març,9.5
1910,4,Abril,11.2
1910,5,Maig,13.4
1910,6,Juny,19.7
1910,7,Juliol,20.8
1910,8,Agost,21.8
1910,9,Setembre,18.4
1910,10,Octubre,15.8
1910,11,Novembre,12.1
1910,12,Desembre,9.7
1911,1,Gener,6.7
1911,2,Febrer,9.1
1911,3,Març,10.2
1911,4,Abril,12.0
1911,5,Maig,15.6
1911,6,Juny,19.1
1911,7,Juliol,24.3
1911,8,Agost,25.3
1911,9,Setembre,22.4
1911,10,Octubre,16.3
1911,11,Novembre,12.4
1911,12,Desembre,10.8
1912,1,Gener,9.4
1912,2,Febrer,10.7
1912,3,Març,12.7
1912,4,Abril,12.2
1912,5,Maig,16.8
1912,6,Juny,18.7
1912,7,Juliol,21.1
1912,8,Agost,20.6
1912,9,Setembre,17.0
1912,10,Octubre,14.0
1912,11,Novembre,10.0
1912,12,Desembre,8.7
1913,1,Gener,9.3
1913,2,Febrer,8.6
1913,3,Març,10.0
1913,4,Abril,10.1
1913,5,Maig,13.5
1913,6,Juny,16.2
1913,7,Juliol,21.1
1913,8,Agost,22.1
1913,9,Setembre,19.5
1913,10,Octubre,16.7
1913,11,Novembre,13.6
1913,12,Desembre,9.0
1914,1,Gener,4.9
1914,2,Febrer,10.2
1914,3,Març,11.3
1914,4,Abril,13.5
1914,5,Maig,14.5
1914,6,Juny,17.9
1914,7,Juliol,20.5
1914,8,Agost,21.2
1914,9,Setembre,20.7
1914,10,Octubre,14.9
1914,11,Novembre,10.4
1914,12,Desembre,9.0
1915,1,Gener,6.7
1915,2,Febrer,7.6
1915,3,Març,9.7
1915,4,Abril,10.8
1915,5,Maig,15.7
1915,6,Juny,19.7
1915,7,Juliol,21.8
1915,8,Agost,21.7
1915,9,Setembre,18.7
1915,10,Octubre,13.8
1915,11,Novembre,10.2
1915,12,Desembre,10.0
1916,1,Gener,9.1
1916,2,Febrer,7.9
1916,3,Març,9.4
1916,4,Abril,12.1
1916,5,Maig,16.6
1916,6,Juny,18.1
1916,7,Juliol,21.9
1916,8,Agost,23.6
1916,9,Setembre,18.1
1916,10,Octubre,15.8
1916,11,Novembre,11.5
1916,12,Desembre,9.1
1917,1,Gener,6.1
1917,2,Febrer,7.0
1917,3,Març,8.9
1917,4,Abril,10.5
1917,5,Maig,15.7
1917,6,Juny,20.2
1917,7,Juliol,22.4
1917,8,Agost,21.1
1917,9,Setembre,21.4
1917,10,Octubre,14.7
1917,11,Novembre,10.7
1917,12,Desembre,5.0
1918,1,Gener,7.7
1918,2,Febrer,9.0
1918,3,Març,9.2
1918,4,Abril,10.6
1918,5,Maig,16.0
1918,6,Juny,18.6
1918,7,Juliol,22.0
1918,8,Agost,22.4
1918,9,Setembre,20.9
1918,10,Octubre,13.0
1918,11,Novembre,11.1
1918,12,Desembre,10.3
1919,1,Gener,6.2
1919,2,Febrer,8.9
1919,3,Març,10.1
1919,4,Abril,11.4
1919,5,Maig,16.2
1919,6,Juny,20.4
1919,7,Juliol,20.1
1919,8,Agost,24.3
1919,9,Setembre,19.8
1919,10,Octubre,12.5
1919,11,Novembre,9.0
1919,12,Desembre,8.5
1920,1,Gener,9.0
1920,2,Febrer,9.9
1920,3,Març,11.0
1920,4,Abril,13.3
1920,5,Maig,18.9
1920,6,Juny,20.6
1920,7,Juliol,21.0
1920,8,Agost,21.3
1920,9,Setembre,19.4
1920,10,Octubre,15.6
1920,11,Novembre,11.0
1920,12,Desembre,7.6
1921,1,Gener,9.1
1921,2,Febrer,8.1
1921,3,Març,10.3
1921,4,Abril,11.5
1921,5,Maig,15.1
1921,6,Juny,20.4
1921,7,Juliol,24.4
1921,8,Agost,22.2
1921,9,Setembre,21.0
1921,10,Octubre,18.5
1921,11,Novembre,11.0
1921,12,Desembre,8.9
1922,1,Gener,7.7
1922,2,Febrer,9.8
1922,3,Març,10.4
1922,4,Abril,12.4
1922,5,Maig,19.1
1922,6,Juny,19.4
1922,7,Juliol,20.7
1922,8,Agost,22.8
1922,9,Setembre,17.7
1922,10,Octubre,15.0
1922,11,Novembre,9.8
1922,12,Desembre,7.5
1923,1,Gener,5.9
1923,2,Febrer,10.1
1923,3,Març,10.0
1923,4,Abril,11.3
1923,5,Maig,15.3
1923,6,Juny,17.6
1923,7,Juliol,23.6
1923,8,Agost,25.1
1923,9,Setembre,19.1
1923,10,Octubre,17.8
1923,11,Novembre,10.1
1923,12,Desembre,7.3
1924,1,Gener,8.1
1924,2,Febrer,5.6
1924,3,Març,10.9
1924,4,Abril,13.5
1924,5,Maig,18.0
1924,6,Juny,20.5
1924,7,Juliol,23.1
1924,8,Agost,20.5
1924,9,Setembre,19.8
1924,10,Octubre,15.7
1924,11,Novembre,12.2
1924,12,Desembre,8.9
1925,1,Gener,9.0
1925,2,Febrer,8.2
1925,3,Març,7.5
1925,4,Abril,12.0
1925,5,Maig,15.5
1925,6,Juny,21.1
1925,7,Juliol,21.3
1925,8,Agost,22.6
1925,9,Setembre,18.4
1925,10,Octubre,16.2
1925,11,Novembre,9.9
1925,12,Desembre,8.0
1926,1,Gener,8.5
1926,2,Febrer,11.6
1926,3,Març,12.0
1926,4,Abril,13.4
1926,5,Maig,14.2
1926,6,Juny,18.7
1926,7,Juliol,21.6
1926,8,Agost,22.8
1926,9,Setembre,22.1
1926,10,Octubre,17.1
1926,11,Novembre,11.5
1926,12,Desembre,7.0
1927,1,Gener,8.3
1927,2,Febrer,8.9
1927,3,Març,10.7
1927,4,Abril,14.4
1927,5,Maig,16.8
1927,6,Juny,19.9
1927,7,Juliol,22.6
1927,8,Agost,23.2
1927,9,Setembre,20.1
1927,10,Octubre,16.3
1927,11,Novembre,11.4
1927,12,Desembre,8.6
1928,1,Gener,7.8
1928,2,Febrer,10.2
1928,3,Març,10.3
1928,4,Abril,12.0
1928,5,Maig,14.7
1928,6,Juny,20.4
1928,7,Juliol,25.7
1928,8,Agost,25.4
1928,9,Setembre,21.7
1928,10,Octubre,16.5
1928,11,Novembre,11.5
1928,12,Desembre,7.7
1929,1,Gener,5.3
1929,2,Febrer,7.3
1929,3,Març,10.4
1929,4,Abril,11.9
1929,5,Maig,15.9
1929,6,Juny,21.4
1929,7,Juliol,24.3
1929,8,Agost,21.9
1929,9,Setembre,21.2
1929,10,Octubre,16.0
1929,11,Novembre,11.4
1929,12,Desembre,10.3
1930,1,Gener,9.0
1930,2,Febrer,6.3
1930,3,Març,11.0
1930,4,Abril,12.3
1930,5,Maig,15.7
1930,6,Juny,20.7
1930,7,Juliol,22.0
1930,8,Agost,22.5
1930,9,Setembre,21.1
1930,10,Octubre,17.1
1930,11,Novembre,13.9
1930,12,Desembre,9.1
1931,1,Gener,8.0
1931,2,Febrer,7.3
1931,3,Març,11.8
1931,4,Abril,12.7
1931,5,Maig,16.1
1931,6,Juny,22.7
1931,7,Juliol,22.7
1931,8,Agost,22.2
1931,9,Setembre,17.6
1931,10,Octubre,15.6
1931,11,Novembre,11.9
1931,12,Desembre,7.0
1932,1,Gener,8.8
1932,2,Febrer,5.0
1932,3,Març,10.1
1932,4,Abril,11.0
1932,5,Maig,15.2
1932,6,Juny,18.0
1932,7,Juliol,19.7
1932,8,Agost,23.6
1932,9,Setembre,20.8
1932,10,Octubre,15.5
1932,11,Novembre,12.2
1932,12,Desembre,10.0
1933,1,Gener,6.5
1933,2,Febrer,8.8
1933,3,Març,11.0
1933,4,Abril,14.3
1933,5,Maig,16.7
1933,6,Juny,16.7
1933,7,Juliol,23.6
1933,8,Agost,25.3
1933,9,Setembre,20.7
1933,10,Octubre,16.6
1933,11,Novembre,9.0
1933,12,Desembre,5.6
1934,1,Gener,6.9
1934,2,Febrer,8.2
1934,3,Març,9.9
1934,4,Abril,12.1
1934,5,Maig,18.7
1934,6,Juny,21.5
1934,7,Juliol,24.4
1934,8,Agost,21.4
1934,9,Setembre,21.1
1934,10,Octubre,16.9
1934,11,Novembre,8.9
1934,12,Desembre,10.9
1935,1,Gener,5.9
1935,2,Febrer,8.5
1935,3,Març,10.2
1935,4,Abril,13.0
1935,5,Maig,13.8
1935,6,Juny,21.1
1935,7,Juliol,24.2
1935,8,Agost,22.4
1935,9,Setembre,21.2
1935,10,Octubre,14.6
1935,11,Novembre,11.2
1935,12,Desembre,8.8
1936,1,Gener,10.5
1936,2,Febrer,9.6
1936,3,Març,10.7
1936,4,Abril,12.4
1936,5,Maig,14.9
1936,6,Juny,18.4
1936,7,Juliol,21.3
1936,8,Agost,22.7
1936,9,Setembre,20.8
1936,10,Octubre,13.7
1936,11,Novembre,11.1
1936,12,Desembre,7.5
1937,1,Gener,9.3
1937,2,Febrer,11.4
1937,3,Març,10.0
1937,4,Abril,13.2
1937,5,Maig,17.4
1937,6,Juny,20.9
1937,7,Juliol,23.4
1937,8,Agost,24.4
1937,9,Setembre,20.6
1937,10,Octubre,15.3
1937,11,Novembre,12.4
1937,12,Desembre,7.1
1938,1,Gener,8.1
1938,2,Febrer,7.8
1938,3,Març,12.4
1938,4,Abril,12.4
1938,5,Maig,14.3
1938,6,Juny,21.1
1938,7,Juliol,22.8
1938,8,Agost,22.3
1938,9,Setembre,19.3
1938,10,Octubre,16.5
1938,11,Novembre,13.5
1938,12,Desembre,8.1
1939,1,Gener,9.4
1939,2,Febrer,9.5
1939,3,Març,9.0
1939,4,Abril,12.7
1939,5,Maig,14.2
1939,6,Juny,18.4
1939,7,Juliol,21.6
1939,8,Agost,22.0
1939,9,Setembre,19.4
1939,10,Octubre,15.4
1939,11,Novembre,12.1
1939,12,Desembre,8.0
1940,1,Gener,6.8
1940,2,Febrer,10.2
1940,3,Març,12.1
1940,4,Abril,13.1
1940,5,Maig,16.3
1940,6,Juny,19.1
1940,7,Juliol,21.2
1940,8,Agost,22.1
1940,9,Setembre,20.1
1940,10,Octubre,14.5
1940,11,Novembre,11.4
1940,12,Desembre,5.9
1941,1,Gener,6.2
1941,2,Febrer,8.6
1941,3,Març,11.3
1941,4,Abril,11.9
1941,5,Maig,13.8
1941,6,Juny,19.8
1941,7,Juliol,23.1
1941,8,Agost,21.1
1941,9,Setembre,19.1
1941,10,Octubre,15.0
1941,11,Novembre,10.3
1941,12,Desembre,7.1
1942,1,Gener,6.1
1942,2,Febrer,5.7
1942,3,Març,11.7
1942,4,Abril,12.8
1942,5,Maig,16.5
1942,6,Juny,21.1
1942,7,Juliol,22.4
1942,8,Agost,21.9
1942,9,Setembre,20.4
1942,10,Octubre,18.2
1942,11,Novembre,10.8
1942,12,Desembre,8.7
1943,1,Gener,9.5
1943,2,Febrer,9.2
1943,3,Març,11.3
1943,4,Abril,14.3
1943,5,Maig,18.1
1943,6,Juny,21.7
1943,7,Juliol,23.2
1943,8,Agost,23.6
1943,9,Setembre,20.8
1943,10,Octubre,16.5
1943,11,Novembre,9.4
1943,12,Desembre,7.9
1944,1,Gener,9.5
1944,2,Febrer,5.8
1944,3,Març,9.4
1944,4,Abril,14.3
1944,5,Maig,17.0
1944,6,Juny,20.0
1944,7,Juliol,22.5
1944,8,Agost,24.3
1944,9,Setembre,20.0
1944,10,Octubre,13.6
1944,11,Novembre,11.5
1944,12,Desembre,7.3
1945,1,Gener,4.3
1945,2,Febrer,10.6
1945,3,Març,10.9
1945,4,Abril,15.3
1945,5,Maig,17.5
1945,6,Juny,22.3
1945,7,Juliol,24.1
1945,8,Agost,21.9
1945,9,Setembre,21.0
1945,10,Octubre,17.2
1945,11,Novembre,11.4
1945,12,Desembre,8.9
1946,1,Gener,6.6
1946,2,Febrer,9.6
1946,3,Març,9.4
1946,4,Abril,12.8
1946,5,Maig,15.0
1946,6,Juny,18.8
1946,7,Juliol,23.5
1946,8,Agost,22.4
1946,9,Setembre,21.4
1946,10,Octubre,16.7
1946,11,Novembre,10.9
1946,12,Desembre,6.5
1947,1,Gener,6.5
1947,2,Febrer,8.1
1947,3,Març,12.2
1947,4,Abril,14.5
1947,5,Maig,16.9
1947,6,Juny,22.3
1947,7,Juliol,25.1
1947,8,Agost,24.9
1947,9,Setembre,20.8
1947,10,Octubre,16.8
1947,11,Novembre,14.4
1947,12,Desembre,7.5
1948,1,Gener,9.4
1948,2,Febrer,9.1
1948,3,Març,13.1
1948,4,Abril,13.4
1948,5,Maig,16.3
1948,6,Juny,20.3
1948,7,Juliol,21.0
1948,8,Agost,23.4
1948,9,Setembre,20.3
1948,10,Octubre,16.6
1948,11,Novembre,14.0
1948,12,Desembre,10.3
1949,1,Gener,8.6
1949,2,Febrer,10.4
1949,3,Març,9.7
1949,4,Abril,15.1
1949,5,Maig,14.8
1949,6,Juny,20.9
1949,7,Juliol,25.6
1949,8,Agost,24.0
1949,9,Setembre,22.6
1949,10,Octubre,17.7
1949,11,Novembre,11.7
1949,12,Desembre,9.1
1950,1,Gener,8.4
1950,2,Febrer,10.1
1950,3,Març,11.4
1950,4,Abril,11.5
1950,5,Maig,16.6
1950,6,Juny,22.2
1950,7,Juliol,25.6
1950,8,Agost,22.9
1950,9,Setembre,20.6
1950,10,Octubre,17.1
1950,11,Novembre,13.1
1950,12,Desembre,5.9
1951,1,Gener,8.1
1951,2,Febrer,8.2
1951,3,Març,9.9
1951,4,Abril,11.5
1951,5,Maig,14.2
1951,6,Juny,20.1
1951,7,Juliol,22.6
1951,8,Agost,21.6
1951,9,Setembre,20.1
1951,10,Octubre,14.4
1951,11,Novembre,11.6
1951,12,Desembre,9.5
1952,1,Gener,5.7
1952,2,Febrer,7.6
1952,3,Març,12.3
1952,4,Abril,13.5
1952,5,Maig,17.8
1952,6,Juny,22.5
1952,7,Juliol,24.3
1952,8,Agost,23.6
1952,9,Setembre,18.7
1952,10,Octubre,16.6
