id_registroPeatones,calle,numPeatones,fechaHora,distrito,codigoPostal,observacionesDireccion,latitud,longitud
PERM_PEA02_PM012021-01-01T00:00Z,calle de Fuencarral,110,2021-01-01T00:00:00Z,Centro,28004,Calle_Peatonal ,40.42200905,-3.700891722
PERM_PEA03_PM012021-01-01T00:00Z,San Bernardo street,111,2021-01-01T00:00:00Z,Centro,28015,Acera_Pares,40.42380314,-3.707379398
PERM_PEA04_PM012021-01-01T00:00Z,calle de Hortaleza,15,2021-01-01T00:00:00Z,Centro,28004,Acera_Pares,40.42107227,-3.70049043
PERM_PEA05_PM012021-01-01T00:00Z,Carrera de San Jerónimo,44,2021-01-01T00:00:00Z,Centro,28014,Acera_Pares,40.41664098,-3.701246554
PERM_PEA06_PM012021-01-01T00:00Z,Calle de Atocha,49,2021-01-01T00:00:00Z,Centro,28012,Acera_Impares,40.41110888,-3.696471467
PERM_PEA07_PM012021-01-01T00:00Z,Calle Mayor,26,2021-01-01T00:00:00Z,Centro,28013,Acera_Impares,40.41637598,-3.706029098
PERM_PEA08_PM012021-01-01T00:00Z,Gran Vía,32,2021-01-01T00:00:00Z,Centro,28013,Acera_Pares,40.4202703,-3.704325575
PERM_PEA08_PM022021-01-01T00:00Z,Gran Vía,95,2021-01-01T00:00:00Z,Centro,28013,Acera_Impares,40.42015321,-3.70435898
PERM_PEA09_PM012021-01-01T00:00Z,Paseo de Recoletos,23,2021-01-01T00:00:00Z,Centro,28001,Acera_Pares,40.41990798,-3.692363251
PERM_PEA10_PM012021-01-01T00:00Z,calle de Génova,46,2021-01-01T00:00:00Z,Chamberí,28004,Acera_Pares,40.42695341,-3.69448847
PERM_PEA11_PM012021-01-01T00:00Z,"Calle de las Huertas, Madrid",11,2021-01-01T00:00:00Z,Centro,28014,Calle_Peatonal ,40.41338702,-3.697740186
PERM_PEA12_PM012021-01-01T00:00Z,Madrid Río,21,2021-01-01T00:00:00Z,Latina,28011,Calle_Peatonal ,40.41373441,-3.723947718
PERM_PEA13_PM012021-01-01T00:00Z,Princesa,223,2021-01-01T00:00:00Z,Moncloa-Aravaca,28008,Acera_Impares,40.42479893,-3.712094845
PERM_PEA14_PM012021-01-01T00:00Z,Calle de Alberto Aguilera,77,2021-01-01T00:00:00Z,Chamberí,28015,Acera_Pares,40.43046926,-3.713297939
PERM_PEA15_PM012021-01-01T00:00Z,Calle de Toledo,505,2021-01-01T00:00:00Z,Centro,28005,Acera_Impares,40.41289138,-3.707464267
PERM_PEA16_PM012021-01-01T00:00Z,Plaza del Emperador Carlos V,30,2021-01-01T00:00:00Z,Arganzuela,28012,Acera_Impares,40.409118,-3.692441
PERM_PEA17_PM012021-01-01T00:00Z,Ronda de Valencia,96,2021-01-01T00:00:00Z,Arganzuela,28012,Acera_Pares,40.405367,-3.701798
PERM_PEA18_PM012021-01-01T00:00Z,Alcalá Street,221,2021-01-01T00:00:00Z,Centro,28014,Acera_Pares,40.418256,-3.697732
