name,value
,80
,4580
,57
,828
,442
,65
,62
,371
,60
,102
,3054
,86
,5243
,73
,13027
,82
,77
,1265
,2278
,75
,5033
,74
,1936
,93
,926
,79
,4931
,73
,1220
,71
,3036
,78
,522
,73
,1050
,44
,4633
,93
,12905
,62
,74
,724
,17413
,55
,2544
,72
,76
,993
,55
,525
,26
,1408
,10353
,50
,5029
,81
,1434
,87
,3271
,85
,6228
,99
,4056
,68
,3279
,96
,36
,21
,1151
,20
,3605
,77
,7567
,74
,2657
,67
,16803
,56
,1458
,57
,1657
,41
,579
,64
,2654
,69
,59
,2353
,60
,934
,32
,639
,96
,74
,3429
,4297
,73
,889
,71
,92
,2072
,97
,317
,703
,81
,77
,1229
,2180
,74
,22665
,62
,79
,1308
,75
,1476
,2427
,78
,35
,1675
,3281
,43
,68
,1399
,44
,5253
,48
,7178
,1008
,58
,604
,77
,2785
,58
,37
,786
,586
,57
,313
,51
,4484
,64
,4425
,51
,4764
,78
,32
,1441
,22526
,45
,55
,2241
,12
,3830
,276
,49
,2640
,48
,3967
,77
,64
,3267
,84
,2890
,41
,6654
,62
,1098
,66
,4948
,1755
,69
,5370
,53
,61
,1834
,64
,733
,10435
,72
,63
,2598
,4675
,35
,440
,40
,2944
,95
,33
,427
,1970
,72
,9281
,81
,78
,1691
,87
,3286
,48
,4986
,74
,4024
,70
,13432
,1016
,58
,4537
,66
,66
,1089
,70
,5035
,2057
,80
,798
,69
,7
,2043
,63
,12143
,25
,4813
,64
,6054
,70
,8092
,998
,29
,65
,1574
,5937
,48
,59
,524
,74
,668
,50
,2285
,366
,54
,41
,1225
,1132
,14
,7560
,34
,2486
,65
,66
,4809
,23
,290
,75
,674
,2158
,71
,67
,1135
,556
,86
,3328
,75
,1639
,81
,5394
,46
,237
,52
,7699
,86
,10167
,58
,67
,1525
,48
,3323
,7652
,82
,3846
,74
,78
,2255
,59
,5735
,3145
,56
,91
,1874
,57
,644
,69
,21803
,56
,619
,61
,2256
,68
,1136
,34
,937
,1972
