uniname,longitude,latitude,score
Amherst College,-72.518493,42.372459,1
Swarthmore College,-75.35163882399996,39.90598596400002,1
Williams College,-73.20307080999999,42.71277290300003,1
Yale University,-72.92251113799995,41.31230825600005,1
California Institute Of Technology,-118.12556744999996,34.13918093800004,1
Harvard University,-71.11823410699998,42.37417201800008,1
Stanford University,-122.17504506299996,37.43297380200005,1
Princeton University,-74.65769781299997,40.34714142100006,1
