TRAM,Measurement,Unit,X_Coordinate,Y_Coordinate
T04719W,25-30,µg/m³,430229.78859372,4586585.19905775
T19941Z,25-30,µg/m³,432928.8982969,4584019.98762825
T18111R,20-25,µg/m³,429953.2631029,4588161.44067207
T03222Y,20-25,µg/m³,427949.03825066,4580946.04271488
T17625I,25-30,µg/m³,433950.18894352,4585741.2135567
T05360P,25-30,µg/m³,429464.3388938,4587309.38903711
T08863T,20-25,µg/m³,431912.28070875,4585068.50690914
T00236S,20-25,µg/m³,432088.26646738,4581318.69686538
T13009A,20-25,µg/m³,431196.39267307,4590356.60070978
T11921P,20-25,µg/m³,431707.96998503,4588314.79661459
T16868V,20-25,µg/m³,425186.40687567,4582382.67194377
T02762R,25-30,µg/m³,427415.05281392,4580601.77124443
T04571U,25-30,µg/m³,430796.55124657,4586159.17308486
T08170X,20-25,µg/m³,429328.29324906,4583429.7330233
T07536D,20-25,µg/m³,425114.6854637,4582343.08242874
T01076Y,25-30,µg/m³,430939.5854978,4581293.19552835
T21401B,20-25,µg/m³,433802.05620775,4587521.50550454
T20087H,25-30,µg/m³,431585.75573764,4590021.62123254
T00497L,25-30,µg/m³,431563.47913537,4581908.16574429
T02457L,20-25,µg/m³,428504.1345121,4581921.23299137
T10161V,20-25,µg/m³,432416.79346505,4583093.85509431
T20348J,25-30,µg/m³,428557.01870485,4579696.60016419
T07895X,20-25,µg/m³,429558.05711169,4583890.96197495
T08413X,20-25,µg/m³,429632.40532654,4584429.90422524
T15540W,20-25,µg/m³,429279.49359735,4583485.45247935
T06230K,20-25,µg/m³,432069.06773963,4587416.91245703
T02118V,25-30,µg/m³,430976.59719502,4583219.25418878
T08980X,25-30,µg/m³,431566.5111003,4584533.03571601
T14659G,25-30,µg/m³,430579.18936552,4581085.97994126
T19836Z,25-30,µg/m³,427635.82729641,4585095.76243504
T01784T,25-30,µg/m³,428692.91887532,4581535.73696442
T11818R,15-20,µg/m³,425014.78945668,4586712.08495735
T18426H,25-30,µg/m³,432450.80953706,4581254.20002004
T02648Q,25-30,µg/m³,431035.12156707,4583650.7254011
T02391K,20-25,µg/m³,430214.49901246,4580718.96714177
T08305U,20-25,µg/m³,430297.87377216,4584221.89384731
T03284M,20-25,µg/m³,428567.02012471,4580935.68099981
T15812B,25-30,µg/m³,430338.8386549,4580119.79427806
T08289L,20-25,µg/m³,430171.61755947,4584219.58280284
T09386P,25-30,µg/m³,433092.39962731,4584687.59040448
T09155C,25-30,µg/m³,433175.99984168,4583647.16319104
T06296C,20-25,µg/m³,432004.92291441,4587321.08779045
