TRAM,Measurement,Unit,X_Coordinate,Y_Coordinate
T03163E,25-30,µg/m³,427756.59765979,4581039.06132158
T09255F,25-30,µg/m³,433650.67113535,4584115.73831237
T08817N,25-30,µg/m³,432505.13562522,4584543.26162894
T10101J,20-25,µg/m³,433315.7027647,4583214.22547362
T08632G,25-30,µg/m³,428092.92771969,4585321.36230175
T09652O,25-30,µg/m³,432937.94222963,4585324.23954753
T03020Q,25-30,µg/m³,428323.24930029,4580086.0415431
T12919Z,25-30,µg/m³,432242.62240117,4589183.62493697
T00954P,25-30,µg/m³,430819.93502398,4581650.0509815
T17527H,25-30,µg/m³,432128.06477918,4587937.92583663
T16362A,25-30,µg/m³,431792.92523402,4586746.48748116
T11026T,20-25,µg/m³,427367.39975591,4583895.79965747
T01155W,25-30,µg/m³,430358.72664769,4581168.08773768
T17230T,25-30,µg/m³,430327.10133958,4580475.72691461
T01946T,20-25,µg/m³,429027.19777475,4582244.45250732
T07889Z,20-25,µg/m³,429171.45065618,4583778.1557462
T10349F,25-30,µg/m³,429103.0384604,4583240.2494492
T04856E,20-25,µg/m³,429364.13245307,4586214.97505384
T01430W,20-25,µg/m³,430400.75108616,4581612.06309909
T17265E,25-30,µg/m³,431732.54721775,4581753.02822615
T02561K,25-30,µg/m³,430807.01065325,4584365.61321081
T04729Y,25-30,µg/m³,430025.23940229,4586733.75885158
T01633F,25-30,µg/m³,431354.99166327,4581098.73308266
T17606F,20-25,µg/m³,432760.25086184,4586500.20876817
T09207X,25-30,µg/m³,433149.29582869,4583913.83579903
T12907V,20-25,µg/m³,431421.13280848,4589273.56930215
T04597E,25-30,µg/m³,430581.98243973,4586096.43760841
T08203P,20-25,µg/m³,429990.44438392,4583444.55100721
T06595K,25-30,µg/m³,433817.95636316,4587802.53682858
T01915M,25-30,µg/m³,429878.55273827,4582330.1471624
T08416A,25-30,µg/m³,429138.42633221,4584925.41573497
T12083G,20-25,µg/m³,431695.98968086,4586561.18191952
T13003U,20-25,µg/m³,431452.87607822,4590357.38976703
T19295S,20-25,µg/m³,425914.20300779,4583041.39941533
T11305X,20-25,µg/m³,427973.47566612,4584154.93343738
T02656Q,25-30,µg/m³,431554.36295654,4583596.46938798
T01496O,25-30,µg/m³,431117.04502754,4581590.01063879
T14865K,25-30,µg/m³,427885.50822362,4577791.03630467
T18074D,25-30,µg/m³,430577.59317107,4587382.75369501
T09798F,25-30,µg/m³,434251.65465866,4585642.50511923
T15984U,25-30,µg/m³,426318.78413821,4583952.63390436
T05334N,25-30,µg/m³,429778.20295893,4587385.9807711
T15621W,20-25,µg/m³,431714.68751446,4581664.09922515
T17971X,20-25,µg/m³,428184.69797264,4586789.14494683
T01863R,25-30,µg/m³,429734.46102391,4582002.20075753
T10276F,20-25,µg/m³,433730.02483485,4586431.48732092
T21256K,25-30,µg/m³,428582.33185085,4580237.81880802
T09532H,25-30,µg/m³,432868.49245763,4585104.79173004
T05538X,15-20,µg/m³,427675.21360965,4587109.67033427
T19562S,20-25,µg/m³,432089.27559324,4587657.40768568
T03360H,20-25,µg/m³,426909.79443254,4580917.93757479
T03707O,20-25,µg/m³,430672.73463488,4580707.41465124
T02977E,25-30,µg/m³,428022.64526425,4580274.07711875
T13859I,15-20,µg/m³,424459.86452444,4585647.24349368
T12035Y,20-25,µg/m³,431753.90249733,4588504.91656749
RD0129Y,30-35,µg/m³,427444.69007053,4585104.51411938
T08313U,20-25,µg/m³,430341.30387285,4584357.70972385
T02155A,20-25,µg/m³,428794.93196791,4582580.24578732
T07338Z,20-25,µg/m³,427638.41739613,4581818.69341937
T20016S,25-30,µg/m³,429488.71456586,4580411.8841865
T01346B,20-25,µg/m³,430145.22949865,4581323.50859552
T20218A,30-35,µg/m³,426600.53084751,4582089.73573188
T09490O,25-30,µg/m³,433899.22530104,4585007.44378604
T04836A,20-25,µg/m³,429502.04735733,4586174.1259388
T03700H,20-25,µg/m³,430754.02660067,4580422.98259783
T16869W,20-25,µg/m³,425186.40687567,4582382.67194377
T12574U,20-25,µg/m³,430336.91991855,4587398.71354283
T05832A,25-30,µg/m³,432144.70193707,4585843.20537796
T04793G,25-30,µg/m³,429517.76478647,4586227.61390472
T06025H,20-25,µg/m³,432213.08167699,4587115.29288772
T17868Z,25-30,µg/m³,430422.86786846,4584997.50507202
T20171C,25-30,µg/m³,430666.46043389,4581472.05687172
T05043F,25-30,µg/m³,429974.16362507,4585056.6945699
T20906R,25-30,µg/m³,432306.52576633,4582234.98661717
T08793W,25-30,µg/m³,432402.72749748,4584678.62760884
T21272K,20-25,µg/m³,433518.62378947,4587655.86986252
T20352F,20-25,µg/m³,426300.14721546,4581804.32257847
T07990V,20-25,µg/m³,429680.82388645,4584362.22275429
T01527E,20-25,µg/m³,431385.17056064,4581605.59563153
T18597Z,20-25,µg/m³,427902.69990994,4584332.96124656
T02171A,25-30,µg/m³,429363.67479897,4582574.10345115
T10206R,20-25,µg/m³,432655.34075635,4582952.27707245
T00885T,25-30,µg/m³,430967.01751836,4582079.91652474
T20930R,25-30,µg/m³,426146.49912508,4583930.8740066
T05082M,20-25,µg/m³,429345.42630637,4586331.53438252
T02838U,25-30,µg/m³,427696.65735027,4580219.83151323
T12098N,25-30,µg/m³,431632.7316817,4586838.29483992
T02407B,25-30,µg/m³,429078.75237774,4580733.53179803
T01783S,25-30,µg/m³,428782.79731726,4581444.01414015
T01530Z,20-25,µg/m³,431267.26461879,4581637.24457318
T10897C,20-25,µg/m³,426222.73379389,4583213.44833011
T20369O,25-30,µg/m³,432646.67477554,4584665.79674367
T19184M,30-35,µg/m³,431851.77542071,4586627.09084551
T19376S,25-30,µg/m³,433513.20700036,4584257.23656758
T18622J,20-25,µg/m³,427075.71140146,4583777.16269742
T00271V,25-30,µg/m³,431749.28912763,4581606.15087422
T10470F,20-25,µg/m³,428497.15973656,4583268.24410246
T09103Q,25-30,µg/m³,432280.19744103,4583512.92176666
T08860Q,20-25,µg/m³,431932.587991,4585101.47680529
T10372E,20-25,µg/m³,428927.22484396,4583326.43891826
T10680N,20-25,µg/m³,427282.72015585,4583307.76240566
T20427H,20-25,µg/m³,432398.99858818,4588253.18828403
T19924Y,20-25,µg/m³,430692.43561056,4585040.24209649
T10740I,20-25,µg/m³,426595.23255013,4583236.83253033
T07261V,20-25,µg/m³,427506.98222378,4582217.82203165
T18813O,20-25,µg/m³,426155.99739507,4583042.91457708
T12205Y,20-25,µg/m³,431071.14551277,4587062.77644865
T20069F,25-30,µg/m³,428102.85279002,4584276.35863676
T00389I,20-25,µg/m³,431390.78701759,4581401.3582759
T07531Y,20-25,µg/m³,425169.67288496,4582387.3250783
T16582K,25-30,µg/m³,430987.60687599,4581333.19122585
T17601A,25-30,µg/m³,433747.81403868,4583294.38232554
T13813U,15-20,µg/m³,423930.73111057,4586626.04907707
T15618B,25-30,µg/m³,432341.34195149,4581199.34876492
T09280G,25-30,µg/m³,433418.86830731,4583790.75757178
T03795E,25-30,µg/m³,427756.84848926,4578907.5120215
T05113C,20-25,µg/m³,429729.36599967,4586476.77369258
T15784O,25-30,µg/m³,431033.15668586,4583272.29984119
T17159D,20-25,µg/m³,432843.27182317,4585421.87041973
T06081P,20-25,µg/m³,432177.27646739,4586698.90449635
T21146F,25-30,µg/m³,428948.23615911,4584284.14321271
T04168N,25-30,µg/m³,424955.56888825,4576492.7865204
T06928L,25-30,µg/m³,432351.38477221,4589210.31515513
T17200N,20-25,µg/m³,434658.74828937,4584984.19600631
T14863I,25-30,µg/m³,431342.18923384,4581308.08750099
T04920V,25-30,µg/m³,429359.06782177,4585868.32953777
T10196G,20-25,µg/m³,432406.11405087,4582515.35929192
T09663R,25-30,µg/m³,433086.70338239,4585842.42124991
T05506P,20-25,µg/m³,428378.77692416,4587007.11281661
T03213X,25-30,µg/m³,428001.87466015,4580857.51117672
T11178I,20-25,µg/m³,428106.85877938,4584142.62740323
T02194H,25-30,µg/m³,429555.14852193,4582761.92028087
T12009W,20-25,µg/m³,431804.44399896,4588824.56368979
T03411B,25-30,µg/m³,427122.13410003,4580435.47721479
T16202L,20-25,µg/m³,428785.21064728,4586887.39253293
T21163G,25-30,µg/m³,432299.16321501,4589411.20886702
T20976F,30-35,µg/m³,429653.71581791,4587905.48404752
T18547P,25-30,µg/m³,430999.31464395,4581695.10569157
T05001V,25-30,µg/m³,428562.47920537,4585949.96173243
T00887V,25-30,µg/m³,431018.1072042,4582028.18005869
RL0028B,25-30,µg/m³,431038.43082971,4580305.10962079
T01825L,20-25,µg/m³,428598.87992278,4581824.40012231
T10879A,20-25,µg/m³,425883.60256541,4583252.77997199
T12228F,20-25,µg/m³,430782.18981534,4586765.64316245
T01146V,25-30,µg/m³,430480.07686112,4580908.15341948
T09084E,30-35,µg/m³,432033.60738129,4584080.95349614
RD0103Y,25-30,µg/m³,425425.31835245,4582450.00635984
T11932S,20-25,µg/m³,431730.79828836,4588350.14749764
T07510T,25-30,µg/m³,425711.59247157,4582353.64190202
T07958V,20-25,µg/m³,429632.4887059,4583953.96050397
T05306J,20-25,µg/m³,429361.99186547,4586534.11358002
T08647N,20-25,µg/m³,428331.31234962,4585752.14117606
T13627U,25-30,µg/m³,429642.33560275,4586574.22351057
T07336X,20-25,µg/m³,427443.28555802,4581748.04579525
T05251L,25-30,µg/m³,429967.69645791,4587149.09795207
T06673H,25-30,µg/m³,433496.58688102,4587804.32126413
T09839X,25-30,µg/m³,434234.81157121,4585238.33160201
T00099B,25-30,µg/m³,432327.43790052,4581195.46386427
T09574R,25-30,µg/m³,433177.31593596,4585368.90480837
T19280L,30-35,µg/m³,429450.44689032,4581910.58277748
T20933U,20-25,µg/m³,427893.63786171,4583670.7723089
T15832F,15-20,µg/m³,423930.77254727,4586287.69754096
T21310Z,25-30,µg/m³,426805.25548767,4583975.38105856
T14932E,20-25,µg/m³,428081.189082,4579579.15759884
T20053X,25-30,µg/m³,428017.6213931,4585557.9522539
T20295N,20-25,µg/m³,428272.50348718,4583807.37663284
T19850X,20-25,µg/m³,433577.53093409,4587399.15601029
T11101N,20-25,µg/m³,428323.35978598,4583704.78208972
T12601G,25-30,µg/m³,430428.71306844,4587399.69784932
T00461Z,25-30,µg/m³,431695.30598214,4581729.59247232
T20494S,25-30,µg/m³,430780.63057438,4586602.04991313
T12218D,20-25,µg/m³,430973.91032296,4587057.59817654
T09928X,20-25,µg/m³,434442.80929193,4585028.04670598
T07139U,25-30,µg/m³,427138.46850846,4581935.33540185
T04471R,20-25,µg/m³,430698.03512108,4585502.00077765
T13774E,15-20,µg/m³,423190.16551359,4586039.85378494
T11566Q,25-30,µg/m³,426679.09687361,4584183.55633618
T03232A,25-30,µg/m³,427834.53342618,4581255.90706269
T15677M,25-30,µg/m³,430948.79269677,4581712.34410068
T11702G,15-20,µg/m³,425316.43144414,4585195.94225498
T03860W,25-30,µg/m³,428503.69786837,4579992.53202698
T20748V,25-30,µg/m³,432037.02411662,4584439.7960143
T04551Q,25-30,µg/m³,430702.82892912,4586004.25954627
T03494U,25-30,µg/m³,429589.01999567,4580579.89168259
T15587L,25-30,µg/m³,431640.95471378,4581705.32684682
T19635S,25-30,µg/m³,432318.66164114,4580899.77247586
T05428S,20-25,µg/m³,429483.04990552,4587967.24394039
T15942K,20-25,µg/m³,426630.96141305,4581894.56120035
T17274F,20-25,µg/m³,426707.2742906,4582521.42158221
T14732Y,25-30,µg/m³,430756.53456722,4583444.42919708
T02049Z,25-30,µg/m³,431086.88058958,4582722.66159779
T15841G,25-30,µg/m³,429879.13053046,4580723.30369774
T02306X,25-30,µg/m³,431636.08408344,4583070.57196933
T02035T,25-30,µg/m³,430405.67490624,4583034.43823088
T01520X,20-25,µg/m³,431221.93947653,4581627.74790198
T04706R,25-30,µg/m³,430166.68487108,4586766.82282811
T00916J,25-30,µg/m³,430978.72986855,4581860.4471005
T07458G,25-30,µg/m³,427705.52347406,4581683.59770144
T05373U,25-30,µg/m³,430093.31274614,4587557.71264726
T12613K,20-25,µg/m³,430520.97853409,4587310.23600822
T15693M,25-30,µg/m³,430964.12690047,4581341.19741601
T09528L,25-30,µg/m³,432808.20740127,4584978.17499454
T12832T,20-25,µg/m³,430937.30803801,4588875.35933877
T01919Q,25-30,µg/m³,429457.60920675,4582477.1265886
T11631I,20-25,µg/m³,426124.70601215,4584446.89595889
T12708Q,20-25,µg/m³,431408.94425623,4588411.74603275
T07803D,20-25,µg/m³,429408.53195566,4583769.34692846
T05576D,20-25,µg/m³,428096.50589912,4586401.29200022
T12041W,20-25,µg/m³,431580.20451409,4588014.88710712
T09786B,25-30,µg/m³,434236.41152798,4585628.34321195
T18057C,25-30,µg/m³,428633.43029196,4579231.26886299
T01504X,25-30,µg/m³,431061.10252206,4581534.87597813
T00474E,25-30,µg/m³,431724.75207133,4581735.34225809
T09248G,25-30,µg/m³,433598.72316841,4583867.62132784
T06754H,25-30,µg/m³,433428.23520467,4588124.67528783
T10174A,25-30,µg/m³,432113.17883372,4582809.33995889
T02771S,25-30,µg/m³,427415.05281392,4580601.77124443
T12048D,20-25,µg/m³,431600.26050864,4588142.0221567
T04539U,25-30,µg/m³,431390.03072173,4585968.62128877
T18085G,20-25,µg/m³,430920.57611773,4587569.55539513
T01204O,20-25,µg/m³,430841.44526744,4580756.29444785
T19522K,20-25,µg/m³,432609.48742594,4586209.30344556
T21420E,20-25,µg/m³,433693.99246686,4587577.65041132
T09685X,20-25,µg/m³,433411.62091077,4585846.17879793
T12690X,20-25,µg/m³,431119.73042504,4588229.31293425
T16126Q,25-30,µg/m³,431470.73912027,4585608.46010171
T07804E,20-25,µg/m³,429512.29571343,4583716.41705845
T05955K,25-30,µg/m³,432459.61791401,4586304.25773096
T18024T,20-25,µg/m³,427846.74635193,4586380.2158679
T16945R,20-25,µg/m³,426446.19871743,4583684.24334835
T01457H,25-30,µg/m³,430907.88319187,4581522.62512012
T18328G,25-30,µg/m³,433748.14244575,4584399.78300674
T06005D,20-25,µg/m³,431974.31020379,4586969.5334633
T17081Y,20-25,µg/m³,430599.07832176,4586869.99871515
T09911O,25-30,µg/m³,434722.62929598,4584972.19450497
T15736G,25-30,µg/m³,430705.92363191,4581095.20499511
T02868A,25-30,µg/m³,427681.73603451,4580313.04377075
T04934B,20-25,µg/m³,429458.49070297,4585700.13851153
T10394K,20-25,µg/m³,428831.64034319,4583016.89617419
T05481X,30-35,µg/m³,428203.58061286,4585945.2324572
T18676X,20-25,µg/m³,424126.1404195,4586626.47658944
RD0061I,>40,µg/m³,428219.03898975,4585975.30320361
T00788T,25-30,µg/m³,431362.06043216,4582119.76659354
T20492Q,20-25,µg/m³,431065.13081069,4585914.58666094
T20337G,20-25,µg/m³,429729.36599967,4586476.77369258
T12200T,20-25,µg/m³,431070.99896373,4586990.30633432
T03033V,25-30,µg/m³,428112.2874737,4580019.90804453
T20896G,25-30,µg/m³,428622.16637197,4579244.09696847
T08204Q,25-30,µg/m³,430034.55280937,4583491.54274291
T12384Q,20-25,µg/m³,431056.03182515,4588031.21010254
T03015T,20-25,µg/m³,428238.29054643,4580003.92806202
T11053W,25-30,µg/m³,427705.68970449,4583556.84756603
T15969V,20-25,µg/m³,427676.13797293,4584519.00825399
T18594W,20-25,µg/m³,427889.19130875,4584388.1664332
T20646Q,25-30,µg/m³,427516.96111359,4577059.22295887
T08871T,20-25,µg/m³,431699.26967976,4585107.85358016
T03215Z,20-25,µg/m³,428062.66915696,4580778.86759326
T03245F,20-25,µg/m³,427760.4054575,4581406.83085862
T20918V,20-25,µg/m³,434264.64923183,4583478.4046953
T08813J,25-30,µg/m³,432541.48173578,4584419.00216557
T00343U,20-25,µg/m³,431407.28405889,4581271.80695217
T08182B,20-25,µg/m³,429952.64958533,4583478.69934664
T00778R,25-30,µg/m³,431264.21023444,4582113.6563253
T12223A,25-30,µg/m³,430854.87248741,4587103.66615114
T12281K,25-30,µg/m³,430476.42248297,4586784.31250697
T17542G,25-30,µg/m³,433043.66872718,4584447.70040936
T02864W,25-30,µg/m³,427580.19194071,4580321.31855556
T15646F,25-30,µg/m³,428327.09223848,4578231.31663696
T12090F,20-25,µg/m³,431551.58791434,4586753.53931909
T01677R,25-30,µg/m³,429261.48479937,4581147.08304434
T09190F,20-25,µg/m³,433110.30133903,4583857.34400818
T03151A,25-30,µg/m³,427471.07154797,4581345.89796551
T17834P,20-25,µg/m³,432058.29462942,4581214.47793231
T03723O,25-30,µg/m³,430754.02660067,4580422.98259783
T08168D,20-25,µg/m³,429324.02565531,4583352.51293838
T12346K,20-25,µg/m³,431318.99889811,4587855.04383161
T01835N,20-25,µg/m³,428883.49205408,4581915.53409716
T11501Z,25-30,µg/m³,426401.99477602,4583437.73230842
T12814R,20-25,µg/m³,431115.66189051,4588819.34889909
T17972Y,20-25,µg/m³,428234.99746314,4586843.6186507
T19974I,20-25,µg/m³,429439.70461947,4587014.07675423
T01715G,25-30,µg/m³,428880.20237672,4580773.63936927
T09923S,25-30,µg/m³,434606.946275,4584861.31221153
T04209F,25-30,µg/m³,430791.13058226,4584753.72291739
T11285K,20-25,µg/m³,427506.99838846,4584213.61907808
T17220R,25-30,µg/m³,430574.68955602,4580717.03140903
T08464I,25-30,µg/m³,429523.01914698,4584691.39645328
T01205P,20-25,µg/m³,430868.11190162,4580834.35336571
T03190H,25-30,µg/m³,427895.61454003,4580995.02219658
T19683A,20-25,µg/m³,430509.12255971,4583888.14274307
T06047N,20-25,µg/m³,432184.18415596,4586656.38037636
T11429I,25-30,µg/m³,428096.51281658,4584544.15009125
T17536I,25-30,µg/m³,431394.95002871,4584952.6236484
T20265H,25-30,µg/m³,432359.20133893,4585984.66898096
T20273H,20-25,µg/m³,433387.64899122,4587709.13093824
T00108L,25-30,µg/m³,432243.52033444,4581269.64261397
T00378F,20-25,µg/m³,431421.37259663,4581471.34915153
T09142X,25-30,µg/m³,432415.84913215,4584233.65483511
T07579O,15-20,µg/m³,424930.02472234,4582151.4445391
T03658W,25-30,µg/m³,430130.46281719,4580578.5805649
T02834Q,20-25,µg/m³,427800.35961941,4580234.2357471
T01104L,25-30,µg/m³,430988.45097688,4581214.6710377
T09560L,25-30,µg/m³,433081.26632743,4585308.04243757
T18917V,20-25,µg/m³,432032.81959881,4587141.74529428
T00977W,25-30,µg/m³,431206.71093229,4581690.82811395
T13855E,15-20,µg/m³,424546.01406764,4585569.12271309
T13029E,20-25,µg/m³,430098.66103975,4588123.48350596
T16964U,20-25,µg/m³,428842.09118768,4585626.07008548
T03246G,25-30,µg/m³,427728.22388235,4581469.3371995
T10302Q,25-30,µg/m³,432609.98706595,4583265.24489315
T10049W,20-25,µg/m³,434478.84839852,4585166.20964295
T04552R,20-25,µg/m³,430905.03739193,4585891.95583621
T18714M,20-25,µg/m³,426994.9517133,4583176.64139575
T15825G,25-30,µg/m³,426786.4880791,4584501.36485287
T13694F,25-30,µg/m³,425388.95603739,4576688.60553761
T16350W,20-25,µg/m³,432556.96142565,4587143.99733037
T08200M,20-25,µg/m³,430041.60239809,4583567.51380455
T11306Y,20-25,µg/m³,427855.07931097,4584263.90250428
T08799C,25-30,µg/m³,432593.59747168,4584505.17590187
T11720I,15-20,µg/m³,425164.08620055,4585195.20441457
T06243P,20-25,µg/m³,432165.18130461,4587339.88560711
T01628I,25-30,µg/m³,431383.00307549,4581147.295945
T20879F,25-30,µg/m³,431765.7890494,4590289.44728882
T20141W,25-30,µg/m³,430378.07693668,4580675.60683541
T17373H,25-30,µg/m³,427510.32582931,4580584.4234932
T20814O,20-25,µg/m³,428659.14279413,4584820.88822634
T19371N,25-30,µg/m³,433748.14244575,4584399.78300674
T17243Y,25-30,µg/m³,432372.93732887,4588883.74347717
T21572T,25-30,µg/m³,428670.55447843,4586888.54840734
T16654J,20-25,µg/m³,433034.28483,4587891.72190219
T09197M,25-30,µg/m³,433218.72777916,4583761.79104223
T09596X,30-35,µg/m³,433568.1714053,4585351.55182442
T07071R,20-25,µg/m³,425925.50234009,4582160.81197765
T06649H,20-25,µg/m³,433826.48483233,4587598.9154421
T05732X,20-25,µg/m³,431501.34607899,4585993.10248557
T02150V,20-25,µg/m³,428602.57170187,4582584.33425706
T20667V,20-25,µg/m³,428786.4560338,4587730.37686375
T06362V,20-25,µg/m³,432258.53688218,4587660.99040987
T01744L,20-25,µg/m³,429931.36096827,4581033.69377724
T16522Y,25-30,µg/m³,432508.73280824,4585092.22443256
T08430Y,20-25,µg/m³,429378.01464031,4584785.72369976
T10405W,20-25,µg/m³,428694.42133043,4583306.23365913
T00030G,20-25,µg/m³,432161.70106215,4580855.44559676
T02376L,25-30,µg/m³,429930.91379458,4581800.63995537
T13777H,15-20,µg/m³,423668.25574344,4585971.81003997
T09116V,25-30,µg/m³,432709.48128056,4583930.78315311
T02072Y,25-30,µg/m³,430880.68132218,4583123.98177015
T19882F,30-35,µg/m³,427789.61122381,4585186.26540073
T20591S,25-30,µg/m³,427721.31759486,4583276.063019
T10205Q,20-25,µg/m³,432790.21395046,4583082.01024945
T19288T,25-30,µg/m³,431518.85013621,4585204.38309085
T10010H,20-25,µg/m³,433573.39894999,4583449.50888227
T05411J,20-25,µg/m³,428883.55111436,4587985.17152927
T03166H,25-30,µg/m³,427718.43544053,4581149.67678214
LRD0009,30-35,µg/m³,428642.12903028,4587184.04999369
T01194D,25-30,µg/m³,430789.92268222,4580821.40893832
T17964Y,20-25,µg/m³,428287.35685584,4586752.69710744
T11950U,20-25,µg/m³,431777.15322434,4588332.22411822
T12466R,25-30,µg/m³,431223.15799159,4587358.97976923
T07963S,25-30,µg/m³,429662.48889702,4584104.44950365
T04881F,25-30,µg/m³,429022.51678426,4586196.49162451
T13591Z,20-25,µg/m³,430293.87093735,4581219.44530782
T20934V,20-25,µg/m³,427955.01095996,4583671.18584237
T10431Y,20-25,µg/m³,428572.05521407,4583052.69720403
T08096E,20-25,µg/m³,429398.11562605,4583333.61634586
T05731W,20-25,µg/m³,431574.63011242,4585982.56691418
T19517N,20-25,µg/m³,426075.73653358,4583340.92364417
T16516A,20-25,µg/m³,431793.31401695,4584738.92231119
T01022K,20-25,µg/m³,430241.22355636,4581838.05265317
T03040U,20-25,µg/m³,428434.05671652,4580118.41775081
T10520Y,20-25,µg/m³,427878.21173573,4582999.42240274
T04463R,25-30,µg/m³,430784.25334655,4585382.01893278
T01716H,25-30,µg/m³,428975.66722509,4580866.02078558
T11284J,20-25,µg/m³,427550.09968141,4584243.3517951
T16625E,25-30,µg/m³,430725.29234347,4581448.1673894
T21418K,20-25,µg/m³,433588.1991724,4587560.32718469
T20001L,20-25,µg/m³,430878.5625417,4587370.07539596
T01988D,25-30,µg/m³,430121.45878772,4582945.10425147
T17773T,20-25,µg/m³,431393.59964023,4587805.75018848
T15954O,20-25,µg/m³,427617.56291371,4582812.72910103
T03868E,20-25,µg/m³,428450.38901945,4578968.73284667
T03837X,20-25,µg/m³,428605.4464364,4580837.22355612
T03563Q,25-30,µg/m³,429414.02184421,4580331.95063116
T17201O,25-30,µg/m³,434695.65405084,4584945.40966832
T16893W,25-30,µg/m³,426552.09013108,4584375.0045947
T06889V,25-30,µg/m³,432104.59940603,4585121.17153367
T06954N,25-30,µg/m³,432333.49510828,4589521.94878116
T09656S,25-30,µg/m³,433083.42793014,4585651.32496971
T18219C,20-25,µg/m³,432563.95804886,4582483.07504743
T01074W,25-30,µg/m³,430833.5293092,4581158.3501251
T04503I,20-25,µg/m³,431109.92749397,4585995.71345175
T21478W,20-25,µg/m³,432395.18844079,4581121.1712368
T00990T,20-25,µg/m³,431248.09473482,4581656.41674776
T14615U,20-25,µg/m³,430436.24938268,4581249.0192743
T18964C,25-30,µg/m³,428700.37228187,4585799.69144233
T18698D,30-35,µg/m³,426229.49584052,4584008.04049231
RD0095Q,30-35,µg/m³,426964.85357139,4584704.11025633
T13489C,25-30,µg/m³,429265.01248541,4587560.23695262
T06565E,20-25,µg/m³,433523.72000041,4587550.7556576
T12133Z,20-25,µg/m³,431266.05720283,4586849.95663407
T21161E,25-30,µg/m³,428097.74475351,4578081.85514628
T17832N,25-30,µg/m³,432613.41399992,4583650.37745372
T07231P,20-25,µg/m³,425220.86337264,4582704.60317643
T17632H,25-30,µg/m³,430949.76636743,4584036.18863168
T13360M,20-25,µg/m³,427787.46602919,4582135.07577087
T13074J,20-25,µg/m³,433022.21519578,4582672.63386781
T06154P,20-25,µg/m³,432371.02810464,4586875.54531103
T08522B,25-30,µg/m³,429586.82824489,4585085.50056244
T18602F,25-30,µg/m³,427514.6930715,4585090.95035034
T12930U,20-25,µg/m³,432007.53191444,4589694.89852283
T09866A,20-25,µg/m³,434423.26772919,4585221.03014927
T09007R,20-25,µg/m³,431592.08295258,4584771.25488275
T03513G,25-30,µg/m³,429413.38813528,4580502.124898
T10422X,25-30,µg/m³,429059.57977585,4583553.62525654
T17530C,25-30,µg/m³,432119.05245368,4588028.75804873
T08454G,30-35,µg/m³,429462.39563924,4584636.99683258
T16226T,35-40,µg/m³,429821.33730149,4587881.38152251
T03504F,25-30,µg/m³,429478.01925291,4580504.53641042
T03458Q,25-30,µg/m³,428597.14986693,4580500.43210042
T11492P,20-25,µg/m³,427371.02218365,4584740.57191356
