Contam_Code,Contam_Name,Effect,Mass,Units
1,sulfur dioxide,sulfur dioxide exposure,63.962,µg/m³
,,acid rain,,
6,carbon monoxide,carbon monoxide poisoning,27.995,mg/m³
,,air pollution,,
7,nitric oxide,nitric oxide exposure,29.998,µg/m³
8,nitrogen dioxide,nitrogen dioxide exposure,45.993,µg/m³
9,PM 2.5,,,µg/m³
10,PM 10 (excluding PM 2.5),,,µg/m³
12,NOx,,,µg/m³
14,ozone,ozone exposure,47.985,µg/m³
22,black carbon,,,µg/m³
101,sulfur dioxide,sulfur dioxide exposure,63.962,µg/m³
,,acid rain,,
106,carbon monoxide,carbon monoxide poisoning,27.995,mg/m³
,,air pollution,,
107,nitric oxide,nitric oxide exposure,29.998,µg/m³
108,nitrogen dioxide,nitrogen dioxide exposure,45.993,µg/m³
109,PM 2.5,,,µg/m³
110,PM 10 (excluding PM 2.5),,,µg/m³
112,nitrogen oxide,acid rain,,µg/m³
114,ozone,ozone exposure,47.985,µg/m³
996,Flow 2 (Mesura interna equip),,,
997,Flow 1 (Mesura interna equip),,,
998,Flow C (Mesura interna equip) ,,, 
999,black carbon,,,%
