name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Hampton Hill Theatre,90 High St, Hampton Hill, Hampton,Richmond upon Thames,http://www.hamptonhilltheatre.org.uk/,10002251133,E09000027,Fulwell & Hampton Hill,E05013776,51.42763905,-0.356547716,514352.08550000004,171128.9366999995
Richmond Theatre,Little Green, Richmond,,Richmond upon Thames,http://www.atgtickets.com/venues/richmond-theatre/,10002264543,E09000027,South Richmond,E05013786,51.46257947,-0.305388877,517818.59640000015,175095.5195000004
The Beck Theatre,Grange Rd, Hayes,,Hillingdon,https://becktheatre.org.uk/,10003001360,E09000017,Wood End,E05013582,51.52155421,-0.423374127,509481.6480999999,181470.74340000004
Alexandra Palace Theatre,Alexandra Palace, Alexandra Palace Way,,Haringey,http://www.alexandrapalace.com/,10003974918,E09000014,Alexandra Park,E05013585,51.59498395,-0.132110964,529479.1091,190111.80650000088
Theatre N16 ,5 Ashley Road,,,Haringey,https://www.theatren16.co.uk/,10003979036,E09000014,Tottenham Hale,E05013602,51.59065971,-0.062745649,534296.2435999997,189756.08400000073
Rose Lipman Building,43 De Beauvoir Rd,,,Hackney,http://www.themillcoproject.co.uk/spaces/the-rose-lipman-building/,10008241945,E09000012,De Beauvoir,E05009371,51.5394745,-0.083199392,533028.5376000004,184026.74090000056
Hackney Arts Centre - EartH (Evolutiory Arts Hackney),11-17 Stoke Newington Road, Stoke Newington,,Hackney,https://www.hackneyartscentre.org/,10008300562,E09000012,Shacklewell,E05009382,51.55140177,-0.076999466,533423.6151,185364.4012000002
Shoreditch Town Hall,380 Old St,,,Hackney,https://shoreditchtownhall.com/,10008305130,E09000012,Hoxton East & Shoreditch,E05009377,51.52759052,-0.081289113,533195.6801000005,182708.6933999993
Church Street Theatre ,St Mary’s Centre, Church Street,Stoke Newington,Hackney,NA,10008310096,E09000012,Clissold,E05009369,51.5616175,-0.086015172,532768.8757999996,186483.99420000054
Arcola Theatre,24 Ashwin St, Dalston,,Islington,https://www.arcolatheatre.com/,10008321023,E09000019,Mildmay,E05013709,51.54760619,-0.076943219,533438.6005999995,184942.4285000004
