name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Vue Croydon,,14 High St,CR0 1GT,Croydon,,10001004802,E09000008,Fairfield,E05011468,51.372997,-0.10108585,532268.2384000001,165481.97360000014
Vue Croydon Purley Way,Valley Park Leisure Complex,21 Hesterman Way,CR0 4YA,Croydon,,100022906148,E09000008,Broad Green,E05011465,51.378123,-0.12452606,530622.2461999999,166010.03119999915
Vue Dagenham,Dagenham Leisure Park,Cook Road,RM9 6UQ,Barking and Dagenham,,10091589789,E09000002,Goresbrook,E05014062,51.532095,0.13575897,548236.0909000002,183626.83469999954
Vue Finchley Road,02 Centre,255 Finchley Rd,NW3 6LU,Camden,,5125686,E09000007,West Hampstead,E05013671,51.547944,-0.18141572,526194.2602000004,184794.6662000008
Vue Harrow,,St Anns Road,HA1 1HS,Harrow,,200000313205,E09000015,Greenhill,E05013546,51.58156,-0.33896,515186.27610000037,188273.28240000084
"Vue Islington 




",Angel Central ,Central Shopping Mall ,"N1 0PS
",Islington,,10001296728,E09000019,St Mary's & St James',E05013710,51.534165,-0.10622383,531447.2039999999,183394.6950000003
Vue West End Leicester Square,,Leicester Square,WC2H 7A,Westminster,,100023431525,E09000033,St James's,E05013806,51.511519,-0.12955866,529893.2528999997,180834.8094999995
Vue  Finchley North,Great North Leisure Park,Chaplin Square,N12 0GL,Barnet,,200217093,E09000003,Woodhouse,E05013651,51.603832,-0.17332068,526600.2496999996,191023.6144999992
Vue Piccadilly,,19 Lower Regent Street,SW1Y 4LR,Westminster,,10033542264,E09000033,St James's,E05013806,51.508945,-0.13449168,529558.2609999999,180539.84190000035
Vue Romford,,1-15 Waterloo Rd,RM1 1AU,Havering,,200002674389,E09000016,St Edward's,E05013983,51.574896,0.18005111,551166.1335000005,188476.74679999985
"Vue Westfield 
",Westfield London Shopping Centre ,Ariel Way ,W12 7GF,Hammersmith and Fulham,,34141269,E09000013,Shepherd's Bush Green,E05013748,51.507597,-0.22142571,523529.3605000004,180239.77370000072
Vue Westfield Stratford,2 Stratford Place,Westfield Stratford City ,E15 1AA,Newham,,10090326480,E09000025,Stratford Olympic Park,E05013925,51.54366,-0.00649,538335.2414999995,184634.34809999913
Vue Wood Green,Hollywood Green ,180 High Road ,N22 6EJ,Haringey,,10003971546,E09000014,Noel Park,E05013595,51.59701,-0.1089,531080.9342,190378.4656000007
Watermans Art Centre,,40 High St,TW8 0DS,Hounslow,,100023407377,E09000018,Brentford East,E05013607,51.485768,-0.29806462,518267.4704999998,177685.92380000092
Empire Cinemas Walthamstow,Leicester Square,3 Cranbourn St,WC2H 7AL,Westminster,,100023431525,E09000033,St James's,E05013806,51.511519,-0.12955866,529893.2528999997,180834.8094999995
Cinema Museum,142 Fulham Road,,SW10 9QR,Kensington and Chelsea,,217101389,E09000020,Redcliffe,E05009402,51.487152,-0.17942804,526500.3386000004,178037.90890000015
Curzon Wimbledon (HMV) ,Second Floor,23 The Broadway,SW19 1RE,Merton,,,E09000024,Wimbledon Town & Dundonald,E05013829,51.42033,-0.20554,524869.4852,170562.49000000022
Vue Bromley ,,,,Bromley,,,E09000006,Bromley Town,E05013991,51.39974,0.01486,540256.1490000002,168671.15819999948
TT Cinema,,,,Hackney,,,E09000012,Hoxton East & Shoreditch,E05009377,51.52867,-0.07807,533415.8112000003,182834.5990999993
Everyman Kings Cross on the Corner,"Plimsoll Building 
","1 Handyside Street 
",N1C 4BP,Camden,,,E09000007,King's Cross,E05013666,51.53766,-0.12697,529998.4318000004,183746.30590000004
Cineworld Hounslow ,5A Smithy Ln,,TW3 1EY,Hounslow,,,E09000018,Hounslow Central,E05013620,51.46967,-0.36209,513862.2991000004,175794.41059999913
Curzon Hoxton ,,55 Pitfield St,N1 6BU,Hackney,,,E09000012,Hoxton West,E05009378,51.52889,-0.08375,533021.2001,182848.7201000005
Curzon Camden,,,,Camden,,,E09000007,Camden Town,E05013655,51.54224,-0.14348,528840.5603,184226.4302999992
Electric Cinema White City,,,,Hammersmith and Fulham,,,E09000013,White City,E05013752,51.51069,-0.22546,523241.0571999997,180576.92720000073
Everyman Borough Yards,,,,Southwark,,,E09000028,Borough & Bankside,E05011095,51.50552,-0.09223,532500.8024000004,180234.5702999998
Everyman Broadgate    ,,,,City of London,,,E09000001,Bishopsgate,E05009292,51.51936,-0.08417,533019.8296999997,181788.20610000007
Everyman Barnet,,,,Barnet,,,E09000003,Barnet Vale,E05013628,51.64651,-0.18771,525486.0897000004,195744.86879999936
Everyman Chelsea ,,,,Kensington and Chelsea,,,E09000020,Chelsea Riverside,E05009391,51.48541,-0.17337,526925.7520000003,177854.6701999996
Everyman Crystal Palace  ,,,,Bromley,,,E09000006,Crystal Palace & Anerley,E05013995,51.4191,-0.07908,533665.4364999998,170648.58620000072
Vue Eltham,,,,Greenwich,,,E09000011,Eltham Town & Avery Hill,E05014079,51.4506,0.05675,543011.0935000004,174407.60960000008
