tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;Municipio URIs;direccion_via_codigo;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;horario_acceso;codigo_dea
Establecimiento público con aforo igual o superior a 2000 personas;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda Teatro Auditorio Casa De Campo -  Avenida De Portugal S/n, Casa D 0  ;28011;e Campo,;438582;4474257;24;2022-1022
Otros;Privada;006;Alcobendas;https://www.wikidata.org/wiki/Q487679;Ctra De Fuencarral 24  ;28108;AL LADO DEL PUESTO DEL CONSERJE DEL EDIFICIO ;445243;4487022;;2022-1039
Establecimiento público con aforo igual o superior a 2000 personas;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Plaza Mayor 27  ;28012;CASA DE LA PANADERIA ;439986;4474144;;2022-1091
Establecimiento público con aforo igual o superior a 2000 personas;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Luis Aragonés 4  ;28022;WANDA METROPOLITANO-ANILLOS PALCO 99 ;449110;4476374;;2022-1092
Establecimiento público con aforo igual o superior a 2000 personas;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Luis Aragonés 4  ;28022;WANDA METROPOLITANO-VOMITORIO 13 GRADA PEINETA CLUB ATLÉTICO DE MADRID;449110;4476374;PARTIDOS / EVENTOS;2022-1100
Centro de trabajo con más de 250 trabajadores;Privada;130;San Fernando de Henares;https://www.wikidata.org/wiki/Q842211;Avda De La Astronomía 24  ;28830;PT3C AMAZON SPAIN;457954;4477878;;2022-1146
Otros;Privada;903;Tres Cantos;https://www.wikidata.org/wiki/Q910410;Avda  1  ;08760;;441009;4466260;;2023-153
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Manuel Cortina 11 1 3;28010;CCOO UNIDAD ADMTIVA REC CONFEDERACNIÓN SINDICAL DE CCOO;440826;4475806;L A V 9-17 AGOSTO L-V 9-15;2023-171
Otros;Privada;007;Alcorcón;https://www.wikidata.org/wiki/Q10372;Calle Cooperación 11  ;28922;RESTAURANTE BALAMO ;429541;4464641;De 12:00h a 2:00h;2023-318
Centro de trabajo con más de 250 trabajadores;Privada;083;Meco;https://www.wikidata.org/wiki/Q1646210;Calle Zeus 0  ;28880;P.I. MECO R2 PARCELA 10 PLATAFORMA LOGÍSTICA MECO S.A.;473297;4486861;24 H;2023-395
Centro educativo;Privada;115;Pozuelo de Alarcón;https://www.wikidata.org/wiki/Q639422;Cmno Alcorcón 17  ;28223;Hall Principal COLEGIO NUESTRA SEÑORA DE SCHOENSTATT;458810;4456111;;2023-563
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Lagasca 88 3 ;28001;LLORENTE Y CUENCA MADRID ;441919;4475713;;2023-176
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Castelló 76  ;28006;VESTIDOR INTERIOR ;442248;4475810;de L a J 8:30 a 21:00 // V de 8:30 a 17:00;2019-2582
Otros;Privada;130;San Fernando de Henares;https://www.wikidata.org/wiki/Q842211;Avda De Castilla 2 1 ;28830;INDRA - EDIF. ATENAS ;457481;4479882;DE LUNES A VIERNES DE 7 A 21H;2023-302
Otros;Privada;049;Coslada;https://www.wikidata.org/wiki/Q164197;Avda Europa 4  ;28821; INDRA;433340;4477218;DE L A V DE 7 A 20H;2023-309
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Vallehermoso 45 2 ;28015;RECEPCION Ayto. Madrid;439886;4476261;24h;2023-343
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Vallehermoso 45 1 ;28015;AL LADO DE LA SALIDA DE EMERGENCIA Ayto. Madrid;439886;4476261;24h;2023-344
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Blasco De Garay 40  ;28015;ENTRADA PRINCIPAL Ayto. Madrid;439662;4476156;24h;2023-345
Centro de trabajo con más de 250 trabajadores;Privada;127;Las Rozas de Madrid;https://www.wikidata.org/wiki/Q592747;Calle Gabriel García Márquez 1  ;28232;CAIXABANK ;424772;4486386;8:00-20:00;2019-63
Otros;Privada;903;Tres Cantos;https://www.wikidata.org/wiki/Q910410;Calle Del Montón De Trigo 1  ;28760;COM.PROP ;440109;4496222;24H;2023-486
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Soria 2 3 ;28005;FORUS EMBAJADORES ;440110;4472981;"L a V: 7H-22:30H; S: 9H -20H; D: 9H-15H";2023-494
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Valdemarín 126  ;28023;COM. PROP. ;433262;4480054;24h;2023-495
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Ctra M-607 Colmenar Viejo 12.800  ;28049;HALL EDIFICIO PRINCIPAL COMPLEJO EDUCATIVO;441947;4486251;;2023-499
Otros;Privada;030;La Cabrera;https://www.wikidata.org/wiki/Q509056;Calle Del Chorro 4  ;28751;RECEPCIÓN CAMPING PICO DE LA MIEL ;448403;4523995;;2023-500
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Juan Montalvo 30  ;28040;COLOCADO A PIE DE PISTA DEL POLIDEPORTIVO ;439539;4477629;8,15 h. - 23,15 h.;2023-538
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Pío Xii 110  ;28036;UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. RENFE VIAJEROS;442489;4480602;24 HORAS;2023-552
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Pío Xii 110  ;28036;UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. RENFE VIAJEROS;442489;4480602;24 HORAS;2023-553
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Pío Xii 110  ;28036;UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. RENFE VIAJEROS;442489;4480602;24 HORAS;2023-554
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda Ubicacion En Trenes De Renfe Viajeros. Sede Social. 110  ;28036;;442489;4480602;;2023-555
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Pío Xii 110  ;28036;UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. RENFE VIAJEROS;442489;4480602;24 HORAS;2023-556
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Pío Xii 110  ;28036;UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. RENFE VIAJEROS;442489;4480602;24 HORAS;2023-557
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Pío Xii 110  ;28036;UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. RENFE VIAJEROS;442489;4480602;24 HORAS;2023-558
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Pío Xii 110  ;28036;UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. RENFE VIAJEROS;442489;4480602;24 HORAS;2023-559
Centro de trabajo con más de 250 trabajadores;Privada;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Calle Honduras 29  ;28806;RECEPCION TOMPLA IND. INTERNACIONAL DEL SOBRE SL;466747;4483487;;2023-560
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Velázquez 29  ;28001;CONSERJERIA PLANTA PRINCIPAL ;441945;4475121;24h;2023-147
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Ramírez De Arellano 105  ;28043;;444177;4477582;Jornada completa;2023-161
Centro de trabajo con más de 250 trabajadores;Privada;065;Getafe;https://www.wikidata.org/wiki/Q8802;Calle Rachel Carson 1  ;28906;CANTINA DEL CENTRO AMAZON ROAD TRANSPORT SPAIN;441898;4458612;24H;2020-259
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Eduardo Barreiros   ;28041;FÁBRICA PSA - GIMNASIO FIAT CHRYSLER AUTOMOVILES SPAIN SA;466483;4480509;8-20;2019-2671
Otros;Privada;045;Colmenar Viejo;https://www.wikidata.org/wiki/Q55480;Calle  3 1 2;28770;;433187;4499612;;2023-337
Otros;Pública;015;Arroyomolinos;https://www.wikidata.org/wiki/Q1778172;Calle Álamo 7  ;28939;DISPOSITIVO MÓVIL ;421650;4458033;24H;2023-368
Centro de trabajo con más de 250 trabajadores;Privada;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Cmno De Los Afligidos 0  ;28804;En lateral derecho según entras de frente al h.rack Columna G5 AMAZON SPAIN FULFILLMENT SL;472997;4483756;24 horas;2023-189
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Manuel Silvela 4  ;28010;FISCALÍA ESPECIAL CONTRA CORRUPCIÓN Y CRIMINALIDAD ORGANIZADA ;440883;4475790;8:00h a 15:00h;2023-232
Centro de trabajo con más de 250 trabajadores;Pública;127;Las Rozas de Madrid;https://www.wikidata.org/wiki/Q592747;Calle José Echegaray 4  ;28232;INSTITUTO NACIONAL DE TOXICOLOGIA Y CIENCIAS FORENSES ;424552;4486091;8:00H A 15:00H;2023-233
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Bárbara De Braganza 6  ;28004;TRIBUNAL SUPREMO ;441290;4475200;8:00H A 15:00H;2023-234
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Plaza De La Villa De París 1  ;28004;TRIBUNAL SUPREMO ;441297;4475336;8:00H A 15:00H;2023-235
Otros;Privada;129;San Agustín del Guadalix;https://www.wikidata.org/wiki/Q985045;Avda Principal S/n  ;28750;URBANIZACIÓN VALDELAGUA SALIDA 30 N-I  - GARITA ;449475;4499931;;2023-242
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Maldonado 64  ;28006;Gabite 3 SMILE2IMPRESS S.L.- MADRID;442849;4476070;"L a S 8:30-20:00; D 10:00-18:00";2023-287
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Los Toreros 45  ;28028;Colegio Caldeiro ;443544;4476236;;2023-565
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;049;Coslada;https://www.wikidata.org/wiki/Q164197;Avda De José Gárate 5  ;28823;SMARTFIT ;453438;4475486;"L-V: 7:00 a 23:30; S-D: 9:00 a 15:00";2023-566
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;903;Tres Cantos;https://www.wikidata.org/wiki/Q910410;Ronda De Poniente 12  ;28760;EDIFICIO 12 MASID;439323;4494947;;2023-412
Otros;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Calle Luis Astrana Marín S/n  ;28807;EN BOTIQUIN PISCINA VERANO PARQUE O'DONNELL ;468591;4481672;;2023-438
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Monasterio De Las Huelgas 15  ;28049;Parque de ocio infantil FUNDALAND FUNDACION CARMEN PARDO VALCARCE;439889;4483768;8 a 21 horas de lunes a viernes. 11 a 21 sábados, domingos y festivos;2023-527
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda Del Camino De Santiago 40  ;28050;FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S. A. ;443093;4484202;24H;2023-210
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Pío Xii 110  ;28036;UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL S.A.;442489;4480602;24 HORAS;2023-542
Centro de trabajo con más de 250 trabajadores;Privada;083;Meco;https://www.wikidata.org/wiki/Q1646210;Calle Zeus 0  ;28880;P.I. MECO PARCELA 10.0 PLATAFORMA LOGISTICA MECO;473290;4486863;24 Horas;2023-182
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Arturo Soria 291  ;28033;"AGRUMAD. ARMADA. MINISTERIO DEFENSA HALL ENTRADA RESIDENCIA DE TROPA ""SOLDADO MANUEL LOIS""";443409;4480978;24h;2023-281
Otros;Privada;006;Alcobendas;https://www.wikidata.org/wiki/Q487679;Calle Camino De La Fuente 16  ;28109;EMBAJADA DE NORUEGA ;446186;4484800;24H;2023-286
Otros;Privada;054;El Escorial;https://www.wikidata.org/wiki/Q985269;Calle De Alfonso Xii 7  ;28280;CEAR ;404314;4493288;;2023-380
Centro de trabajo con más de 250 trabajadores;Privada;134;San Sebastián de los Reyes;https://www.wikidata.org/wiki/Q484717;Calle De La Isla Graciosa 13  ;28703;ATRESMEDIA ;447873;4489794;24H;2023-468
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Ramírez De Arellano 35  ;28043;;444177;4477582;;2023-162
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Pirra 1-15  ;28022;COMUNIDAD CALLE PIRRA DEL 1 AL 15 ;449705;4477463;;2023-191
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Pirra 1-15  ;28022;COMUNIDAD CALLE PIRRA DEL 1 AL 15 ;449705;4477463;;2023-191
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Menéndez Pelayo 13  ;28009;Comedor principal HUEVO TRUFA SL;442377;4474634;L a J de 12:30 a 1:00h/V y S 12:30 a 2:00 D y festivos de 12:30 a 24:00h;2023-192
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Sacramento 3-5  ;28005;PUESTO DE CONTROL DE SEGURIDAD ENTRADA C/ ROLLO INSTALADO EN C/ SACRAMENTO, 3;439672;4474005;DE 8 A 17;2017-327
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Las Canarias 62  ;28045;COM. PROP. ;464966;4455054;;2023-442
Otros;Privada;903;Tres Cantos;https://www.wikidata.org/wiki/Q910410;Calle Del Rocío 8  ;28760;COM.PROP ;439564;4494596;24H;2023-483
Otros;Privada;074;Leganés;https://www.wikidata.org/wiki/Q77433;Calle Monegros 51 Bj 1;28915;PISCINA URBANIZACIÓN ;436246;4465676;D a X de 11:30 a 21:30 - J y V 11:30 a 22:00;2023-505
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De La Ciudad De Barcelona 132 2 Dcha;28007;COJEBRO ;442198;4472842;L a V de 9 a 14 y de 16 a 18.30 excepto verano;2023-575
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Alverja 5  ;28011;COM.PROP. ;436022;4472734;;2023-384
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Alverja 5  ;28011;COM.PROP. ;436022;4472734;;2023-385
Centro de trabajo con más de 250 trabajadores;Privada;130;San Fernando de Henares;https://www.wikidata.org/wiki/Q842211;Calle De La Sierra Nevada 9  ;28830;ENVARA ;457549;4478083;24H;2023-425
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Valentín Beato 21 3 ;28037;Recepción. Grupo Anaya ;468256;4456893;;2023-431
