tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;Municipio URIs;direccion_via_codigo;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;horario_acceso;codigo_dea
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Avda Virgen Del Val 8  ;28804;EN HALL ENTRADA PISCINA CUBIERTA VIRGEN DEL VAL CIUDAD DEPORTIVA MUNICIPAL;470601;4481474;9:00h a 22:00h (L-V) 9:00h a 15:00h (S,D,F);2018-580
Otros;Privada;009;Algete;https://www.wikidata.org/wiki/Q472604;Cmno Del Molino S/n  ;28119;Ilunion - Enagas Algete ;453800;4492760;24H;2023-260
Otros;Privada;104;Paracuellos de Jarama;https://www.wikidata.org/wiki/Q2046249;Ctra M-115 S/n  ;28830;Ilunion - Enagas C/ de las Retamas M-115 ;457132;4479396;24H;2023-261
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Menéndez Pelayo 67  ;28009;COMUNIDAD DE PROPIETARIOS MENÉNDEZ PELAYO, 67 ;442616;4473768;;2023-267
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Blas Cabrera 90  ;28044;IES ;435306;4470219;;2023-308
Centro educativo;Privada;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle Pablo Gargallo 1  ;28320;GIMNASIO - MIRASUR SCHOOL ;440761;4456321;L a V 07:00 a 23:00 - S y D 09:00 a 15:00;2023-310
Otros;Privada;006;Alcobendas;https://www.wikidata.org/wiki/Q487679;Avda De Europa 19 3 ;28108;ESSITY ;444436;4485146;L a J de 8 a 17 y V de 8 a 14;2023-430
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Pablo Neruda 91  ;28018;CENTRO COMERCIAL ;443781;4470255;9 A 22;2023-525
Centro de trabajo con más de 250 trabajadores;Privada;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Calle Honduras 29  ;28806;FABRICA ENTRE DOS NAVES TOMPLA IND. INTERNACIONAL DELSOBRE SL;466747;4483487;;2023-561
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De La Costa Brava 38 -1 ;28034;C.C. MIRASIERRA GALLERY ALTAFIT GRUPO DE GESTIONSL;439448;4483166;L a V: de 7h a 23h, S: de 9h a 19h, D: de 09h a 14h;2023-562
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Ramón Power 24  ;28043;SALA DE ESPERA DE LA OFICINA ORGANISMO AUTÓNOMO AGENCIA TRIBUTARIA DE MADRID;446398;4479388;8 A 17;2017-325
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Avda Virgen Del Val 4  ;28804;TAQUILLA ACCESO INSTALACIÓN CIUDAD DEPORTIVA MUNICIPAL;470577;4481459;9:00h a 22:00h (L-V) y 9:00h a 21:00h (S,D,F) ;2018-577
Otros;Privada;111;Pezuela de las Torres;https://www.wikidata.org/wiki/Q1772226;Cmno De Mondéjar S/n  ;28812;Recepción Finca El Bosque;487857;4470122;24h;2023-319
