ID_PARQUE,PARQUE,DISTRITO,same_as_wikidata_DISTRITO,BARRIO,same_as_wikidata_BARRIO
8786012,"CALLE MADRES PLAZA DE MAYO, 5",Ciudad Lineal,https://wikidata.org/entity/Q1763694,Pueblo Nuevo,https://wikidata.org/entity/Q71753
8798266,CALLE GABRIEL MONTERO 5,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Pueblo Nuevo,https://wikidata.org/entity/Q71753
7180264,PARQUE LUTHERKING ZONA 2,Retiro,https://wikidata.org/entity/Q2002296,Adelfas,https://wikidata.org/entity/Q3774001
18366,CALLE DEL MONTE DE MONTJUICH 24,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Santa Eugenia,https://wikidata.org/entity/Q390463
4749886,C BERGANTIN 26,Barajas,https://wikidata.org/entity/Q807230,Alameda de Osuna,https://wikidata.org/entity/Q760737
7129038,CALLE DEL CERRO DEL CAMPO 41,Vicálvaro,https://wikidata.org/entity/Q589403,"El Cañaveral neighborhood, Madrid",https://wikidata.org/entity/Q5821309
4749887,C BAHIA DE SANTA POLA 68,Barajas,https://wikidata.org/entity/Q807230,Corralejos,https://wikidata.org/entity/Q10260772
16860,PARQUE DE LAS AVENIDAS,Salamanca,https://wikidata.org/entity/Q1773521,La Guindalera,https://wikidata.org/entity/Q3814559
7356654,CALLE DE LA GUITARRA 9,Carabanchel,https://wikidata.org/entity/Q1001991,Buenavista,https://wikidata.org/entity/Q953929
17025,PARQUE DE LA VAGUADA,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,El Pilar,https://wikidata.org/entity/Q3773964
17685,CALLE DEL PUERTO DE LA BONAIGUA 20,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Palomeras Bajas,https://wikidata.org/entity/Q10343902
17006,C/ RAIMUNDO FERNÁNDEZ VILLAVERDE 30,Chamberí,https://wikidata.org/entity/Q1763370,Ríos Rosas,https://wikidata.org/entity/Q10366270
4737814,CALLE DE JOSE DEL PRADO Y PALACIO 1B,Moratalaz,https://wikidata.org/entity/Q2076109,Media Legua,https://wikidata.org/entity/Q9031035
451348,JARDINES DE LAS MUJERES DE VENTAS,Salamanca,https://wikidata.org/entity/Q1773521,Fuente del Berro,https://wikidata.org/entity/Q3814564
17835,CALLE DEL CAMINO DE LOS VINATEROS 107C,Moratalaz,https://wikidata.org/entity/Q2076109,Marroquina,https://wikidata.org/entity/Q11935636
16697,PLAZA PLAZA SANTA BARBARA,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319
