ID,NOMBRE,EVENTO_LARGO,DIAS_DE_SEMANA,FECHA_INICIO,FECHA_FIN,HORA,DESCRIPCION,URL_CONTENIDO,INSTALACION_URL,NOMBRE_INSTALACION,same_as_wikidata_nombre_instalacion,ACCESIBILIDAD_INSTALACION,DIRECCION,DISTRITO,same_as_wikidata_distrito,BARRIO,same_as_wikidata_barrio,CODIGO_POSTAL,LATITUD,LONGITUD,TIPO_DE_ACTIVIDAD
12117028,Orfeón de Vicálvaro San Gregorio Magno,0,-,2023-10-28T00:00:00Z,2023-10-28T00:00:00Z,19:00,"El Orfeón se forma en el año 2012 a raíz de un concurso de solfeo y canto coral organizado por la parroquia de San Gregorio Magno, en el barrio de Valdebernardo. Su objetivo principal es cantar y disfrutar de la música, la gran pasión para cada uno de sus integrantes.     Duración: 70 minutos",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3875b3a00f0ea810VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=618b1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural San Juan Bautista (Ciudad Lineal),,1,CALLE SAN NEMESIO 4,Ciudad Lineal,https://wikidata.org/entity/Q1763694,San Juan Bautista,https://wikidata.org/entity/Q165609,28043,40.45224737965276,-3.6580402287911937,Musica
12096244,"Paseos saludables, conociendo los recursos del distrito",0,-,2023-10-19T00:00:00Z,2023-10-19T00:00:00Z,11:00,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=df961ee415d8a810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7b6882025c4b2610VgnVCM2000001f4a900aRCRD,Espacio de Igualdad Lucrecia Pérez. Fuencarral-El Pardo,,1,CALLE MANRESA 1,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Valverde,https://wikidata.org/entity/Q31132,28034,40.49120609425076,-3.6916379633219116,Excursiones Itinerarios Visitas
12113267,Primeros pasos de informática con el ordenador,1,M,2023-10-17T00:00:00Z,2023-12-19T00:00:00Z,18:00,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=10f8b6eaeeada810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3ab855a64315610VgnVCM2000001f4a900aRCRD,Espacio de Igualdad Carme Chacón. Hortaleza,,1,CALLE MATAPOZUELOS 2,Hortaleza,https://wikidata.org/entity/Q1928529,Canillas,https://wikidata.org/entity/Q9694341,28043,40.46155641637237,-3.6501714580414126,Cursos Talleres
12114192,Relajación para mujeres mayores de 60 años,0,-,2023-10-06T00:00:00Z,2023-10-06T00:00:00Z,10:30,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9ad90fe4d5bda810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=689c8c0000c9a310VgnVCM2000000c205a0aRCRD,Espacio de Igualdad Hermanas Mirabal. Tetuán,,1,CALLE BRAVO MURILLO 133,Tetuán,https://wikidata.org/entity/Q1773540,Bellas Vistas,https://wikidata.org/entity/Q11908929,28039,40.45012255255781,-3.7037047897267947,Cursos Talleres
12114219,Smartphone para mayores de 60. Conoce las funciones básicas,1,M,2023-10-10T00:00:00Z,2023-10-31T00:00:00Z,13:00,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d69c0fe4d5bda810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=689c8c0000c9a310VgnVCM2000000c205a0aRCRD,Espacio de Igualdad Hermanas Mirabal. Tetuán,,1,CALLE BRAVO MURILLO 133,Tetuán,https://wikidata.org/entity/Q1773540,Bellas Vistas,https://wikidata.org/entity/Q11908929,28039,40.45012255255781,-3.7037047897267947,Cursos Talleres
12100987,Taller manejo básico de móviles,1,"M,X,J",2023-10-03T00:00:00Z,2023-10-11T00:00:00Z,10:30,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2097e905dc89a810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=83e748aaf535e710VgnVCM1000001d4a900aRCRD,Biblioteca Pública Municipal San Fermín (Usera),,"1,5,6",AVENIDA SAN FERMIN 10,Usera,https://wikidata.org/entity/Q953368,San Fermín (Madrid),https://wikidata.org/entity/Q71758,28041,40.3711623444796,-3.692742821990015,Cursos Talleres
12047108,Taller uso certificado digital en el móvil,1,M,2023-10-03T00:00:00Z,2023-10-10T00:00:00Z,19:00,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0a23b291dc109810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=83e748aaf535e710VgnVCM1000001d4a900aRCRD,Biblioteca Pública Municipal San Fermín (Usera),,"1,5,6",AVENIDA SAN FERMIN 10,Usera,https://wikidata.org/entity/Q953368,San Fermín (Madrid),https://wikidata.org/entity/Q71758,28041,40.3711623444796,-3.692742821990015,Cursos Talleres
12047735,Taller uso de WhatsApp para mayores,1,"X,J,V",2023-10-18T00:00:00Z,2023-10-27T00:00:00Z,10:30,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c7497513d1709810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=83e748aaf535e710VgnVCM1000001d4a900aRCRD,Biblioteca Pública Municipal San Fermín (Usera),,"1,5,6",AVENIDA SAN FERMIN 10,Usera,https://wikidata.org/entity/Q953368,San Fermín (Madrid),https://wikidata.org/entity/Q71758,28041,40.3711623444796,-3.692742821990015,Cursos Talleres
12083260,Talleres dinámicos. L-ABE (2023-2024),1,D,2023-09-17T00:00:00Z,2023-11-19T00:00:00Z,,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d6963d0dd564a810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,,1,CALLE CONDE DUQUE 9,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,28015,40.42739911262292,-3.710589286287491,Programacion Destacada Agenda Cultura
12092330,Talleres dinámicos. L-ABE (2023-2024),1,"L,M,X,J,V,S,D",2023-09-17T00:00:00Z,2024-04-22T00:00:00Z,,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef0cbd7cb647a810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,,1,CALLE CONDE DUQUE 9,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,28015,40.42739911262292,-3.710589286287491,Programacion Destacada Agenda Cultura
12112982,Tecnomayores. Soy ciudadana y participo en mi municipio II,1,X,2023-10-04T00:00:00Z,2023-10-25T00:00:00Z,11:30,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d0414d3febada810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a38fb412e9a2610VgnVCM2000001f4a900aRCRD,Espacio de Igualdad Berta Cáceres. Usera,,1,CALLE GRAN AVENIDA 14,Usera,https://wikidata.org/entity/Q953368,Orcasitas,https://wikidata.org/entity/Q3773941,28041,40.36902428128397,-3.710212677306876,Cursos Talleres
12110246,Trabajamos la memoria,1,J,2023-10-05T00:00:00Z,2023-10-26T00:00:00Z,10:30,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3a7331b1f65da810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5e46dfffe772a510VgnVCM1000001d4a900aRCRD,Espacio de Igualdad Gloria Fuertes. Vicálvaro,,1,AVENIDA REAL 14,Vicálvaro,https://wikidata.org/entity/Q589403,Casco Histórico de Vicálvaro,https://wikidata.org/entity/Q16544374,28032,40.40274516135535,-3.6072257008596313,Cursos Talleres
12083748,Visitas dialogadas. «Hecho en casa»,0,-,2023-10-26T00:00:00Z,2023-10-26T00:00:00Z,19:00,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=91b120aa7564a810VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,,1,CALLE CONDE DUQUE 9,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,28015,40.42739911262292,-3.710589286287491,Programacion Destacada Agenda Cultura
12102665,VISITAS DIALOGADAS. «HECHO EN CASA»,1,"L,M,X,J,V,S,D",2023-09-17T00:00:00Z,2024-04-28T00:00:00Z,,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=aacab8caf1caa810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,,1,CALLE CONDE DUQUE 9,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,28015,40.42739911262292,-3.710589286287491,Programacion Destacada Agenda Cultura
12116349,Yoga suave,1,X,2023-10-04T00:00:00Z,2023-10-25T00:00:00Z,18:00,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6917c2c1b30ea810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7b6882025c4b2610VgnVCM2000001f4a900aRCRD,Espacio de Igualdad Lucrecia Pérez. Fuencarral-El Pardo,,1,CALLE MANRESA 1,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Valverde,https://wikidata.org/entity/Q31132,28034,40.49120609425076,-3.6916379633219116,Actividades Deportivas
12114000,¡Quiero saber usar mi móvil! Mujeres mayores de 60 años,0,-,2023-10-23T00:00:00Z,2023-10-23T00:00:00Z,16:30,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7ef6b6eaeeada810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cb3655d1b6742610VgnVCM1000001d4a900aRCRD,Espacio de Igualdad Elena Arnedo Soriano. Retiro,,1,CALLE ARREGUI Y ARUEJ 31,Retiro,https://wikidata.org/entity/Q2002296,Adelfas,https://wikidata.org/entity/Q3774001,28007,40.40254931370529,-3.668092320219012,Cursos Talleres
