ID_PARQUE,PARQUE,DISTRITO,BARRIO
8786012,"CALLE MADRES PLAZA DE MAYO, 5",CIUDAD LINEAL,PUEBLO NUEVO
8798266,CALLE GABRIEL MONTERO 5,CIUDAD LINEAL,PUEBLO NUEVO
7180264,PARQUE LUTHERKING ZONA 2,RETIRO,ADELFAS
18366,CALLE DEL MONTE DE MONTJUICH 24,VILLA DE VALLECAS,SANTA EUGENIA
4749886,C BERGANTIN 26,BARAJAS,ALAMEDA DE OSUNA
7129038,CALLE DEL CERRO DEL CAMPO 41,VICALVARO,EL CAÑAVERAL
4749887,C BAHIA DE SANTA POLA 68,BARAJAS,CORRALEJOS
16860,PARQUE DE LAS AVENIDAS,SALAMANCA,GUINDALERA
7356654,CALLE DE LA GUITARRA 9,CARABANCHEL,BUENAVISTA
17025,PARQUE DE LA VAGUADA,FUENCARRAL-EL PARDO,EL PILAR
17685,CALLE DEL PUERTO DE LA BONAIGUA 20,PUENTE DE VALLECAS,PALOMERAS BAJAS
17006,C/ RAIMUNDO FERNÁNDEZ VILLAVERDE 30,CHAMBERI,RIOS ROSAS
4737814,CALLE DE JOSE DEL PRADO Y PALACIO 1B,MORATALAZ,MEDIA LEGUA
451348,JARDINES DE LAS MUJERES DE VENTAS,SALAMANCA,FUENTE DEL BERRO
17835,CALLE DEL CAMINO DE LOS VINATEROS 107C,MORATALAZ,MARROQUINA
16697,PLAZA PLAZA SANTA BARBARA,CENTRO,JUSTICIA
4737835,CALLE DEL ARROYO DE LAS PILILLAS 14,MORATALAZ,MARROQUINA
17450,CALLE DE CARONTE 14,CARABANCHEL,SAN ISIDRO
52216,CALLE DEL PICO MAMPODRE 8,VILLA DE VALLECAS,CASCO H.VALLECAS
7591499,CALLE DE LA LONJA DE LA SEDA 10,CARABANCHEL,BUENAVISTA
7591554,CALLE DE MASCARAQUE 42,CARABANCHEL,BUENAVISTA
17676,"CALLE DEL ARROYO DEL OLIVAR , 51A",PUENTE DE VALLECAS,PALOMERAS BAJAS
17693,AVENIDA ENTREVIAS 46,PUENTE DE VALLECAS,ENTREVIAS
3531283,JARDINES PAJARITOS,RETIRO,ADELFAS
18377,CALLE DEL TREN DE ARGANDA 9,VICALVARO,VALDEBERNARDO
7591607,CALLE DE RICARDO BELLVER 18,CARABANCHEL,BUENAVISTA
7897950,C AÑASTRO 44,HORTALEZA,APOSTOL SANTIAGO
4749888,C EZEQUIEL SOLANA 41,CIUDAD LINEAL,PUEBLO NUEVO
7591686,HONTANILLA (VILLACASTIN 14),FUENCARRAL-EL PARDO,VALVERDE
4749889,C MISTERIOS 13,CIUDAD LINEAL,QUINTANA
4749890,C JAZMIN 3,CIUDAD LINEAL,COSTILLARES
4749893,C OÑA 10,HORTALEZA,VALDEFUENTES
