"CÓDIGO
APAR";APARCAMIENTO;"PRECIO
PROMEDIO";"PRECIO
MÍNIMO";"PRECIO
MÁXIMO";"GAMA
PRECIOS";"*INI
CONCESIÓN";"FIN
CONCESIÓN";"AÑOS
RESTANTES"
912;AGUILAR DE CAMPOO;7.373,91 €;6.513,07 €;13.845,22 €;44;18/12/2000;18/12/2050;28
204;AGUILÓN;5.469,56 €;1.131,31 €;9.598,12 €;35;30/04/1991;30/04/2041;18
115;AGUSTÍN LARA;6.769,74 €;5.853,47 €;27.062,10 €;47;19/10/2001;19/10/2076;54
435;ALCÁNTARA;15.292,68 €;9.240,00 €;15.810,00 €;2;19/09/2014;19/09/2054;32
818;ALCAZABA;10.323,82 €;2.254,97 €;23.917,74 €;76;8/03/1996;8/03/2071;48
721;ALONSO CANO;16.803,75 €;5.203,44 €;40.219,19 €;173;26/02/1999;26/02/2074;51
1803;ALTOS DE LILLO;4.553,62 €;4.216,06 €;8.117,11 €;15;30/11/1993;30/11/2043;21
1018;ALUCHE;11.483,26 €;10.763,94 €;34.199,71 €;29;30/04/1996;30/04/2071;48
407;AMÉRICA ESPAÑOLA;4.431,01 €;4.155,82 €;8.619,92 €;24;3/11/1989;3/11/2039;17
1303;ANDÉVALO;3.584,41 €;3.262,01 €;6.812,26 €;24;29/04/1993;29/04/2043;20
1625;ANDORRA II;13.389,02 €;12.979,31 €;13.816,68 €;3;29/05/2009;29/05/2049;26
612;ÁNGEL CARBAJO;8.254,82 €;7.160,49 €;23.118,57 €;26;12/03/1993;12/03/2043;20
1105;ANTONIO LÓPEZ;4.506,36 €;1.764,27 €;15.686,26 €;42;1/12/1992;1/12/2042;20
903;ANTONIO MACHADO;3.363,32 €;2.525,55 €;3.650,86 €;7;15/07/1989;15/07/2039;16
305;ANTONIO MAURA;9.810,56 €;9.101,06 €;15.770,59 €;12;3/06/1993;3/06/2043;20
1416;ANTONIO MENA;10.768,61 €;8.559,79 €;24.406,13 €;44;5/04/1995;5/04/2070;47
1517;ANTONIO PIRALA;4.866,76 €;2.689,31 €;10.633,47 €;43;30/12/1993;30/12/2043;21
211;ARGANDA;12.092,92 €;8.027,90 €;31.142,88 €;61;18/10/1996;18/10/2071;49
111;ARQUITECTO RIBERA;10.260,46 €;4.745,45 €;34.256,29 €;70;10/06/1998;10/06/2048;25
1409;ARROYO DE LA MEDIA LEGUA;4.092,71 €;3.540,43 €;6.248,97 €;31;15/02/1990;15/02/2040;17
1302;ARROYO DEL OLIVAR;4.478,29 €;1.051,39 €;8.057,20 €;21;4/11/1989;4/11/2039;17
1408;ARROYO FONTARRÓN;4.415,18 €;3.508,11 €;12.756,81 €;40;24/11/1989;24/11/2039;17
1418;AUGUSTO GONZÁLEZ BESADA;10.396,70 €;9.661,94 €;20.705,39 €;43;9/05/1996;9/05/2071;48
519;AVENIDA DE AMÉRICA;7.917,56 €;6.671,39 €;13.420,36 €;26;1/03/2000;1/03/2050;27
